{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-98B4A,-98C53,-98BD7
-81235,-8139F,-81074
-98BB9,-98BC6,-98A85
-8114B,-810A4,-81104
-98AEC,-98BE1,-98A6F
-81310,-8116F,-81104
-98B8A,-98BCD,-98C99
-8108A,-811DF,-810DA
-98B93,-98C3F,-98C70
-8121B,-81282,-811C5
-98BF2,-98AE8,-98C33
-8120C,-811CD,-81198
-98C86,-98B8B,-98C9E
-81253,-8122D,-812CE
-98C20,-98DBF,-98DA9
-81007,-8106E,-811CE
-98B12,-98C88,-98B3A
-811E0,-80FAF,-811A0
-98B30,-98A44,-98B31
-811B9,-81051,-8104C
-98A1B,-98B80,-98B97
-81094,-80FD6,-80F8C
-98A94,-98BBC,-98C35
-81097,-8118D,-81179
-98B48,-98C06,-98BB9
-810FE,-81188,-81155
-98B23,-98B80,-98E76
-80FE6,-81049,-81195
-98AE8,-98BF6,-98AEF
-811F3,-81051,-81197
-98D08,-98C8B,-98C92
-810D0,-811EE,-8124E
-98BCD,-98C22,-98BD1
-81130,-811F6,-810B3
-98A0D,-989CD,-989E1
-8107A,-80F55,-81155
-98B07,-98A81,-9884A
-80EB2,-810F0,-80E47
-98AC4,-98ABD,-98A53
-80EF5,-80D92,-80E13
-989B3,-989BF,-98A49
-80F94,-8100D,-812AD
-98C38,-98C46,-98CD1
-81190,-8102F,-81160
-98A37,-98B8C,-98B01
-80FC7,-80FAA,-80FD1
-98C14,-98B41,-98A21
-81117,-80FF9,-81010
-989F5,-98A29,-98AE5
-80EAC,-81081,-80FF4
-98AE1,-989F6,-98C10
-81014,-80EE8,-80FDD
-989FD,-98B91,-98B33
-80FCD,-810B9,-8105C
-989CD,-98A51,-98A8F
-825AF,-82675,-8265F
-98C34,-98CCD,-98D34
-81185,-8131A,-810F6
-98DBC,-98D1A,-98D03
-811A8,-81309,-810A4
-98CF7,-98C82,-98CB6
-81425,-8144A,-8127E
-98D0F,-98DCC,-98DA7
-8125F,-8137C,-81333
-98D1B,-98D30,-98D26
-8116D,-81246,-81141
-98C8C,-98D3C,-98DCC
-81322,-8116C,-8116B
-98C2B,-98CB7,-98D32
-811B3,-81252,-81227
-98C3E,-98D55,-98E73
-8134B,-81010,-80FED
-98D78,-98BB2,-98C34
-8135D,-8128B,-81225
-98E70,-98D0A,-98BD2
-8143A,-8127E,-81242
-98C63,-98E2A,-98C9E
-811B5,-811CC,-811E3
-98D26,-98B52,-98EBC
-8136A,-813D9,-8131A
-98E77,-98D2F,-98B9F
-81164,-813A2,-8108B
-98C95,-98CEA,-98C06
-81381,-8131D,-81172
-98B9C,-98C30,-98BE3
-811BA,-811E9,-81176
-98C24,-98BAD,-98CE9
-81082,-81107,-811AB
-98E0C,-98B9B,-98BB3
-81353,-813A5,-8118F
-98CB1,-98BBB,-98DA9
-81497,-8114B,-81207
-98C8E,-98CEC,-98D4A
-8133A,-81358,-8121A
-98BB7,-98B3D,-98B78
-8111D,-81177,-810EE
-98B9E,-98CF9,-98C75
-81161,-81150,-8118B
-98C65,-98B93,-98B9F
-8120E,-8101B,-810F4
-98AB3,-98B43,-98C2F
-8116F,-810B3,-80FA6
-98AFA,-98A5D,-98C20
