{'CALIB_RAW_DAC_START_I': 557056, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
580AF,57E10,57E63
405D2,4058A,405D2
58056,582A3,57F44
40675,40547,4051F
58059,581B7,58129
4056B,4064B,402D6
57E93,57DD9,57FA6
40597,405EE,4064E
57FCE,58034,57EE9
405C4,404EF,405EE
57D62,580DF,57F5F
40523,40410,404E4
57ED0,57F83,57DC7
40457,403BB,40330
57E38,580F9,5803C
404F7,40478,40634
57EF5,57DD7,57DCC
404B3,40647,40647
581E8,57F0E,57E32
4038B,404E1,406AB
58085,57FD9,57E6A
404C7,40396,4053D
57E42,57EA9,57E88
40206,403D0,4038F
57FAB,57C49,57D84
4035E,4037E,40556
57D7B,57E2D,57CE8
404C6,4038C,40365
57C86,57DA6,57D4A
403FD,40361,4023F
57F9D,57DF2,57D2C
407A9,40651,405E7
58061,57F46,57E5D
40479,4043B,406D1
58040,57F6D,57EFC
404A4,40635,405A5
57ECD,57DCF,57FEB
405A9,40664,404F1
58056,57EC8,57FC5
40511,40539,40576
57FBE,57EB2,58227
4053D,40633,40541
57D90,57F0B,57F30
404D9,404FC,4042F
57D6C,57CF7,57F8F
40434,40157,4031C
57F18,57D0B,57F13
4053D,405CF,4051E
57E6E,57D8A,57E29
4043C,405B6,40436
57EA5,57D5C,57E95
4056B,40598,40527
57C66,57D55,57E41
4035A,4048D,40495
57FF5,57EC6,5805F
403C0,40470,40308
57C76,57DA0,57F53
403BF,403C8,40449
57DE2,57DED,57D65
402FE,4053D,401F2
57CD5,57CB4,57DF0
402F7,402B5,40167
57C6C,57B71,57AF7
3FEFD,40065,400B8
57B87,57A7A,57A94
3FF5C,40054,40206
57BFB,57BBF,57C41
40240,40196,4029D
57ACB,57A44,57AFE
4006F,400C8,3FF06
57AF8,579DF,57AAD
40091,3FED0,3FF8C
5795A,5796C,57B47
40267,40011,40128
579C9,57B07,579ED
401AC,3FF04,3FF0A
57988,5791D,57A76
40071,3FFC6,40022
57B50,579DA,57C15
40011,3FEFC,3FF61
57BE6,579C0,579F2
3FFA7,3FEEF,3FE81
57807,578DC,5796A
3FD1F,3FF31,4007A
57877,578EA,5793B
3FE72,3FE6D,3FE8A
578C6,57979,578D5
3FEAD,3FD3F,3FDF8
57734,575B3,57861
3FF33,3FF41,3FDC6
57787,57B20,57B67
4006A,3FF3F,3FE5B
5773F,5781A,577BB
3FCD1,3FE10,3FE77
5793F,57841,578D4
40283,402B6,400F0
57A22,57B8A,57BFE
400BF,3FEA7,3FF61
578FD,57910,57A7C
3FEC5,4006A,3FFBE
5792B,57A65,57B67
3FF3A,3FEE4,3FEED
5792E,57A77,57A3F
3FFBA,3FED0,3FD0B
5786A,578C9,57763
3FD89,3FDAB,3FD86
577A5,5768F,57769
3FDF7,3FE51,3FC6C
57823,57A30,57765
3FF56,3FF57,3FE80
57997,57924,57895
3FDE2,3FE1E,3FED9
5793B,578E1,57985
3FF82,3FE3D,3FEA3
578B6,5785A,5796B
3FDE3,3FF0B,3FFC3
57712,57962,57972
3FE39,3FD04,3FC0C
5792C,578FE,57848
3FD08,3FE61,3FFBD
5787C,57856,577EA
3FCCF,3FD31,3FCEF
577D6,57A69,579AC
3FFB6,3FE75,3FFB1
5780A,57958,57891
3FDD2,3FBA8,3FCE2
5751B,573CB,5728F
403C3,404C0,40340
57DE8,57DD4,57D82
4037C,4037F,40476
57E50,57E26,57DB4
404D0,40259,40298
57C93,57C48,57E34
40529,403D1,402F4
57EDA,57EDD,57ECB
4023C,40304,40410
57D1C,57E20,57ED4
40323,40073,4027D
57BA3,57AB3,57BF1
40239,40299,40217
57A5A,57C6E,57D93
403AF,401D6,4034C
57CA6,57DBE,57E10
40281,4026F,40349
57C58,57D55,57BCB
40307,403A8,40271
57E72,57D9C,57E80
40286,403BE,4018E
57B10,57D40,57DB9
40134,402B4,400BE
57D93,57DA2,57C32
401D6,401BB,401A5
57B16,57A5C,57BDB
4016A,400FF,4013E
57A9F,57C1B,57B5B
401B0,4008F,3FFEE
57C46,57A9F,57B92
40284,40168,3FF7E
57A27,57B32,57A8D
40380,401FD,403A1
57AF0,57E97,57D30
401F0,4012C,40158
57D32,57C98,57D83
4011E,40116,4020B
57D7A,57C67,57C46
40221,4022B,402ED
57B49,57AF0,57D24
40163,40099,40333
57A32,57BA5,57AB4
40009,3FF9C,40070
57A50,57A85,57B65
400EB,3FFEA,400E2
57A29,57B29,57B15
4005A,40288,3FF92
57AC0,57D5F,57D5E
400CD,40262,40047
57BD6,57C6A,57CB3
401B5,401E1,400EF
57C1F,57C0D,57B9B
40147,40090,4020E
57B3F,57B36,57BB5
40140,400CA,40173
57C60,57C39,57D61
4031E,40212,400DB
57C05,57D93,57D6F
4039B,401A9,40255
57B7E,57AFE,579A7
4011D,40216,4037C
57C72,57D08,57C06
40392,4012D,40200
57CB2,57C55,57BFA
401A2,40018,3FF16
5791E,579CF,57A81
3FE0F,3FF0E,3FFA3
57804,57849,57800
3FFB7,3FE90,3FF04
5786A,57A52,57811
3FE86,3FDCE,3FE23
579DC,57842,5786E
3FE01,3FF33,3FFD5
57728,5793B,579FB
3FDA9,3FED1,3FE20
576E9,5782C,57873
3FD2D,3FCD8,3FD78
57602,57566,57503
3FD7B,3FD0F,3FD55
578E8,57908,57B7C
3FEFB,3FD23,3FB81
5787B,57A01,578C1
3FC96,3FD2A,3FE3B
57772,57949,577E2
3FE75,3FBCE,3FD63
579B5,577DB,5761D
3FE61,3FDCD,3FCFC
57471,5772F,57637
3FE1A,3FE5E,3FED0
5760D,57783,57886
3FC6C,3FD1C,3FD82
57678,578FC,577E9
3FC2E,3FA6A,3FDC9
576EC,577A4,57728
3FC0B,3FED9,3FB56
57806,5761B,57599
3FF1D,3FF12,3FE8F
578EE,579E1,578BA
3FDDB,3FEE5,3FFD5
5784F,57828,5795D
3FE95,3FF5C,3FFF8
578B1,57774,5788E
3FD4E,3FDCB,3FE1D
578FF,57963,57A75
3FFB8,3FCAE,3FBDB
57710,577AE,57687
