{'CALIB_RAW_DAC_START_I': 917504, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-D245F,-D2417,-D2555
-BAA71,-BAA37,-BAB19
-D23CA,-D2423,-D248E
-BAA7E,-BA8E2,-BAA10
-D2369,-D2439,-D2479
-BAA81,-BA9CF,-BA823
-D2257,-D231D,-D2381
-BA98E,-BA893,-BA56E
-D2185,-D21A3,-D248E
-BA785,-BA56D,-BA5E3
-D21A5,-D227E,-D2262
-BA913,-BA798,-BA9B8
-D22D0,-D2203,-D2338
-BA758,-BA72B,-BA8B2
-D2333,-D2400,-D224E
-BAA79,-BA808,-BA7EF
-D21C1,-D22A4,-D2363
-BA7A9,-BA791,-BA937
-D2218,-D230C,-D21CA
-BA864,-BA807,-BA81B
-D2327,-D2140,-D23AE
-BA73A,-BA6DA,-BA772
-D2083,-D2256,-D21E5
-BA83C,-BA6B8,-BA71D
-D21D3,-D218B,-D20E2
-BA75B,-BA5BE,-BA917
-D25B6,-D238F,-D25E2
-BABDC,-BAA86,-BABEE
-D24E6,-D233B,-D2475
-BAB45,-BAB26,-BA947
-D24EC,-D24F2,-D245A
-BAA08,-BAABF,-BAA61
-D2554,-D22B6,-D2505
-BAAEB,-BAA35,-BAA07
-D24FA,-D24B0,-D25F5
-BA9D0,-BAC32,-BAA9D
-D250F,-D25EE,-D2653
-BA9B4,-BA951,-BA95A
-D2549,-D24F9,-D24CF
-BABBB,-BAA19,-BAA84
-D254C,-D244B,-D2360
-BAA64,-BAA36,-BA919
-D2289,-D21EF,-D25EA
-BA8AB,-BAAD9,-BA973
-D23D4,-D240A,-D23EE
-BA9D0,-BA9CB,-BA922
-D2186,-D254F,-D239F
-BA87C,-BAAE0,-BA94F
-D23F1,-D2460,-D2383
-BA83A,-BA8AC,-BA7BF
-D2154,-D258E,-D2404
-BAA7D,-BA903,-BA93D
-D2228,-D2358,-D24A3
-BA955,-BA878,-BA727
-D2272,-D2267,-D2253
-BA72C,-BA7A5,-BA6CA
-D22EC,-D220B,-D2309
-BA868,-BA907,-BA6AC
-D20EB,-D2295,-D2025
-BA7FD,-BA6C6,-BA80A
-D21A7,-D2289,-D2290
-BA56B,-BA6EC,-BA5F7
-D217A,-D221B,-D22DF
-BA7AE,-BA827,-BA705
-D20E1,-D211B,-D21E2
-BA713,-BA700,-BA7A7
-D230F,-D22F3,-D217C
-BA475,-BA672,-BA5E9
-D20DA,-D2084,-D1FB1
-BA8CA,-BA543,-BA467
-D213F,-D21C0,-D2162
-BA5DB,-BA6E8,-BA5E7
-D20E5,-D2195,-D2156
-BA571,-BA51B,-BA6A4
-D1EFB,-D20A6,-D1FBC
-BA77B,-BA66A,-BA57A
-D1FB2,-D1F50,-D1EDB
-BA6B8,-BA457,-BA47B
