{'CALIB_RAW_DAC_START_I': 753664, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
BD0C9,BD0B3,BCF16
D48BF,D498F,D4818
BD02B,BCDA2,BCED8
D4A3D,D4967,D4973
BCE0A,BD06C,BCECD
D49D6,D4969,D487B
BCF89,BCE33,BCE54
D48BB,D498D,D48C2
BCEF4,BCEF6,BD05C
D4783,D48FF,D4845
BCE6B,BCDED,BCD02
D497E,D4BAC,D4A04
BCF7F,BCE07,BCEA2
D46C5,D4858,D46E4
BCD4B,BCDF8,BCFE7
D4907,D4A23,D49BF
BCEA0,BCF52,BCF98
D4926,D49DC,D47EF
BCE12,BCD80,BCF25
D4901,D4A11,D4A71
BD051,BCF00,BCE2F
D4988,D4A43,D4997
BCEE2,BCFD7,BCDEC
D4978,D49AF,D4828
BCEB6,BCE3D,BCF8F
D47A4,D47BF,D493E
BCD34,BCFC1,BCFBE
D47F4,D4793,D47CB
BCC72,BCCE6,BCC6F
D4703,D4715,D4709
BCCA8,BCD4E,BCC95
D4700,D48AE,D46D9
BCC70,BCCB8,BCD8B
D4923,D4655,D47CC
BCD81,BCD0F,BCC7D
D482A,D4668,D46D6
BCD22,BCE99,BCDD8
D470F,D48ED,D4592
BCB5B,BCD0C,BCC06
D4645,D4795,D473E
BCBD5,BCF67,BCB2C
D48B1,D476D,D4721
BCB98,BCD8C,BCD5C
D48F7,D478F,D463B
BCD96,BCC52,BCC89
D4673,D4531,D46D9
BCE3C,BCC23,BCD51
D47D1,D484F,D4836
BCD24,BCC3B,BCD1F
D4766,D484F,D46EE
BCDEA,BCBD9,BCC66
D4760,D45A7,D4887
BCC96,BCE08,BCE22
D47F4,D4869,D49B9
BCF98,BCE97,BCE4D
D4658,D4821,D47E4
BCD1A,BCE9B,BCD11
D47AF,D48FB,D469F
BCC4C,BCCB6,BCC16
D34DB,D34BD,D3686
BD709,BD742,BD776
D50B1,D4FE6,D5038
BD461,BD5D5,BD5D4
D4FAA,D4E2D,D4FFF
BD509,BD508,BD4B6
D5165,D4F31,D4FA1
BD6A0,BD4F8,BD699
D50BB,D5047,D5081
BD56C,BD68C,BD531
D4DFE,D4F06,D4DEA
BD6F3,BD6FD,BD62E
D4FFE,D5277,D51B6
BD795,BD653,BD54E
D5391,D50B8,D52B8
BD504,BD5A3,BD51E
D50BA,D4FE3,D4F3A
BD5D5,BD5BC,BD3E5
D4FB5,D4F1C,D4F66
BD3C8,BD452,BD579
D513D,D4F54,D4FAA
BD385,BD561,BD534
D4F92,D4F35,D4FB0
BD539,BD4D2,BD314
D51AC,D4FAC,D506D
BD524,BD54A,BD5D1
D4FEC,D4E8A,D4F5D
BD5C1,BD5DE,BD4CB
D5007,D507E,D5157
BD58E,BD50B,BD655
D4FB3,D4F36,D4F3B
BD491,BD3A6,BD381
D4E67,D4DA6,D4F64
BD799,BD4D9,BD597
D4E75,D4F4E,D4FB7
BD54C,BD4CB,BD4E8
D50C8,D4F7F,D4F37
BD640,BD5A3,BD50F
D50AD,D5037,D4DF9
BD627,BD1EF,BD50E
D505F,D5088,D4E95
BD416,BD623,BD4FD
D4FD6,D4FEA,D51B0
BD498,BD381,BD535
D4E8D,D4FC4,D4FE0
BD5A2,BD657,BD617
D50B9,D5118,D5232
BD67F,BD2EB,BD69B
D500E,D52A2,D5148
BD49A,BD39F,BD315
D4FF1,D50A8,D5036
BD394,BD602,BD479
D4FF2,D4EFF,D51AE
BD34A,BD371,BD3E3
