{'CALIB_RAW_DAC_START_I': 196608, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-148831,-14897C,-14887A
-130E74,-13113E,-130DFF
-1488BF,-14873E,-14895F
-130F0E,-130DA4,-130F41
-1488E5,-1488BF,-148AA5
-130EED,-130C7D,-130D74
-148735,-148917,-148766
-130DB0,-130EEA,-130EEC
-14891E,-1487E3,-1487C7
-130E7A,-130F38,-130E02
-1487DC,-1488A1,-1487AE
-130D6B,-130E0A,-130E83
-14881C,-1488EB,-1488A2
-130D6B,-130DCE,-130DB0
-148827,-148719,-1488EE
-130BFD,-130B53,-130CC3
-148880,-1488B3,-1489EE
-131093,-13100B,-130F65
-14893A,-14867F,-1488C5
-130E37,-130DDE,-130CDE
-148869,-1489CA,-148831
-130F57,-130FA8,-130FC2
-148A6A,-148890,-1488BB
-130F3E,-130E7A,-130D6B
-148A92,-148ACA,-14898C
-130F15,-130ED1,-1310C9
-148A29,-148A59,-148877
-130F8F,-130F26,-13100F
-148871,-1489B7,-148842
-130EF9,-130FC5,-130D12
-14893D,-1488F3,-148906
-130ED4,-130D17,-130F76
-14894E,-148B1C,-148927
-13102E,-130EFF,-130F32
-1488E0,-148B3E,-14886D
-13104D,-130F04,-130D77
-14893F,-1489AF,-148AD8
-130F74,-130F33,-130FEB
-148A59,-14885B,-14898E
-130EE8,-130DC2,-130E7E
-1488FF,-1489C2,-148BEA
-130E13,-1310AB,-130EFB
-148AD1,-148A25,-14868A
-1310CE,-130FC5,-130F1F
-1488C4,-1489B3,-148959
-1310DC,-130EF8,-130F85
-148A34,-148954,-14879E
-130CEC,-130DA9,-130DC8
-14893D,-148AD5,-148B2C
-1310E6,-131099,-130EE6
-148A0D,-1489C3,-148978
-131136,-13106B,-130F8E
-1489B7,-1489EC,-14896F
-130FC2,-130F7B,-130D33
-148A13,-148A71,-148A91
-13119C,-131083,-130F63
-148958,-148A6E,-148CF6
-130F9F,-13108C,-130DBA
-148BA6,-148C24,-148AAC
-1310F2,-131046,-130F33
-148B4E,-148B34,-148B30
-130FB0,-130E9D,-13105D
-1489DA,-148AD1,-148C09
-132276,-132232,-1321E6
-1481BC,-1480A5,-1480A6
-1307D9,-130794,-13082E
-148364,-1482E4,-148178
-130855,-130517,-1306D2
-14813C,-1482C8,-1482E8
-130875,-130794,-1306ED
-148278,-1480E1,-148268
-13060F,-1307C5,-1306C9
-1480F1,-14821A,-148114
-13057F,-130736,-1307D5
-148453,-148275,-14814A
-1308B3,-1306F8,-1306DA
-148090,-14801C,-1482A2
-1306E0,-1308EA,-130797
-1481B2,-1481EC,-14805D
-130657,-130711,-130756
-148299,-148215,-1481D9
-130960,-130697,-1308B7
-14827C,-1482D0,-14816F
-1308EB,-13071B,-130687
-148356,-1483A6,-14826D
-1309C4,-1308A7,-130851
-148113,-1483D8,-1482EA
-1305E0,-130679,-13057C
-148354,-1481E8,-148206
-130708,-1306D8,-130732
-147EE9,-1480E3,-148269
-13074D,-1306BF,-1306CB
-148231,-1482AD,-1481F2
-130756,-130751,-130788
-1480F7,-1481EF,-148157
-130803,-130766,-13092E
-14829E,-148375,-1481A9
-130808,-1307C5,-13082A
-148179,-1481BB,-148302
-1307DC,-13076A,-130721
-1480C2,-14814E,-148398
-130695,-1308BB,-130908
-148239,-14826B,-148279
-13063F,-13066A,-130526
-148136,-14819C,-148070
-1308C1,-1306E6,-130671
-1480F2,-148117,-1480D1
-1306BD,-130745,-130460
-148283,-14812E,-147FFB
-1307EC,-1306CB,-13055B
-148260,-1481F4,-14826C
-1306D3,-130553,-130631
-14824B,-14827A,-1482CC
-1308F9,-130727,-13078D
-148112,-14818A,-14834A
-130733,-1305A2,-13072A
-14810A,-148247,-1481F6
-13076A,-130673,-130AF8
-1482A4,-148201,-1483DF
-1307D1,-1307AF,-130871
-148298,-1481E6,-1481CB
-1307B7,-13081A,-130891
-14825D,-1482DB,-1482BC
-130838,-130749,-1307A3
-148125,-147F8E,-148151
-1306E4,-130631,-1307C5
-14811B,-1480AD,-1482E7
-1305B0,-1307A2,-1307B1
-148341,-148339,-148489
-1308DB,-1307E1,-13094A
-148282,-1482B0,-1482A0
-130950,-1308CC,-130999
-148354,-1484B1,-148258
-130646,-1307CD,-13092E
-14847D,-1484DC,-148354
-1308F1,-1309B5,-130719
-148476,-148359,-1483F4
-130BB8,-130A74,-13092D
-148208,-1481F6,-14845F
-130931,-130717,-13084B
-148225,-14820B,-1482C2
-130942,-1308DE,-130812
-1483E9,-14862E,-1484B5
-1308CC,-130895,-1308EF
-14832E,-148418,-1484F5
-130B94,-13094E,-130ACA
-14847D,-148361,-1484C3
-130B86,-130981,-1309F7
-1482C1,-148490,-14844F
-130989,-130B3B,-130C27
-14833D,-14843F,-1484D1
-1308BD,-130948,-130A58
-1483D8,-14853B,-148311
-130A85,-1307B2,-13091F
-14831A,-14829E,-148461
-13096F,-130A1B,-13091B
-14831D,-1482F5,-14832C
-1308E0,-130A96,-130871
-1484D9,-148254,-14829F
-130972,-130AAB,-130AF4
-148467,-14829A,-148459
-130A74,-130A9E,-130918
-14844D,-14840F,-148569
-130983,-13096A,-130A01
-14857C,-1483F4,-1483F9
-130A74,-1308C0,-1309FE
-1484E7,-1484DF,-1484D4
-130A98,-130AC8,-130A4B
-148451,-148316,-148293
-130AB8,-130B12,-1308FF
-1484D5,-148617,-14839E
-1308BB,-130A2B,-130A01
-148495,-148534,-1486A5
-130A9C,-1307D4,-130AAF
-148476,-1484FE,-1485B9
-1309EB,-130A2D,-130ADB
-1485D3,-148676,-14861A
-130BFC,-130AD7,-130A36
-148399,-1485C8,-148636
-130B03,-130A9C,-130B02
-1485DB,-1485FD,-148477
-1309CE,-130BB9,-130B12
-14859F,-14854B,-14854D
-130C1F,-130A99,-130BFC
-1485A5,-148497,-148588
-130BA8,-130BC9,-1309DF
-14853D,-148418,-148495
-130A5A,-130A3A,-130B88
-148344,-148567,-148449
-130AC6,-1308DD,-130B5A
-1484A2,-1483C4,-148549
-131373,-131317,-131370
-147F5B,-1481BE,-147F17
-13076B,-130723,-130878
-1481EC,-148167,-1480C8
-1304DA,-1306B7,-1307AC
-147F5A,-148104,-147F25
-130813,-13067F,-130593
-14816E,-148127,-1480C1
-130643,-1306F8,-1304AE
-148103,-147E30,-148032
-1306C1,-130471,-1304C4
-147F18,-148051,-147FB5
-130810,-1306B9,-130666
-147FD6,-148182,-148017
-130742,-1305D2,-1307C7
-1480D1,-1480F1,-14810A
-1306F4,-1305FC,-130577
-14820E,-1481BC,-148286
-13083E,-13071F,-130539
-14815A,-148161,-1480A7
-13070E,-1305DC,-13052B
-1481EC,-148159,-148046
-1306C7,-130533,-130453
-14831B,-1480CE,-148062
-1306D3,-13070A,-13086D
-14800F,-147F91,-148085
-1305EB,-13049A,-130578
-14805D,-148238,-1481E7
-130647,-130641,-1305C2
-147F07,-14805A,-1480D0
-1308FD,-1306D8,-13065E
-148125,-148076,-14821C
-1306CC,-13060E,-13065A
-14824C,-14820A,-147F9F
-13070A,-130757,-13075A
-148188,-1483DA,-1482A8
-13073B,-1305C7,-13067B
-14821A,-148363,-1481EA
-1307CF,-1307CF,-1307C4
-14826A,-148109,-1481A9
-130761,-13077D,-13060E
-148241,-14813B,-148153
-130882,-1307CC,-1305CB
-147FA2,-14804E,-148171
-1304F8,-1305BC,-130782
-148163,-148198,-148093
-13078B,-13075C,-1307C6
-148281,-14816B,-1480FC
-13054C,-1306B5,-1306F4
-1480FF,-148276,-1481B4
-1307B4,-1306DB,-1305C7
-148275,-148222,-1483AE
-13091C,-1306DC,-130606
-14809D,-148199,-1482ED
-1307AE,-1308D3,-1308CC
-14818A,-148272,-148129
-13077D,-130796,-1306DD
-14815E,-148146,-148163
-130847,-130799,-130701
-1483DD,-1482FE,-148210
-13091A,-13096A,-130680
-148226,-14819E,-1481BB
-130776,-1309B8,-13087B
-1482A6,-1483B1,-14820F
-13069F,-13077A,-130780
-148279,-1481ED,-14830D
-1308AD,-130AA9,-1309F7
-1483FE,-14850C,-148324
-130960,-13078D,-130950
-1483B6,-1482C6,-14848E
-130A84,-130955,-13081C
-148279,-1482E5,-14839A
-130769,-1308F5,-13082D
-1482C9,-148000,-1482F7
-13090E,-1308E8,-1307F7
-1481FC,-148252,-1481E8
-130721,-130870,-1306CC
-1482F5,-148440,-14825B
-1308AF,-1309F3,-1307A6
-148313,-1483CE,-148448
-1307F1,-1308E1,-130859
-1485B4,-1484CC,-1483D6
-130934,-130C4D,-130962
-148597,-148416,-1483E4
-1309D2,-130A40,-1309FD
-148597,-14859C,-14844A
-130B0E,-130B6E,-130BE1
-14841A,-148446,-14844C
-130904,-130914,-1307FB
-148433,-148572,-1483AD
-130A86,-13091C,-13096D
-1483F3,-148434,-148375
-130CBF,-130A81,-130B7A
-14858B,-1483D8,-148611
-130A4A,-130A05,-130B0F
-148412,-148491,-148597
-130B86,-130C24,-130ADC
-148679,-14848C,-1483BE
-130CB3,-13096B,-130A94
-148441,-1487FB,-148541
-1309D0,-130B9E,-130B0A
-1484BD,-1486F8,-148611
-130AD9,-130BE7,-130C52
-1486EA,-1483AF,-1486A3
-130A7F,-130A96,-130A97
-14838C,-1483A3,-148707
-130A40,-130B80,-130D65
-148534,-148563,-148410
-130C10,-130CD4,-1309E0
-148862,-148588,-148425
-130B3E,-130983,-130ADF
-1482EF,-148477,-148532
-1309AF,-130958,-130A6F
-148352,-1484C9,-1484C3
-130B65,-130BD0,-130A51
-1483CB,-14852A,-1484FC
-130998,-130AB3,-130BB8
-14835D,-1484DF,-14841A
-130AB4,-130A07,-130C41
-1484C4,-1484F2,-14862B
-130A5D,-130A68,-130A9C
-148636,-1484E6,-148705
-130BB6,-130B28,-130D30
-1485D1,-148572,-148599
-130C37,-130B64,-130B29
-14844D,-148561,-1485DE
-130B9E,-130B40,-13098A
-1483E4,-148539,-1485ED
-130F2D,-13108D,-131150
-148A0B,-148AF9,-148AF2
-131012,-131201,-1311AC
-148B03,-148AF7,-148AE7
-131068,-131104,-130F31
-148BD4,-148BD9,-148C32
-1310DD,-130F6E,-131197
-148CCC,-148CE3,-148AFF
-13121A,-1310B5,-130F8D
-148A22,-148D15,-148BFE
-130FA7,-1310B0,-1311D3
-148A59,-148B4B,-148A6D
-131136,-131132,-130FE4
-148BD4,-148B66,-148D1F
-130F5E,-13122B,-131192
-148B12,-148AE5,-148C62
-131170,-131181,-130F6F
-148AC3,-148A2F,-148B41
-131268,-130F46,-131039
-148A4E,-148ABB,-148A57
-130EF7,-130FE2,-130F8E
-148A2A,-148AE0,-148BA7
-130FF5,-131056,-131056
-14886D,-148AAE,-148987
-130FDC,-130FAC,-130F6B
-148C20,-148AA9,-148BB5
-131344,-1311D0,-131128
-148B11,-148AA0,-148C31
-13116C,-131101,-130FC1
-148B73,-148BC9,-148B10
-131215,-1311E2,-131321
-148B9E,-148CA9,-148C23
-1312B5,-131093,-1312DC
-148CD7,-148C4C,-148C18
-13134D,-131290,-13116D
-148CB2,-148C42,-148CC5
-131083,-13111F,-131151
-148CBE,-148B53,-148AE8
-13124D,-131190,-131286
-148C9D,-148D20,-148B46
-131059,-1311AB,-131120
-148C33,-148B6D,-148B4F
-13107D,-13131F,-1312E5
-148C21,-148BAD,-148CE9
-131083,-131143,-130F6B
-148B79,-148C35,-148ABD
-131114,-1310F0,-131018
-148A9B,-148ABC,-148B30
-1310FE,-13106B,-131357
-148D21,-148D3A,-148C32
-131329,-131153,-131035
-148D0A,-148C9D,-148D38
-131318,-131157,-13132A
-148A4F,-148C2E,-148C58
-131282,-131111,-13108A
-148CF5,-148BF8,-148BA0
-13123F,-1311B7,-1312C2
-148BAD,-148CCA,-148A89
-131196,-13129C,-1310D6
-148B67,-148C2D,-148B63
-131217,-131135,-13115D
-148D90,-148D1E,-148BB6
-131091,-131089,-130FF7
-148B48,-148B54,-148D33
-131201,-131147,-130FB8
-148DBF,-148D8D,-148C24
-13124A,-131148,-13134D
-148D22,-148C77,-148EE7
-131441,-1314F3,-1311A5
-148B9E,-148FC8,-148E28
-1312D1,-131487,-1311AC
-148E7C,-148CB8,-148D9D
-1312A7,-131279,-131396
-148BEB,-148D8F,-148B8E
-13110F,-13128F,-1312BA
-148D5E,-148AC0,-148C71
-13139D,-131154,-131063
-148CA5,-148C7B,-148B8A
-1312BC,-131243,-131439
-148D21,-148DA4,-148D8A
-1311CF,-1310AE,-130FEC
-148CFD,-148D1B,-148DEC
-131366,-1312C2,-131373
-148DFC,-148DE1,-148BCB
-1312DA,-13121B,-131220
-148CCB,-148E33,-148C2F
-131163,-1312B4,-130FC9
-148B7A,-148D21,-148DF4
-13135C,-131239,-131248
-148B02,-148D09,-148BDD
-131363,-1310CD,-130FCD
-148B6F,-148B68,-148CC2
-1311B7,-13131D,-131265
-148B37,-148C89,-148C22
-13114A,-13130F,-1313E5
-148C9B,-148E3C,-148DD0
-131418,-13128C,-131369
-148BC3,-148E92,-148CFA
-131380,-13142B,-1311D9
-148E72,-148CD8,-148BE3
-1311C3,-131462,-131256
-148D84,-148CF1,-148AAA
-1313DD,-131464,-131227
-148EB5,-148DC1,-148DC9
-13105D,-131216,-131208
-148CB9,-148CAD,-148B74
-131490,-131355,-131289
-148D9F,-148DB0,-148D26
-13137F,-131211,-1313EA
-148CB3,-148CEB,-148CD1
-1313A8,-13112A,-1311D6
-148D45,-148D89,-148D15
-1313C1,-13110B,-131225
-148D8F,-148F60,-148D07
-131062,-131264,-1312C3
-148CE6,-148EF2,-148E8B
-131234,-1312E5,-131256
-148E08,-148DCA,-148E26
-1313BA,-131237,-131455
-148D78,-148E16,-148E5F
-131142,-1311B1,-1313EE
-148CF7,-148E01,-148E1C
-131413,-1312CE,-1313B8
-148E45,-148E8F,-148EF2
-131364,-1312F4,-131264
-148C89,-148C8A,-148CCC
-1314A1,-13142A,-131321
-148E24,-148D9A,-148D09
-131E29,-131C74,-131EFD
-1488E5,-148A05,-148AB2
-130FD2,-131175,-13121C
-14887A,-1488BC,-148AEA
-130D2D,-130FC9,-130F7D
-148B82,-148B6A,-148BB2
-1311C5,-130E8B,-131038
-14894E,-148A23,-148AB2
-130FAA,-13101D,-130E96
-148849,-148972,-14897E
-130DE8,-130EE4,-13110A
-14899C,-148A71,-148882
-130EE6,-130F56,-130EFB
-1489A8,-148A6C,-148B46
-130E2B,-130F98,-130F83
-1489CF,-148A16,-1488D6
-130E67,-13100B,-130F88
-148803,-148BB8,-1489B8
-130FCF,-130FC7,-13103B
-148B02,-148C77,-148A1B
-131026,-131088,-1311D3
-148B17,-148A23,-148904
-130FF5,-13111D,-13111C
-148A95,-148ABC,-148C34
-13103E,-131084,-131123
-148960,-148B60,-148995
-131037,-131087,-13115E
-1489AB,-148B1D,-148B6A
-131212,-130FDB,-130EAC
-14893A,-148913,-1489B4
-13102B,-13103E,-13112C
-148B07,-148B63,-148A93
-131088,-13106C,-13116D
-148AE0,-148B12,-148A9C
-1310BE,-1310F4,-131151
-1488E7,-1489BD,-148C06
-1310A9,-13104D,-130EFB
-1489C4,-14889D,-14893A
-1310ED,-131139,-131123
-148824,-148ABA,-148A19
-130FA1,-13108F,-130FD3
-148A9A,-148AB9,-1489F1
-130F08,-130EDA,-130FC7
-1489AC,-148839,-148A39
-130F08,-131087,-1310B4
-148A13,-14894F,-148A0F
-1311CD,-130F3A,-130F20
-1489AC,-148D50,-14897D
-13104D,-130E3A,-1310BA
-148AFE,-148D36,-148C5F
-13123E,-131117,-1311DF
-148A8D,-148C3B,-148B17
-131089,-13112E,-13117E
-148C50,-148CB2,-148CF9
-13135D,-131000,-13121C
-148CD3,-148B97,-148AD8
-1310A3,-131137,-131097
-148B3A,-148B0A,-1489B7
-131149,-131130,-1311DE
-148B6F,-148BEA,-148AD7
-1311B4,-131023,-131161
-148A4D,-148D5C,-148BBF
-13116A,-131320,-13117D
-148B75,-148CEB,-148CE7
-131321,-1310D1,-131192
-148BD2,-148C48,-148D4C
-1311AA,-13116D,-13106B
-148D8A,-148CC9,-148B05
-131200,-131108,-131219
-148BEA,-148C15,-148BA0
-131102,-131185,-1310F3
-148C0E,-148D7F,-148D22
-131131,-13131E,-131092
-148AD6,-148AF2,-148B72
-13120A,-13117D,-131120
-148BD0,-148BDD,-148B53
-1312F3,-131236,-1311A4
-148BFA,-148C69,-148C08
-131133,-131303,-131263
-148BD3,-148BF1,-148BD4
-1312EB,-131036,-1311BA
-148CBC,-148D30,-148C85
-131437,-13124C,-131434
-148C9A,-148BE4,-148D20
-13144A,-131176,-13129D
-148B30,-148D2A,-148BC2
-131291,-1312D8,-131262
-148CC5,-148D5E,-148D8E
-13137F,-13139A,-131380
-148CC2,-148BC8,-148B3C
-131322,-131227,-130FEA
-148B26,-148E8C,-148CE9
-1313E2,-131221,-13128D
