{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
61F67,61FFF,61ED7
79A39,79BE9,79A4F
61FA5,61D8A,61FA5
7998D,7997A,79A0A
61F66,61E24,62035
7984E,79923,79932
61F57,61D1B,61FDA
79A5E,798EC,797E6
61F72,61E4A,6201B
798ED,79701,7990E
61DC6,61CC0,61CA6
79798,7988E,79AFF
62037,61E53,61E0C
79588,7977C,7986B
61DB7,61E8F,62061
79931,7999B,7990B
61DE9,61F06,61E37
79B1B,7991C,7972D
61FC8,61E5F,61D6B
798DF,7995A,79904
61E94,61CFE,61D40
7980B,79774,79847
61D6B,61C87,61C59
796FE,796EE,79797
61E85,61E86,61D3D
79886,799F7,7980D
61CF6,61F27,61ECC
798B0,796D6,79A07
61EE7,61EA3,61E68
796C7,797EC,79880
61D09,61B76,61F2D
79837,79828,79898
61FB8,61DAE,61EC5
7986D,798DF,79C5D
61F6B,61FB1,61F51
799A2,79A21,79879
62145,61CEC,61D63
7971C,79889,79989
61C43,61EA4,61CD2
79918,797FC,79819
61FF7,61E4F,61EB0
79802,7982B,799B7
61E49,61F2D,61D38
798E5,79820,7977A
61EC6,61DA1,61D86
79959,7970A,7981E
61D96,61D19,61D2E
797F0,79A19,79980
61D41,61D62,61E28
798C8,796D8,797DE
61EA8,61DF8,61CFF
79938,79855,798DC
61EB5,61CEB,61D32
797DF,79605,79730
61B45,61C4A,61BE7
7972D,797C1,79675
61BC9,61CA9,61D48
7965B,795F1,795ED
61D35,61E0B,61B57
796D2,7972D,79598
61AF6,619F2,61BBE
795A7,796EE,7966B
61AF6,61C6E,61DBF
795F0,7988E,7963E
61AEB,61D36,61A4F
7951F,798C0,7972E
61CB0,61AE5,61CED
79722,79654,796A1
61C85,61CF8,61C93
79419,79591,79745
61CD4,61AD1,61AEC
794EE,7958E,79828
61A02,61B95,61B62
795F7,795F4,79611
61B47,61D73,61AFE
7978E,795A8,7955E
61BC3,61BC4,61C38
795FA,79674,795A1
61BA4,61A45,61C02
794A4,79468,795EC
61CC0,61AD7,61978
7952C,79559,7943A
61A66,61A1D,619B7
794FB,795B3,7968B
61913,61AA0,61A1D
7961E,79617,795DC
61BE8,61BB2,61C5D
795FA,7953C,796F9
61DE6,61C23,61B58
79347,7959B,79786
61B03,61A4E,61BB1
79536,795A0,79507
61B37,61B39,61B9C
795DC,797FF,79697
61C92,61C0B,61C32
79619,79680,7968D
61BC9,61B81,61C17
7959F,7988D,795D1
61A9C,61AD9,61BB6
79627,796AE,79671
61BFE,61AC0,61AB0
794AC,7945E,79474
61AE0,61AC6,61A84
796F6,79426,794A1
61ACC,6197F,61ACC
79510,79605,79632
61B03,61A9A,61B28
79516,7963E,7984B
61AED,61B16,61AED
795FE,7961B,79486
61A8C,61A06,61B32
79457,7962D,792C1
619B8,61AF2,61B9F
79410,793C8,79384
619B6,61C15,619EC
78BEE,78A5C,78B07
61F82,61D45,61E3B
797D8,7997D,79A61
61E65,61DFB,61E24
79798,7987A,79A03
61F5C,61E7A,61FB7
799A6,79971,798C3
61F2F,61DA8,61D7A
7988D,798D1,79B43
61CD9,61FB7,61F7F
79874,79B89,79908
6201D,61F8A,61F71
7988E,798F3,79A63
61E80,61EA1,61E18
79840,7989D,797D2
61C99,61EB8,61D5E
79A15,7984A,797B7
62005,61F3D,61DAF
7991D,79924,79956
61E18,61E8F,61EA9
796CA,79905,79791
61DD0,61EF0,61E38
79890,796C2,797AE
61E1A,61F86,61F33
7982A,79956,79956
61EB6,61D97,61FA7
798B5,79787,797E5
61DCB,61F0D,61E61
79A0D,79C48,79A90
61F4F,61DF0,6203A
7993A,798BC,79983
61E84,6202D,61F92
797DC,798D0,7987F
61E2B,61DCB,61E22
796E2,79628,79790
61EC6,61DAD,61C55
796EF,797EC,797F4
61CDE,61D31,61E21
79683,796DA,79740
61C82,61D7F,61D53
79855,7972A,7970C
61B96,61D72,61DE4
797E6,79974,79B5E
61EE9,61E41,61CAA
79844,799FD,79871
61CB9,61E72,61DE6
799F7,798F3,7998D
61DE1,61E87,61E36
7993F,799A4,799EB
61ECA,61E45,61E80
7983A,799D2,798FA
61C6B,61C02,61D32
79930,796FA,798B8
61E0D,61D9E,61CD4
796E3,79795,798D5
61F1F,61D11,61C85
795E7,79796,797AE
61CA3,61D61,61B4B
79725,7994D,79837
61DAC,61DD3,61BF2
7987F,796EF,79750
61DEA,61B34,61D1D
79655,796D9,798C8
61C71,619D7,61CC6
79960,79A5C,798CA
61D07,61D98,61AEE
796D3,794DD,79686
61D7C,61DE8,61DCC
79796,7964A,79793
61E57,61D44,61CE1
7955E,798E4,79681
61D0D,61C13,61C05
7964C,7978C,79707
61CBE,61D3C,61BC7
7971C,795FE,7985E
61DC5,61CA3,61C5D
797B8,7973C,79790
61CD4,61C39,61CA7
796E6,7980D,797DE
61DF7,61E5B,61BDD
7975B,79A6F,79847
61CC2,61C68,61AB3
796FD,79697,794DB
61CD6,61CDE,61B2F
79666,7965E,79697
61A64,61BA5,61913
79774,794A5,795E9
61AD3,61D14,61C7A
7964B,79798,795F1
61AC3,61BFB,61C27
79505,795E5,79551
61B01,61AC7,61AD5
796CE,795EF,798DE
61D3C,61B88,61D4B
797A6,79717,79695
61CC1,61C24,61CA2
7959E,7960F,797BB
619FB,61C49,61C25
79669,7974A,797A5
61AB3,61CFE,61CC1
79605,79515,79587
61BFA,61C3A,61BE6
7957E,794AA,794E0
61CF2,61C77,61ADE
79654,79805,795F7
61C0E,61C7C,61C73
7983C,79731,7961D
61A79,61B8B,61BE1
794FB,7986B,7958F
61D94,61EF1,61BA9
7966E,7965A,7966D
61D29,61D50,61B5E
79715,7966C,79681
61BB2,61CB9,61ACF
79562,79671,794E5
61B03,61ABA,61C78
794B7,7961A,7972D
61914,61B30,61BA6
7945A,79523,796BE
61AC9,619A2,61B55
794F2,796E7,796DA
61B66,61B87,619ED
795E1,79543,796ED
61CB9,61BFF,61CB6
79871,7958B,795F6
61C52,61BD3,61C1F
79911,797B6,7948C
619A6,61DDF,61B9D
790FD,7916A,79091
615E3,6152C,615B3
78D77,78D75,78FF5
615D0,61420,614A1
78FC9,79208,7919A
614B7,6151D,6146F
790C5,78DFA,79152
619C0,61579,6166C
79209,79050,79189
61434,615F1,61491
792B8,790FF,79174
616FD,6165D,616C0
79222,79191,7908B
61530,616F7,615C5
790C2,7926B,7913D
61657,617B1,615E8
79221,79272,79124
61656,61673,616FC
79071,78E38,78F1D
6156A,61656,61428
78FA9,79009,790B8
616E0,61733,61696
79040,79037,7906A
613DB,615B5,615C8
7908C,790E9,7904B
6175E,61650,615AF
78E45,7902D,78EF8
615AE,615E5,61394
78FAA,79032,790E9
61430,61501,61405
78FF2,79115,7917E
615D0,6140F,615CC
78DB2,78CB6,78F2F
6142A,61647,61568
79147,78E2D,78C2E
61469,612CF,614C5
78ED1,790D9,79142
61492,6149D,614D7
78D91,78B9B,78C64
613BE,61300,612FB
78EC8,78F9E,78F21
611D4,61362,61388
78F83,7902F,78D9F
614EB,615EB,613FF
78FA8,78FBC,79007
61355,61471,6156B
78D9F,78E6F,79046
61525,6120B,613CC
7906A,78E80,7901D
61339,613B9,61456
78E73,78E61,78D8B
613EA,610C0,61396
78CEA,78D10,78EB8
61392,61325,6131D
78DB1,78E8C,78B26
6142D,615A1,613A4
78E40,78E45,78E79
61395,6145B,615D4
78DEA,78F7B,790E2
61504,615FA,6147E
78E84,79026,78E28
61552,613B9,613EC
79162,79092,78D98
6166B,615B8,612DB
79054,78F13,78F2A
613C9,6135A,61306
78D75,78CB8,78E31
61398,6143C,613B5
78DF7,78EE0,78E2E
611FF,61316,612B2
78E29,78DD9,78FDF
614D0,612CA,612F4
78ECE,78E0B,78E05
6133D,613AE,612DB
78D30,78D50,78D6D
61378,61264,6134A
78E2F,78DB4,78FF4
613A0,6120B,61360
79029,78F2D,78F38
61486,615DF,614B6
78E21,78BD7,78F1E
612BC,61376,61144
78D53,78BBD,78D5D
612B0,613AD,610CD
78E21,78DE4,78BED
613D8,612DE,612A7
78B14,78A2C,78CE0
6114C,6117D,61235
78CBC,78C47,78E83
61397,61118,6112B
78E6C,78C56,78BEA
61066,6118C,61311
78B04,78AE4,78C19
612BB,61248,611A9
78BB1,78BC8,78D8A
61293,61285,611A1
788F6,78A29,78A8B
61296,61224,6100E
78C53,78A9F,78B9E
61220,61145,61427
78CEC,78D00,78D23
6118D,610E3,6112C
78AF8,78C51,78B0B
6129B,6112C,61054
78B69,78C53,78C3F
6114D,610E1,610E6
789FA,78C25,78A11
611EE,6115C,611C0
78CC7,78D9A,78D32
610C3,61130,612C9
78B64,78BDF,78C75
6138B,6118B,611B5
78D08,78E21,78D4C
610D4,61355,612D1
78BC3,78C65,78AF8
61101,61101,611EE
78B9F,78B1E,78A44
6118E,61335,610BA
78D33,78C41,78B9C
60F69,61106,60F7C
78C22,78A83,78B2C
6110C,610B0,61222
78B40,789E5,78C44
610CF,6121A,610FB
78CCF,78CAB,78C48
610C6,60F1C,6108E
78CB0,78A72,78B93
60F21,61091,6103E
7800C,78173,781EE
614A9,6150A,61302
78DE3,78C22,78E16
61302,6148D,613E4
79007,78F3C,790FA
61466,614DF,61580
78F98,79049,78EFA
61606,614E7,6137E
78EC5,78F83,78F69
6142A,614E5,61443
78E32,78D07,790E8
61550,61564,613C7
78F13,78F6E,79024
61532,614E5,615C1
78E6C,78F55,78F15
614EF,614C1,61356
79107,7912D,78EF3
61574,616F5,614F2
78E23,78EE3,78FD8
61517,6148A,61463
78DDA,78F9E,790E6
61528,6141F,613D6
78D4D,78E49,78BD2
613BF,614AE,613FA
78F91,7906A,78E51
613CC,614E2,615EA
7911B,79172,790C1
61686,614EB,61396
79054,78EC6,78FAF
614E8,614CD,615C5
78FE1,7902F,78D3F
61384,61560,61529
78EE2,78EBA,78E10
6154E,61388,614AB
78D66,78D39,78E7A
61286,6148E,614BB
78E46,79055,790B2
61248,6163B,616F8
78EAF,790E7,78DFA
61500,615B9,61398
79017,78DBE,78FB0
61490,615D6,6164B
7907C,78FCF,78FF9
616B7,615EF,614D0
78ECB,790B3,79085
615EB,613B8,6153C
790F8,78FD6,79243
6152B,616F6,61513
7917E,7916B,78ED8
614C3,612B0,6138B
78DA7,78DF8,78DB2
6125B,61586,614EB
78D3E,78E61,78E6B
6141E,6132C,61394
78F2F,78EF9,78E16
61481,6142D,614DE
78F63,78FE9,790A7
616A2,6163A,614B2
78ED8,78F4D,79121
61815,61688,61741
7900B,7901A,78F39
61519,615E1,613E6
79011,78F32,78E7E
615C6,6158D,61496
7902E,791E9,7919B
616CD,61633,61585
78E80,78FD6,78F26
6144C,61499,615CA
78F86,7908D,78F0D
61714,61438,61564
78FCB,78F98,79169
614B7,61458,61510
79111,78F1F,78F14
6145C,6131A,614CF
78EC2,78F81,79021
616F8,61584,6147B
78D65,78CEB,78EA7
61440,61396,61466
78D4F,78CDE,78E4D
6134E,612BA,613CA
78DE6,78F34,78F17
611F7,6131F,612C4
78EB1,78E99,78D83
61495,612A9,61227
78C4E,78DCA,78E55
61307,61311,61258
78CC8,78C9E,78C27
61260,611A4,60F87
78BCD,78D44,78D81
61292,61252,61328
78C38,78D2E,78CD1
61442,613DE,611D3
78E63,78C56,78D2B
6135B,61282,61343
78BEE,78D1E,78DD4
6152B,61317,613B9
78C75,78BA8,78C23
6128E,6122D,61281
78B61,78C80,78B87
6141A,61277,61299
78D05,78DA1,78F92
6147A,61291,6122F
78CED,78EE2,78D44
61363,6130E,613B8
78D92,78DDA,78EB6
612AF,61381,6125E
78C96,78BD6,78C1E
612D8,612BF,611AB
78E56,78F35,78E57
61311,612B6,61369
78F73,78D19,78E9F
6134F,61236,61361
78D95,78F12,7905A
61448,612C8,611E9
78AD9,78B49,78B0C
6112D,61064,61101
78DFF,78C95,78CA4
613A9,611BC,6110B
789F3,78C97,78BDC
6112A,6123C,611A8
78CB4,78CEA,78C23
61108,6110C,60F53
78B18,78D7A,78B4D
61216,6123E,61192
78D40,78DF3,78D20
61122,610F0,61260
78D36,78D10,78BF4
6109D,61276,61254
77E7F,77D7E,77E24
61AE5,61A72,61A97
795BB,7959F,794EB
61BB1,61BA5,61DD1
79805,7970B,796D2
61A4C,61B00,61B20
7954D,79616,795E2
61AC5,61A54,61B75
795DD,794FC,7962D
61C0F,61BB0,61B49
7950D,79453,7959F
61A12,61B69,61B63
796BE,796EA,795EB
61C21,61AC3,61C34
795A3,794EE,79672
61C5E,61912,61C4D
794FB,79469,79539
61B0F,61B13,61A3E
7937D,7943C,79544
619F4,619DC,61AF1
795D4,79451,7967E
61A27,6198D,61AD7
794E7,79406,79666
6199E,6191E,61929
794D9,794BD,79530
61A2A,61A49,61AD6
795FD,7948E,79578
61B34,61845,61AFA
7924D,796A0,796AB
61AA6,61A6E,61BB0
795B9,794ED,79405
6193F,61AF8,6196C
79259,794FE,79473
61B51,61973,6180D
7941F,794B8,79481
61A16,61B31,61918
794E1,793F4,79662
61AAA,619F0,619E6
792E6,79445,7973B
61BD4,61A72,61A09
794BB,794FE,7942E
61D04,61C36,61AB4
79622,795A0,795C2
61A3F,619B7,61840
791F1,7972B,7948A
61A40,619E0,6179C
793C1,79353,792EF
61923,61825,61882
79430,79534,7930A
61984,619F7,6186A
79408,79311,794CD
6186C,61A08,6181C
79465,792E1,79185
61900,6197B,6183F
793D3,792F7,79343
61765,618CA,619A8
793DF,7947F,7932A
617ED,61849,618AB
794B3,792C8,792B0
61A33,619B6,61A37
79560,792ED,792CE
618C7,615E9,618D3
794A3,7931F,79358
61972,6196F,61827
79429,793CC,79331
618DB,61752,61846
79359,792F3,792CF
6176A,615A3,61727
79117,79277,79344
616EE,6163B,61851
7908A,7926D,78F79
617BA,61676,618BD
791E7,79267,79226
616D3,6179A,61679
79388,7930B,79296
618A6,61B60,61913
79406,79458,794A4
6185D,61907,6189F
7960C,79406,795FF
617BC,61914,61850
793A2,7939C,793FD
617CC,616A6,617E7
791C1,79268,79165
6189A,61920,6182B
792D4,791A0,79439
61869,61A0D,618FD
792A5,7941E,79325
61914,61A4B,617C2
7948F,79318,7939A
619C6,6185A,617CA
79182,7914D,79295
6160E,617B3,6185D
7931F,791F1,7941D
61842,617AC,61699
790BF,7910F,79209
6187C,616DE,617F9
7924C,791CD,79081
6166C,6174B,61778
7909B,7912F,7914F
617EB,61677,617AF
790F8,79110,790D2
61668,61731,6177A
78FE9,7914B,79053
61620,6175A,6170C
790D1,79135,79262
618FE,61840,617CA
792CF,7912D,7923F
6172F,6164D,617EA
792A9,793C5,793A8
617BB,617C2,616FB
7903D,79268,792F8
61689,61643,61706
79089,792A4,791F0
61884,61643,615E4
7900F,79105,78F96
6157B,615FA,61545
78F52,78E78,78FCA
61468,614E8,61611
78EE5,78D44,79126
613F1,6150E,613C0
78F25,790B0,78F46
61698,615C5,614E2
78F32,78DBE,78FE6
61488,616FC,616A4
78FC2,79104,792A9
614FC,615CD,61592
78FD7,79095,79060
61602,6152F,61553
7881C,785B3,78629
61AB2,61A98,61979
7907D,79240,792B5
61937,619FC,61B10
79368,7936B,79243
61A90,618D6,61850
79256,793C0,7950B
61977,61890,61877
794BB,793A5,79444
618AD,6192B,61A20
794BE,79428,79475
618E2,618B9,61A52
7936A,79288,79681
619EB,61B1D,61948
793A1,794DD,79385
61B5A,61A17,61978
7941E,793F7,7948A
618B8,618DD,61686
792D7,792C8,793DB
61838,617E6,617C6
79294,79227,79397
61864,6172E,617B1
79311,792FF,791E2
61833,619CD,618D0
7948F,79376,79258
61867,61A76,618D5
792C9,793CE,793A8
61854,61A41,618F2
794CF,79515,7951F
6193E,618F4,6183D
794C3,79231,7949D
618A2,61925,61959
7920C,7931C,79475
6180B,618E3,61A0B
79311,79324,79249
616ED,617BD,6197B
794C6,79332,79309
61937,618DE,61977
7923D,7931F,792B8
618FC,6190C,617B6
7919F,79285,791F1
617C1,616C8,6182D
79252,7911E,793D9
61B77,61967,61B28
792E7,7938B,79469
618E1,61835,6197A
792DD,7926B,7928E
6193D,61A6C,6192C
7941B,79405,794CF
6198D,61962,617F2
7927F,793DA,792AA
61979,61894,61A81
792B5,79263,79208
6198D,616A3,618FB
791FF,791EE,793C5
61963,619A7,61B30
7942D,793B4,793BA
6198E,61801,61981
7944E,7942D,79429
619FC,61988,618D7
792E2,792DE,794A6
61ACC,616B3,61847
79237,79346,7948C
618CA,619CA,619CE
795BC,7945C,79528
6199C,61801,618B9
79343,792F4,791A8
6189C,617A2,6185D
791DC,791D8,7924A
61651,616D5,615B9
791A9,793EB,79377
616A2,6161E,615D1
793B8,79039,79093
615E3,6173F,61736
7911E,791E2,79174
6183E,6177D,616E0
79106,79122,7919C
61787,61657,6168B
79146,790EF,791B6
61719,616D0,61844
791F9,7933F,793BE
61624,61596,61642
7913B,790DC,79149
6171C,616FD,6167B
7931B,7918A,79239
61705,6167F,616BB
790A1,791AE,79014
616AD,6165B,616E1
7915C,78FD7,79175
618DF,61579,61453
7906A,7900C,79079
6175E,61727,614F0
79087,79247,790E3
616AF,617BF,61554
791E7,790EE,791C2
61642,61709,6179F
79147,790AE,79353
61607,61612,61726
7907E,78FBC,7913D
616D7,616D9,615EF
78F5D,790FE,791C4
61614,615BE,6147A
7909A,79020,7906C
61902,61606,6166E
78F4D,78E64,791DE
61896,617C6,616D5
79139,78F88,790E7
616CF,61676,614DB
78FC6,7906B,78F49
61619,6177D,6182D
792D2,7926D,790D2
614F2,6161A,61473
790BE,78F13,791E8
6149F,615C5,6145E
7906B,78F7D,78F74
616C6,61619,61522
78FB2,79135,790D9
616E1,61583,616DE
78FE9,7905E,79130
616AE,61554,614D1
7902B,79268,78EE1
6162B,61598,61441
78FDF,78FC3,78F12
6171D,616A9,615FE
78E3C,79231,790E2
616D6,61544,617DB
79167,78FF9,78F87
6156E,61667,6165F
7B4E8,7B57F,7B19B
6228C,62424,620DE
79C51,79D17,79F6B
62309,6236F,624FA
79D04,79EC2,79E90
6247C,62431,623CF
79DA0,79E02,79E9A
6252B,624C0,62405
79FDA,79E9F,79F77
62394,6241D,62439
79E15,79F4F,79CF9
62397,624DA,623A6
79E00,79E97,79C5F
62558,62324,6226B
79D85,79EDB,79BD2
6243E,623F9,624BA
79EBE,79EE8,79EBD
62278,622AC,6212D
79EF6,79B2F,79C85
6242D,62305,6239C
79D45,79E69,79E1E
622A4,62400,62271
79C37,79E23,79E90
62469,623DE,6252F
79E79,79E97,79ECF
622D3,620DC,62308
79E3E,79C4B,79B3F
62497,622B7,622C2
79F50,79ED8,79EAF
623FD,624A4,62210
79C8D,79E0D,79F87
623A5,6242C,62368
79D2C,79CDC,79E9C
623E5,62091,62106
79AC5,79BFB,79A95
62096,622A7,6241F
79C51,79CC5,79CB3
621A9,622F8,623C7
79B45,79C45,79B14
62362,6217F,6215D
79B39,79E0A,79E27
623C1,623A7,62349
79E2D,79D15,79DED
621DD,622E6,62470
79D25,79DAA,79D20
62369,62278,620FF
79E3A,79E13,79D91
62202,62340,621FD
79E57,79C68,79D02
62331,62269,624A9
79D00,79D9A,79C80
62050,62182,621F2
79CF1,79EEC,79C12
62181,62342,621C3
79CF7,79D44,79D9D
62333,62292,62250
79D11,79DBB,79E0D
621F1,62247,620D6
79CB0,79DF3,79B54
6219A,622DE,62249
79E63,79D43,79CB0
6229E,62169,6219B
79E8B,79F8A,79C6F
62165,6227C,621A5
799F8,79AFB,79D71
62149,6211F,622EC
79C30,79B3B,79BE9
62170,62070,620C9
79B32,79D4B,79C93
61FCB,62128,62069
79BA9,79BCC,79AA8
620FB,620D4,6218B
79C52,79B22,79B64
62234,62390,6212A
798F6,79CAF,79B3F
6218C,623F2,620F3
79AD2,79D20,79CDE
62198,621A9,622BB
79D2D,79C53,79C00
6210E,622FC,62082
79BCA,79BFD,79CFF
620C5,620DE,62195
79B76,79BA2,79B1E
6218D,61FDC,62078
79CEF,79D83,79BDE
62162,620B9,62029
79AA6,799AC,79BA7
62054,620A2,6201F
79BD1,79B21,79CF1
62006,620B7,62028
79C3A,79C3E,79B93
62129,62130,6214A
79CB2,79CBD,79C2A
61FE5,622E4,62224
79B9E,79CCA,79BF1
622A7,62231,621F7
79C54,79C7E,79C3D
61FC1,6211B,62076
79B50,79CC2,79BA7
620E1,62230,6214F
79B9B,79AB3,79E35
62233,620F1,62159
79C17,79C94,79C4B
62140,62182,62243
79BB8,79BE6,79B78
62226,6224D,62251
79C03,79AB5,79C90
6213D,620CD,620AA
79AD1,79A1D,79CEA
621BE,62043,62226
79B69,79D8F,79B7E
62188,62131,62183
79ED2,79B04,79C4C
620A8,62160,620F5
79ACB,79A51,799E2
62191,620A0,61F37
79839,79A1E,79C6D
61F9B,61F01,61E88
79A10,798FC,7990C
61FD0,61F73,62013
79932,79A56,79928
6212D,6200F,61FF0
79ABF,7986A,79B0B
621B3,6206A,6217C
799E7,79BAC,79B5D
62054,621A7,622D9
79B61,79B43,79B00
6203A,620C0,61EE4
7919B,791B9,7907D
622D8,6237A,624C4
79FDD,79E2F,79DA4
624EF,62518,626BC
79D49,79DC4,7A043
622E4,624F6,625B2
79F12,79EE6,79F63
6256D,622CD,624CE
79E2D,79DCC,79D01
62353,623ED,623F2
79FFC,79E7F,79F95
