{'CALIB_RAW_DAC_START_I': 262144, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-10D2C3,-10D3B3,-10D348
-F56A6,-F57F9,-F597F
-10D2E5,-10D392,-10D26A
-F5911,-F57F1,-F5794
-10D2A1,-10D177,-10D2D9
-F5959,-F5A41,-F5891
-10D08D,-10D10C,-10D33A
-F57F9,-F57DC,-F563B
-10D109,-10D244,-10D313
-F5907,-F57BB,-F588A
-10D28A,-10D373,-10D173
-F58B6,-F590A,-F58B4
-10D090,-10D132,-10D357
-F56A7,-F5789,-F5894
-10D2A7,-10D1CA,-10D1FE
-F5790,-F585F,-F592B
-10D133,-10D2FB,-10D511
-F5BDF,-F5A46,-F5A0A
-10D4D3,-10D40C,-10D607
-F5AD8,-F5A54,-F5980
-10D566,-10D598,-10D66E
-F5B49,-F5BEC,-F5D03
-10D56A,-10D655,-10D6AE
-F5D5F,-F5A56,-F5932
-10D526,-10D6F4,-10D44A
-F59D5,-F5A41,-F59CF
-10D640,-10D6A3,-10D363
-F5A3A,-F5A9A,-F59BF
-10D6EE,-10D606,-10D59E
-F5BB5,-F5C38,-F5BEC
-10D511,-10D60F,-10D569
-F5C0E,-F5B5A,-F5C1F
-10D8A3,-10D6C7,-10D87D
-F5D8E,-F5CEF,-F5D7F
-10D54E,-10D616,-10D6B1
-F5C53,-F5A5D,-F5A62
-10D6A2,-10D563,-10D4D6
-F5A8F,-F5A58,-F58BE
-10D47D,-10D68B,-10D6A4
-F5B70,-F5CF7,-F5D72
-10D510,-10D756,-10D6CA
-F5BEA,-F5E75,-F602C
-10D594,-10D6EB,-10D84B
-F5B8C,-F5C65,-F5C49
-10D70F,-10D728,-10D6FE
-F5D4E,-F5D0C,-F5C7A
-10D777,-10D5AB,-10D736
-F5CCA,-F5D64,-F5F5B
-10D725,-10D950,-10D899
-F5E4E,-F5E36,-F5C12
-10D814,-10D675,-10DA1F
-F5C5F,-F5D22,-F5E34
-10D440,-10D4C7,-10D72E
-F5AF5,-F5BAC,-F5D13
-10D412,-10D60B,-10D76D
-F5A83,-F5ABF,-F594F
-10D6FF,-10D5D0,-10D6C8
-F5C70,-F5B12,-F5DD6
-10D50E,-10D691,-10D6A1
-F5B30,-F5A1B,-F5AF0
-10D688,-10D60A,-10D807
-F5D3F,-F5C05,-F5BCF
-10D865,-10D77C,-10D711
-F5CDE,-F5C6D,-F5E78
-10D527,-10D7E0,-10D738
-F5CAA,-F5AD5,-F5ADF
-10D7D9,-10D73A,-10D6A7
-F5C76,-F5DAC,-F5CE9
-10D8C0,-10D5EA,-10D538
-F5EC0,-F5D6B,-F5E17
-10D97B,-10D918,-10D9CA
-F5BEF,-F5A2A,-F5E7B
-10D8C9,-10D84B,-10D9BB
-F5D9B,-F5E1D,-F5E05
-10D857,-10D88A,-10D795
-F5EA4,-F5ED9,-F5DFF
-10D856,-10D9AD,-10D955
-F5EB1,-F5F03,-F5E76
-10D8FB,-10D846,-10D667
-F5DA7,-F5D9D,-F5E93
-10D7F5,-10D85E,-10D887
-F5E14,-F5E92,-F5E36
-10D769,-10D7F8,-10D7AA
-F6BCC,-F6ADA,-F6A7A
-10D3DD,-10D45F,-10D3E2
-F5C2C,-F5B97,-F5B36
-10D5AB,-10D512,-10D4C3
-F5A1A,-F5919,-F5ADD
-10D57A,-10D4D3,-10D539
-F5AF6,-F5C57,-F5B3B
-10D75A,-10D6B2,-10D5D6
-F5BB6,-F5B25,-F5B8B
-10D543,-10D50C,-10D546
-F5E91,-F5C92,-F5BCA
-10D39D,-10D541,-10D64F
-F5AC7,-F5A13,-F59E5
-10D673,-10D61F,-10D543
-F5AF4,-F5A86,-F5AEE
-10D5D8,-10D68D,-10D6E8
-F5BCB,-F5AF1,-F5776
-10D3BB,-10D435,-10D544
-F5B38,-F5BB2,-F5C15
-10D3DD,-10D4A1,-10D42F
-F5AE5,-F59BE,-F5954
-10D567,-10D742,-10D689
-F5E14,-F5C25,-F5D89
-10D6D4,-10D5D2,-10D602
-F5BAC,-F5931,-F5AE7
-10D609,-10D5C0,-10D595
-F5BE3,-F5C1B,-F5CA8
-10D55E,-10D78E,-10D4D5
-F5C4C,-F5ABA,-F5BB8
-10D579,-10D46B,-10D4DF
-F5B95,-F5D71,-F5C00
-10D502,-10D6E1,-10D5D5
-F5A2B,-F5C19,-F5C34
-10D488,-10D3CF,-10D368
-F58D0,-F5A70,-F584F
-10D3C3,-10D34C,-10D46F
-F5AF7,-F59E9,-F5901
-10D27F,-10D3BB,-10D2ED
-F5B80,-F5AF8,-F5ABB
-10D59B,-10D495,-10D462
-F5B06,-F58AD,-F5C0E
-10D4A5,-10D58F,-10D800
-F5B9D,-F5993,-F5C27
-10D428,-10D458,-10D565
-F5BD4,-F5A8F,-F5A7A
-10D648,-10D4CA,-10D606
-F5BA9,-F5A9D,-F5D0A
-10D51D,-10D573,-10D54F
-F5A15,-F5B96,-F5A30
-10D420,-10D4F5,-10D4C6
-F5D15,-F5A2B,-F5D0E
-10D456,-10D60A,-10D520
-F5A8C,-F5BBD,-F5B61
-10D31B,-10D3C8,-10D61C
-F5D0F,-F5CD5,-F5D15
-10D56E,-10D611,-10D5E1
-F59AC,-F5C4E,-F5C72
-10D75C,-10D6F8,-10D87B
-F5CF8,-F5C12,-F5CFE
-10D74C,-10D670,-10D60D
-F5D32,-F5C75,-F5E54
-10D7CE,-10D8C8,-10D88E
-F5D4D,-F5C1F,-F5E27
-10D7B9,-10D74A,-10D73C
-F5E25,-F5E22,-F5EF0
-10D935,-10D9BE,-10D9F8
-F60ED,-F6136,-F609D
-10D9F7,-10D976,-10DA6E
-F60E0,-F6054,-F60E0
-10D938,-10DA7D,-10DA51
-F608C,-F5FDF,-F622F
-10DB84,-10DA2A,-10DADD
-F6025,-F6198,-F5F75
-10DA7D,-10DA1A,-10DB64
-F6174,-F6146,-F6023
-10DBD6,-10DA62,-10DBEA
-F5F49,-F5F2C,-F6226
-10DC5C,-10DB46,-10DB0C
-F627F,-F61BC,-F616D
-10DE11,-10DC7B,-10DD2A
-F617C,-F6161,-F6047
-10DC40,-10DB36,-10DBB2
-F60AC,-F61C4,-F62DC
-10DAF5,-10DBFF,-10DE21
-F60C0,-F60D5,-F61E7
-10DD41,-10D8D8,-10DCA0
-F6314,-F6026,-F6384
-10DB5A,-10DCB2,-10DB58
-F6281,-F61A6,-F60BA
-10DE26,-10DCD1,-10DC2E
-F62FE,-F606F,-F6049
-10DC54,-10DAC5,-10DCA0
-F621D,-F62C0,-F623E
-10DC77,-10DCEC,-10DD94
-F63F3,-F645F,-F6311
-10DAC4,-10DF68,-10DC20
-F63B8,-F60CC,-F621D
-10D94C,-10DB04,-10D9DE
-F6005,-F5F7D,-F60EA
-10DBC2,-10DA56,-10DA20
-F609D,-F6193,-F6166
-10DAB0,-10DB4C,-10DC43
-F6273,-F611F,-F60D9
-10D9E2,-10DA97,-10D9A9
-F5F36,-F5F4D,-F60AF
-10D9DD,-10DB37,-10DA6B
-F5FC8,-F5DEA,-F5F31
-10D9D3,-10DB1E,-10D9D3
-F6011,-F5F9B,-F5F6E
-10D96F,-10DA2B,-10DAE8
-F625D,-F618E,-F61BA
-10DB6D,-10DC1E,-10DB7B
-F6019,-F5FAF,-F612F
-10DB14,-10DA7E,-10DCAD
-F634C,-F633C,-F61B1
-10DBC3,-10DD76,-10DC6A
-F63EA,-F61B7,-F6098
-10DC1D,-10DAE6,-10DB14
-F638D,-F60AB,-F5EC1
-10DCA2,-10DC18,-10DC35
-F61CA,-F6096,-F60FC
-10DBEB,-10DD7B,-10DCC0
-F60BA,-F627F,-F61E5
-10DCC8,-10DCC0,-10DBE0
-F616A,-F5FEE,-F6359
-10DC47,-10DECA,-10DCB7
-F6418,-F6286,-F621C
-10DC4E,-10DD7C,-10DD64
-F669C,-F671A,-F6620
-10D7A6,-10D5FC,-10D5A7
-F5D2A,-F5DE3,-F5BE7
-10D714,-10D6E8,-10D77F
-F5D96,-F5D0B,-F5DFB
-10D82D,-10D762,-10D778
-F5D5B,-F5D8C,-F5C31
-10D88B,-10D8D1,-10D878
-F5F60,-F5D1B,-F5B79
-10D860,-10D74C,-10D8EA
-F5D4E,-F5DAC,-F5B7D
-10D860,-10D9A1,-10D811
-F5DE9,-F5DE2,-F5ECB
-10D866,-10D8FE,-10D86E
-F5DF6,-F5E97,-F600B
-10D8C2,-10DA7A,-10D91D
-F5D7E,-F5CD0,-F5FF7
