{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-6CC86,-6CB64,-6CD59
-84693,-848D6,-84736
-6CC97,-6CD60,-6CCF5
-847DC,-84991,-84820
-6CE84,-6CEF6,-6CD09
-84780,-84613,-8463B
-6CD57,-6CF5E,-6CC64
-84888,-84670,-84726
-6CCD7,-6CD5E,-6CC2A
-846DA,-8477B,-8471E
-6CEAD,-6CB9E,-6CE96
-845C5,-845D7,-84981
-6CAF2,-6CD1D,-6CB58
-8469A,-844B9,-8487D
-6C8D6,-6C922,-6C892
-84412,-844FB,-8444E
-6CA7E,-6CD03,-6CA26
-84389,-842A4,-84545
-6C842,-6C97F,-6C857
-842CF,-8448D,-845F2
-6CA92,-6CA3E,-6C98D
-8434C,-8449E,-8414B
-6C6AA,-6C8CC,-6C7EF
-843A7,-844E2,-844F9
-6C891,-6CAA5,-6C822
-84384,-84572,-8433D
-6C918,-6CA1A,-6C998
-84336,-8451B,-8435D
-6CB2D,-6C839,-6CA37
-84233,-842B3,-8442D
-6C889,-6C90D,-6C97D
-84347,-842B7,-84256
-6C8C7,-6C94B,-6C95D
-843B0,-843F2,-842D1
-6C93C,-6C970,-6C9E1
-843D0,-8440B,-8433A
-6CBD3,-6C952,-6CAF5
-8445C,-84212,-84177
-6CA11,-6C921,-6C830
-8419D,-843F3,-84480
-6C7DB,-6C9D2,-6C9F8
-84217,-84183,-842C5
-6C74D,-6C7EA,-6C742
-8439C,-84371,-843FE
-6C8FA,-6C6B8,-6C875
-8430D,-842C1,-84325
-6CB0E,-6C826,-6C9B0
-845FB,-843BD,-843B2
-6C9B3,-6C9C3,-6CB00
-843B4,-8440A,-845F8
-6CAB0,-6CBEB,-6C840
-844AC,-8451C,-844BA
-6C9C2,-6C8C3,-6CA1B
-842D9,-84306,-8441F
-6C956,-6C9E9,-6CB26
-843FE,-8438E,-84594
-6CA2A,-6C93E,-6C95D
-8419B,-84202,-8442C
-6C8EC,-6C803,-6C88B
-84210,-842F3,-843F9
-6CAEA,-6C9B6,-6C9D7
-844CB,-84292,-844A5
-6C9ED,-6C8D7,-6C998
-842F6,-843AF,-84342
-6C8A5,-6C877,-6C9AC
-84340,-84475,-84514
-6C937,-6C8BB,-6C854
-84252,-844A3,-8432A
-6C80B,-6C98B,-6CA5D
-8428B,-8437D,-84423
-6C905,-6C989,-6C9EF
-8426C,-8438E,-843DE
-6C8CB,-6C8E2,-6C8EC
-842B2,-84444,-844FE
-6C823,-6C7BB,-6C701
-842F9,-84238,-842A1
-6C841,-6C760,-6C76D
-84301,-8431F,-84191
-6DE2C,-6DDF5,-6DDAA
-84632,-84447,-845BB
-6CABB,-6CBD5,-6CAFB
-8454F,-84456,-8444A
-6C925,-6CA93,-6CA54
-845FA,-84648,-84782
-6CB06,-6C941,-6CB72
-84663,-84691,-84554
-6CB2E,-6CB32,-6CB8A
-845A3,-845C7,-846C3
-6CD1A,-6C9ED,-6CC2C
-84539,-8455E,-84457
-6C93B,-6C9A1,-6C98E
-84469,-84472,-8440A
-6CA0B,-6CA16,-6C891
-845B9,-8439F,-8445B
-6C8C9,-6C9D4,-6C8A7
-84547,-84352,-84481
-6C990,-6CA17,-6C96D
-842B6,-84584,-8444C
-6CA5A,-6C948,-6C941
-8456D,-84446,-84583
-6C977,-6C90A,-6C8A2
-843C8,-842A8,-84425
-6C9F6,-6C920,-6C9AF
-84439,-844D2,-8437D
-6C866,-6C99B,-6CA84
-843A3,-84554,-84502
-6C881,-6C9D5,-6C8F2
-843B2,-844B9,-84329
-6C919,-6CA03,-6C821
-84454,-8439D,-84421
-6CBE6,-6C8C7,-6CB35
-847B2,-847B1,-846B4
-6CD0C,-6CB48,-6C9A8
-84550,-845AC,-84569
-6CBEF,-6CB91,-6CB2F
-84478,-845B0,-84705
-6CB6D,-6C9C5,-6CB2F
-84607,-84657,-84484
-6CA6A,-6CA73,-6C8A0
-8443B,-844FB,-8445E
-6CA5F,-6C99B,-6CBE9
-8457D,-8452B,-844E1
-6CB4C,-6CACA,-6C8C8
-844FC,-843BF,-843B3
-6C9AA,-6C771,-6CC22
-844B6,-8470A,-84647
-6CB66,-6C911,-6C8EA
-843F6,-84457,-84372
-6CC8B,-6CB89,-6C9D5
-84580,-84490,-84262
-6CA5D,-6C93E,-6C99A
-844C4,-84393,-8423E
-6CA91,-6C9C8,-6C917
-8444E,-84480,-8443C
-6C9F5,-6C952,-6CA7B
-844CC,-843A7,-84539
-6CA05,-6C87D,-6CB08
