{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-94081,-94005,-94091
-ABA27,-AB9B3,-ABBD0
-940B0,-940BE,-93EBD
-AB975,-ABEA6,-ABBD0
-9406F,-93F78,-9407F
-AB956,-ABA57,-ABB05
-941A6,-93F3C,-94071
-AB99D,-ABB86,-ABC1D
-940A8,-94081,-94112
-ABF41,-ABE33,-ABE92
-945C7,-944EE,-94563
-ABD89,-ABF51,-ABF45
-94365,-944DA,-942F7
-ABE5A,-ABDFC,-ABED5
-942E6,-94415,-9435F
-ABDD1,-ABDE4,-ABE02
-942F9,-941B5,-94352
-ABD68,-ABDE9,-ABD12
-94324,-942F2,-94278
-ABE2F,-ABBA9,-ABD63
-94445,-94571,-94277
-ABBC1,-ABCBC,-ABD34
-9432C,-9414C,-940A2
-ABBD2,-ABE5D,-ABDDD
-94255,-94298,-943A2
-ABD4F,-ABF40,-ABB71
-9422A,-94119,-94234
-ABC90,-ABAE8,-ABD17
-94223,-941F7,-942D9
-ABCFF,-ABA64,-ABBEC
-94326,-94316,-94291
-ABD5D,-ABE25,-ABB70
-9422E,-94011,-942A5
-ABC0C,-AB9D5,-ABBA1
-9426E,-9424D,-9411A
-ABBBF,-ABBB5,-ABCD0
-9421E,-943FF,-94272
-ABCA1,-ABB88,-ABC1F
-9418D,-94228,-9424D
-ABC76,-ABBCE,-ABBBC
-941F8,-94158,-94051
-ABB2E,-ABA6E,-ABAF9
-93FF2,-93ED6,-93E42
-ABC17,-ABBE3,-ABADA
-93E45,-9408E,-940CC
-ABB7C,-ABA42,-ABAED
-9401A,-94091,-93F3C
-ABA18,-AB9F9,-AB9D0
-93FD7,-93F64,-93EC1
-AB8F0,-AB88C,-ABB3F
-9403F,-93EB3,-93F45
