{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-42D9D,-42EF4,-42EE8
-5A7D9,-5A8D7,-5A8CA
-42D61,-42E94,-42C75
-5A9AC,-5A8F5,-5A941
-42D61,-42C6E,-42D01
-5A9D7,-5A93E,-5A9D5
-42D9C,-42DE2,-42CC0
-5A769,-5A787,-5AA5B
-42C7D,-42D2A,-42D70
-5A7BA,-5A704,-5A74E
-42BB3,-42C0A,-429AC
-5A71D,-5A69F,-5A67C
-42D3C,-42ACB,-42B9D
-5A5DA,-5A708,-5A74B
-42BD5,-42B18,-42BAE
-5A538,-5A70E,-5A506
-42BD3,-42AD9,-42C64
-5A640,-5A73C,-5A488
-4299D,-42C35,-42BD1
-5A5FE,-5A513,-5A65D
-42D91,-42BAB,-42BCA
-5A53D,-5A5F0,-5A6F7
-42CA5,-42BCF,-429C3
-5A4D4,-5A63C,-5A64D
-42ADB,-42BA6,-42C7B
-5A4FE,-5A504,-5A5BB
-429B2,-42954,-428CF
-5A516,-5A634,-5A51C
-42AA7,-42BD7,-429DF
-5A41D,-5A65D,-5A68D
-42AC7,-42A4C,-429F7
-5A3D2,-5A3D3,-5A56D
-429B7,-42AD6,-42AF6
-5A428,-5A40F,-5A4D4
-4285C,-428DA,-429EE
-5A4E1,-5A3ED,-5A266
-42989,-42BF6,-42B0D
-5A32A,-5A539,-5A4D5
-42B5A,-42968,-42A69
-5A2D7,-5A43B,-5A42E
-42995,-4298E,-42A8F
-5A2F1,-5A40C,-5A2F3
-42CFF,-42B33,-42CB7
-5A74B,-5A6DB,-5A64F
-42CD2,-42D2F,-42B6F
-5A769,-5A894,-5A726
-42C0D,-42B13,-42B29
-5A608,-5A461,-5A738
-42AE4,-42B35,-42A30
-5A58A,-5A789,-5A568
-42DE3,-429A1,-42C89
-5A6C6,-5A684,-5A60C
-42BE3,-42D26,-42C20
-5A52C,-5A7AA,-5A6E9
-42959,-429DF,-42A2E
-5A675,-5A3DD,-5A4E6
-42CF4,-42BA1,-42AD4
-5A61A,-5A6FB,-5A620
-42AA4,-42ABF,-42936
-5A88E,-5A68E,-5A521
-42A41,-42977,-42BB1
-5A5F7,-5A4B0,-5A65C
-42A78,-42B14,-428EE
-5A42C,-5A514,-5A5A8
-42AEE,-42B0D,-42B18
-5A546,-5A5D1,-5A6E2
-42ADF,-42A69,-429D1
-5A4FC,-5A690,-5A4FB
-42AD6,-42A83,-429F0
-5A5B7,-5A502,-5A4B1
-42BB5,-42BAE,-42C28
-5A768,-5A54D,-5A551
-42A19,-429FA,-429AE
-5A3DF,-5A399,-5A299
-43FB4,-43DD9,-43F2E
-5A506,-5A844,-5A879
-42CA2,-42CF4,-42DBF
-5A687,-5A82D,-5A852
-42B7B,-42C7B,-42DA8
-5A80E,-5A654,-5A684
-42D63,-42BCC,-42DD9
-5A6CA,-5A61D,-5A87B
-42C1F,-42C75,-42B52
-5A6A0,-5A6F7,-5A604
-42C46,-42BD2,-42D28
-5A79F,-5A6D1,-5A6C6
-42A26,-429F0,-42918
-5A5FB,-5A8BF,-5A64B
-42B21,-42D83,-429BE
-5A5A2,-5A724,-5A768
-42A92,-42C44,-42B87
-5A721,-5A760,-5A7EE
-42C80,-42EE7,-42CB3
-5A697,-5A78B,-5A6D0
-42D8C,-42BB6,-42C1C
-5A636,-5A808,-5A72A
-42B56,-42C95,-42D1B
-5A78D,-5A59C,-5A804
-42BF5,-42D53,-42C01
-5A643,-5A710,-5A555
-42B5D,-42CA1,-42DD9
-5A670,-5A6FD,-5A572
-42D07,-42A13,-42B4D
-5A567,-5A5FF,-5A601
-42C1B,-42C27,-42D04
-5A65D,-5A559,-5A56A
-42D44,-42F46,-42E51
-5A632,-5A9A3,-5AA5E
-42F31,-42CBF,-42D04
-5A7FE,-5A86A,-5A8ED
-42E71,-42EC5,-42D40
-5A698,-5A7AB,-5A7F7
-42D25,-42E7E,-42C02
-5A672,-5A776,-5A8CB
-42C01,-42CFD,-42CBC
-5A938,-5A825,-5A8E0
-42D89,-42CD3,-42E6C
-5A6E8,-5A760,-5A601
-42B58,-42BEA,-42B72
-5A805,-5A87E,-5A940
-42D99,-42CBE,-42E8D
-5A8E0,-5A9E6,-5A8DB
-42CAC,-42BAC,-42AAD
-5A73B,-5A78B,-5A917
-42EB2,-42D9D,-42D54
-5A7DE,-5A795,-5A928
-42F34,-42D27,-42D05
-5A80D,-5A81C,-5A9A8
-42EDB,-42DA8,-42D66
-5A792,-5A796,-5A848
-42DEC,-42C39,-42C32
-5A6C9,-5A677,-5A6B5
-42D02,-42E92,-42F61
-5A72E,-5A761,-5A787
-42E4E,-42DAD,-42EAC
-5A818,-5A804,-5A7B1
-42E1A,-42F09,-42D2F
-5A669,-5A61B,-5A7B4
-42CED,-42AB9,-428E4
-5A292,-5A5ED,-5A6F2
-42C30,-42B57,-42B07
-5A53B,-5A781,-5A610
-42BDA,-42BC2,-42B53
-5A38F,-5A698,-5A5AC
-42985,-42B51,-42B5B
-5A2E8,-5A286,-5A429
-428E2,-42917,-429AC
-5A344,-5A309,-5A3FE
-427FE,-42891,-429F0
-5A294,-5A375,-5A333
-428D4,-429FC,-429BF
-5A23B,-5A251,-5A30C
-42959,-428F1,-42872
-5A1EE,-5A2CA,-5A522
-42728,-428DE,-42902
-5A4F4,-5A4BB,-5A42A
-4282B,-42AF1,-428B3
-5A3C7,-5A4D1,-5A4CD
-429FA,-429B9,-42ACE
-5A439,-5A152,-5A2C0
-428E6,-42A57,-42A2E
-5A28A,-5A40E,-5A2B7
-426DF,-42924,-42742
-5A3EE,-5A297,-5A33E
-4290A,-427A5,-42985
-5A2AE,-5A49B,-5A3C7
-427B8,-4286D,-428E7
-5A48A,-5A325,-5A345
-427ED,-42765,-4286F
-5A389,-5A25B,-5A2C9
-42A44,-428F5,-42B20
-5A3D2,-5A660,-5A5DF
-42A8D,-42A25,-42ADB
-5A517,-5A63E,-5A3D6
-42AA9,-4285E,-428FA
-5A37F,-5A51B,-5A2CF
-42B9D,-42890,-4292C
-5A566,-5A501,-5A562
-42A4E,-429D4,-4292D
-5A410,-5A354,-5A477
-429C3,-427FF,-4278D
-5A26D,-5A40D,-5A447
-42828,-42A25,-429AC
-5A32E,-5A3F6,-5A4C5
-42826,-42934,-4281B
-5A4C6,-5A48A,-5A31F
-42775,-428A7,-42715
-5A411,-5A415,-5A247
-42AF5,-42840,-429AE
-5A3FC,-5A3AD,-5A528
-429B5,-42847,-428DC
-5A46B,-5A548,-5A3AF
-428E8,-4291E,-4270D
-5A4C2,-5A309,-5A4F0
-429F1,-42A15,-429AD
-5A533,-5A4F3,-5A4EF
-429E0,-42A96,-42A7F
-5A4E9,-5A50C,-5A3D7
-42906,-428D8,-42775
-5A37D,-5A1B1,-5A284
-4296E,-4294B,-42B3B
-5A512,-5A321,-5A3AD
-43008,-43318,-43229
-5A006,-5A213,-5A152
-426B2,-4255D,-42780
