{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
7A280,7A06F,7A2BA
91D88,91D6A,91E90
7A387,7A2FC,7A178
91BC9,91E20,91C16
7A2AF,7A2F0,7A0AD
91C48,91BB8,91D1A
7A1BE,7A04F,7A2B6
91BC6,91C8D,91C9B
7A186,7A36C,7A22C
91BCB,91EF8,91E04
7A39B,7A30E,7A228
91B6F,91D28,91E86
7A2FF,7A106,7A375
905EC,907AE,90775
7A13A,79F96,79EA3
91A15,91927,91B6B
7A013,79D2D,79F5B
91BCF,91C44,91BF5
7A135,7A201,79F09
918E9,91994,9197B
79E8C,7A167,7A14C
91A3C,919D9,91B23
7A01C,7A152,7A0E8
91B51,91C6A,91A92
7A1D0,7A01C,7A193
91A7C,91C06,91AC9
7A0D0,79FC4,7A09A
91BA9,919A4,91A57
7A091,7A074,79EFC
91CA8,91CA0,91E52
7A1CA,7A0FE,7A111
919CA,91D26,91BB1
7A300,7A198,7A12D
91D32,91C4F,91BDA
7A1BD,7A0FC,7A331
91BD8,91CB4,91B70
7A209,7A2A1,7A136
91B56,91A93,91B2D
7A207,7A235,7A187
91DA9,91DAB,91DE0
7A139,7A386,7A34B
91CED,91BA2,91D24
7A1C0,7A2DE,7A353
91C95,91E1E,91EB6
7A3A0,7A3B2,7A258
91EF3,91F4C,91FA8
7A434,7A16D,7A45E
91D5E,91D93,91D58
7A365,7A242,7A2ED
91BA4,91CBB,91D5C
7A3E0,7A0A0,7A248
91CE1,91D58,91D68
7A231,7A418,7A22D
91DF1,91E5F,91EA2
7A412,7A533,7A497
91E96,91DCC,91E7F
7A433,7A3F7,7A4C3
91DA1,91CA9,91C33
7A24D,7A4ED,7A3B9
91BF9,91C5E,91BF5
7A470,7A3AA,7A34C
91F28,91ECF,920A3
7A4B9,7A3F8,7A50C
91F5E,91DC6,91C50
7A3D7,7A1DB,7A4B3
91DF2,91E61,91DFE
7A420,7A32E,7A3C2
91DC0,91E01,91F17
7A344,7A262,7A2D0
91CD4,91DD6,91C84
7A3CA,7A3E2,7A340
91FB9,91DE9,91E09
7A37B,7A212,7A3FC
91C55,91D62,91D50
7A399,7A6C0,7A3F4
91D35,91E23,91DC8
7A3D0,7A442,7A2D1
91FBE,91C7D,91DFF
7A3D6,7A32D,7A18A
91BB7,91D7D,91DCB
7A2F6,7A062,7A215
91E90,91CE9,91C18
7A4A6,7A564,7A46A
91E73,91C03,91E05
7A291,7A643,7A2FF
91F7A,91F98,91F50
7A282,7A424,7A401
91F8D,91EB5,91F21
7A3DD,7A4FE,7A34B
91DA9,91E7E,91D3E
7A376,7A2BC,7A194
91FA3,91BDE,91E12
7A479,7A4A8,7A353
91F9A,91F85,91F56
7A3CE,7A263,7A531
91D7B,91D4F,91F05
7A4F2,7A3F0,7A218
91DD5,91F2F,91F44
7A54D,7A665,7A45A
91D85,91D89,91E87
7A430,7A3E8,7A2F9
91D72,91DC8,91D64
7A42E,7A308,7A412
91CF8,91D47,91DF7
7A3C0,7A612,7A336
91F61,91DFB,91FD1
7A4AF,7A3EE,7A2FA
91DBA,91D62,91FE4
7A595,7A377,7A4BC
91F8B,91F5D,92066
7A6F6,7A3E6,7A6A0
91ED2,91ECC,91EDE
7A432,7A4AF,7A5DE
91F20,91E8C,91D7D
7A459,7A603,7A3C1
91E02,9201C,91D34
7A3FE,7A4DA,7A56F
91EE1,91E74,91E28
7A415,7A56F,7A4F7
92011,91FF5,920EF
7A46E,7A3C4,7A5C7
91FE6,91EA2,9200A
7A40D,7A5A9,7A4B8
91CF3,91F5F,91DC7
7A46D,7A560,7A413
91F76,91FBD,9212D
7A48B,7A4D3,7A5BD
91F92,91E72,91F8B
7A532,7A613,7A50E
91F3C,92053,920B3
7A486,7A59D,7A6CC
9202C,92164,91DED
7A50A,7A56E,7A459
920CE,92318,9209E
7A533,7A532,7A677
91DAE,91DD6,91EE6
7A5CA,7A683,7A7CB
92138,91DE8,9201E
7A617,7A412,7A65E
9218D,921A7,92066
7A316,7A5DA,7A4D7
91392,9121A,91487
7AC7F,7AA37,7AB86
926B4,925B5,925EF
7AC82,7AC45,7ACDF
92679,925CA,92784
7AB97,7AA40,7AAF6
925FC,927EC,927DA
7AAE1,7AD77,7ACB8
926AC,9294A,926CE
7AC77,7ACA2,7AE26
9284B,9276D,9277D
7AD77,7AAF2,7AB6A
925A9,9256E,92596
7AAE7,7ACD1,7ADA1
92774,92716,9256E
7AD22,7AC17,7ABDD
92523,92604,92767
7ACD7,7AC5E,7AB0D
92440,92521,9262C
7AB50,7ABB7,7AC0C
9259A,927F5,926F2
7AB69,7AA27,7ABEB
92786,926FF,927CF
7ABF8,7AB41,7ADF3
927C5,925C2,92852
7ABD0,7AD21,7ADC8
926B9,92671,92653
7AA93,7AB5B,7AAF4
924FB,924E8,92600
7ACB8,7ABFD,7AA24
927C6,926C8,926F9
7AB0D,7AD17,7ABB2
92661,92612,92826
7ACC8,7ACDC,7AC2A
927D4,927CD,928B7
7AC07,7AD2E,7ACA8
92680,92872,927AD
7AE49,7AEA0,7AD66
924C2,92748,927CC
7ADAB,7ADC3,7AF5E
9281A,9295D,9291D
7B029,7AF3D,7AE88
928AE,9295D,927B6
7AF37,7AC02,7B038
927B4,92A9C,92AC2
7AD3E,7AE13,7AEE1
9270E,92980,9289A
7ADBE,7AE01,7AEAF
92956,9292E,92A38
7AF0B,7AF4B,7AEBA
928A1,92928,9280F
7ADDD,7ACE2,7AE42
92855,926B1,92840
7AEBD,7AD6F,7ABDA
92903,928BE,92942
7AC85,7ABA7,7AD93
92910,927DB,92867
7ADEF,7AD8A,7AEE0
927F3,927A3,9282D
7AD67,7ADA4,7AE33
924F8,928A2,927C5
7AF06,7AD9B,7AC10
9287A,9288F,92826
7AD59,7AD7B,7AEC3
92AFE,92821,92833
7ADD6,7ABE1,7AD89
928E8,92928,92851
7ADDD,7AEB8,7ADE2
92798,9291D,928F6
7AEBA,7AE0C,7AE33
92804,9284A,9288C
7AF96,7AE4F,7AD3B
92875,928F4,929B4
7AE9E,7ADC7,7ADD9
927F7,92620,92773
7ADAB,7ABA6,7AD94
92744,929B7,92ABD
7AD0F,7ACC8,7ABE9
