{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1ADC01,1ADB79,1ADC72
1C5574,1C55B5,1C5558
1ADB30,1ADC17,1ADB1A
1C56BA,1C5667,1C544D
1ADA46,1ADB90,1ADA8A
1C5431,1C54CD,1C5424
1ADA2A,1ADB35,1ADADD
1C54A7,1C54B6,1C5564
1ADBFF,1ADB6B,1ADBE7
1C564F,1C5861,1C5585
1ADCC6,1AD9FE,1ADB32
1C567A,1C55CA,1C568D
1ADB8C,1ADA77,1ADA8B
1C5599,1C55E6,1C5732
1ADB20,1ADB70,1ADB97
1C558A,1C55D6,1C5662
1ADA80,1ADC6F,1AD912
1C5591,1C5594,1C54B7
1ADCE4,1ADB34,1AD924
1C5649,1C55B1,1C581D
1ADBAF,1ADA0B,1ADB86
1C5659,1C544E,1C54EB
1AD96D,1ADA7D,1AD9BC
1C552A,1C536E,1C55DB
1AD9A3,1AD99D,1AD997
1C5358,1C565A,1C5591
1ADAC4,1AD928,1ADA26
1C56CA,1C53FA,1C53FA
1ADB2D,1AD92A,1AD9DF
1C553B,1C5454,1C54AF
1AD8CE,1ADA51,1ADB57
1C53D3,1C55CE,1C5373
1ADA8B,1ADAA8,1ADB43
1C553C,1C5343,1C5491
1ADA26,1ADA86,1AD78B
1C55FA,1C563E,1C5591
1AD988,1AD8E6,1AD58A
1C53F5,1C53A1,1C53A4
1AD8D3,1AD78B,1AD839
1C52A9,1C52C4,1C51E0
1AD98B,1AD88B,1ADA38
1C5443,1C51CC,1C53CC
1AD764,1AD815,1AD69A
1C542F,1C5310,1C540B
1AD831,1ADA8D,1ADA32
1C50FD,1C52B1,1C545C
1AD956,1AD991,1AD9E0
1C5397,1C5464,1C5306
1AD9B1,1AD80B,1AD73D
1C527C,1C53A2,1C525B
1AD956,1AD819,1AD8C0
1C53B3,1C52A4,1C5446
1AD7DB,1AD754,1AD7DF
1C5492,1C536F,1C5220
1AD996,1AD928,1AD982
1C51C7,1C5393,1C54EF
1AD9BD,1AD8FF,1AD8EF
1C51A7,1C53B9,1C53EA
1AD78D,1AD7E6,1AD794
1C5410,1C52BD,1C554C
1AD960,1ADB23,1AD953
1C54EC,1C5453,1C52C6
1ADAB9,1AD891,1AD89F
1C55B0,1C543A,1C542D
1ADA77,1ADB3B,1AD8F8
1C538D,1C5387,1C5387
1AD884,1AD99E,1AD7D0
1C53CE,1C5498,1C5450
1AD969,1AD8FF,1AD76D
1C536E,1C53BB,1C547B
1AD78A,1AD871,1AD988
1C51A3,1C53CF,1C52B8
1AD7D1,1AD8CA,1AD9CF
1C518E,1C51AF,1C532A
1AD83B,1AD917,1AD8CC
1C5310,1C521B,1C529C
1AD9A0,1AD8FB,1AD74C
1C53F3,1C53A1,1C52E7
1ADA48,1AD921,1AD978
1C545A,1C5339,1C54D7
1AD7AF,1AD93E,1AD934
1C538D,1C5540,1C5530
1AD891,1AD9B9,1AD811
1C4334,1C4324,1C4281
1AE1A6,1AE254,1AE0E2
1C5D3C,1C5D30,1C5B7B
1AE1AB,1AE3A3,1AE207
1C5B8F,1C5CC1,1C5C7B
1AE1AC,1AE29F,1AE285
1C5C20,1C5C81,1C5C21
1AE335,1AE1F0,1AE1BA
1C5C48,1C5D70,1C5C91
1AE341,1AE1BB,1AE175
1C5D6D,1C5E03,1C5BF0
1AE30E,1AE283,1AE156
1C5DA8,1C5CA9,1C5CA4
1AE118,1AE299,1AE289
1C5C02,1C5B77,1C5C8B
1AE231,1AE213,1AE1EC
1C5DD5,1C5C96,1C5BC0
1AE16B,1AE0EB,1AE0D2
1C5BAF,1C5BFC,1C5BC4
1AE07D,1AE087,1AE18C
1C5BA2,1C5A5B,1C5CB7
1AE28F,1AE17A,1AE130
1C5B5F,1C5AB7,1C5B5F
1AE11E,1AE08B,1ADFFC
1C5BC0,1C5C21,1C5D56
1AE3AC,1AE0ED,1AE28D
1C5C16,1C5BFF,1C5B58
1ADF40,1AE013,1AE0E7
1C5B5D,1C5A3E,1C5BDB
1AE1EC,1ADFFE,1ADEDD
1C5AD5,1C5B38,1C5A32
1AE213,1AE2B8,1AE024
1C5BD6,1C5A88,1C5A5E
1AE1AF,1AE0BD,1AE010
1C59C2,1C5A94,1C5C25
1AE06E,1AE094,1ADDC9
1C5B68,1C5A63,1C5AD3
1ADF9F,1ADFF4,1AE093
