{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
10DABB,10DAAD,10DB02
F6125,F6130,F612D
10DB29,10DC9D,10DBEB
F619D,F6094,F622C
10DC12,10DA6A,10DBB9
F6027,F606A,F612A
10DC60,10DB03,10DB34
F5F80,F5DDA,F5FE3
10D9A4,10DB48,10DB92
F5FB4,F6007,F6019
10DB5D,10DBD4,10D96C
F5FC2,F6066,F6024
10D943,10DACA,10D889
F5F17,F5D6D,F5E27
10DA80,10DB82,10DB02
F614E,F62F4,F61B5
10DC11,10DB71,10DBB5
F60B6,F615D,F63D9
10DB08,10DB22,10DC7C
F60A1,F625C,F5FEB
10DA78,10D9C9,10D9E9
F618C,F60DC,F6089
10DB0B,10DAE1,10DB15
F61E1,F60FD,F61D6
10DC05,10DC37,10DBFE
F6269,F61DA,F6268
10DBF1,10DBF2,10DB63
F5FDF,F61EE,F60F9
10DB4B,10DBA5,10DBE7
F6025,F60E8,F5FCB
10DC94,10DBAA,10DAF1
F5F5D,F6098,F6094
10DC6D,10DB64,10DAEF
F5FB9,F5E9F,F5DFF
10D8BB,10D850,10DA3B
F5E4E,F5E89,F5D2B
10D921,10D95E,10DA43
F5CF7,F5EAC,F5F91
10DB57,10DAC7,10DC1A
F5FDC,F5F85,F5EFE
10DA69,10D917,10D915
F5FC4,F5D98,F601B
10D92C,10D97E,10D9A4
F5E9D,F5E51,F5EEC
10DA64,10DAB8,10D8E6
F5F54,F5FFA,F5F15
10CA29,10CCCA,10CBEB
F6435,F64DB,F6379
10DB63,10DE00,10DDC2
F6379,F642B,F62A4
10DC82,10DC57,10DE9F
F6093,F63D9,F64D8
10DE56,10DEF1,10DE41
F63D2,F6270,F6328
10DE1F,10DD02,10DF1B
F64C1,F66E0,F639A
10DDEA,10DC35,10DD49
F630B,F63EF,F61CD
10DDFA,10DCE7,10DC13
F60F9,F623A,F61EE
10DB94,10DCED,10DBA8
F60D7,F6376,F61BF
10DE2B,10DECE,10DEE2
F63B9,F61AA,F5FC7
10DBDD,10DE31,10DE52
F623B,F6398,F60F6
10DACD,10DAD7,10DD30
F62A3,F61C7,F6119
10DC98,10DC0D,10DBE1
F608D,F6182,F608B
10DDBD,10DD5A,10DBC5
F61E7,F6381,F632E
10DBE4,10DD57,10DD35
F63BD,F6330,F61A2
10DE15,10DD22,10DA59
F6263,F622A,F6189
10DC32,10DD77,10DBE9
F6137,F6186,F6230
10DAF8,10DBE1,10DC37
F6368,F62D4,F6339
10DD0F,10DDB2,10DE42
F62A6,F62CA,F62FA
10DDA8,10DC4B,10DE15
F634D,F6237,F627F
10DCDD,10DC8F,10DCCD
F6405,F6179,F64C5
10DE34,10DD32,10DD96
F63D2,F6219,F610B
10DBEA,10DC4F,10DC97
F6016,F616E,F6309
10DC33,10DC0C,10DE45
F6291,F62BE,F6146
10DC88,10DC16,10DC9B
F62E0,F60BB,F620C
10DD2D,10DD77,10DE39
F6271,F62D8,F6420
10DD65,10DD63,10DCE5
F6268,F62DC,F6485
10DE13,10DDC6,10DD41
F6476,F6494,F6355
10DB6D,10DDCB,10DD9B
F63A3,F6218,F620B
10DC33,10DD8A,10DB87
F619A,F61B0,F612B
10DAA0,10DBE6,10DC02
F610D,F5FE0,F61D4
10DC3E,10DC0C,10DB2A
F62EC,F61D1,F60D3
10DA9C,10DBC0,10DC1A
F5EC4,F60CC,F60B6
10DA98,10DAFD,10D9AB
F5F3C,F5F3B,F5E57
10D7A0,10D68F,10D798
F5E38,F5D16,F5E50
10D822,10D7FD,10D9BF
F5D8E,F5C8D,F5D12
10D6F3,10D7B0,10D8A1
F5E51,F5C3B,F5D09
10D899,10D892,10D904
F5DBB,F5D18,F5B61
10D785,10D742,10D6DE
F5D2D,F5EC3,F5DA9
10D701,10D614,10D675
F5BC6,F5AE5,F5A6D
10D7A0,10D6A2,10D775
F5B1C,F5A66,F5B06
10D61C,10D57A,10D3AE
F5C4E,F5C93,F5D97
10D6BB,10D3CC,10D4FC
F5BA0,F5B2B,F5C2A
10D5B2,10D529,10D6D7
F5C21,F5B6D,F5C1C
10D551,10D7CF,10D80D
