{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1A3A90,-1A39A7,-1A3AE3
-18BF69,-18C197,-18C051
-1A3B8B,-1A3968,-1A3A9F
-18C0FF,-18BEEE,-18C079
-1A3B36,-1A3DD0,-1A3B54
-18BFA4,-18C10A,-18C137
-1A3A5B,-1A3A61,-1A396E
-18C30B,-18C1C0,-18C1A1
-1A3B9A,-1A3A13,-1A3D57
-18C04C,-18C1E6,-18C3A8
-1A3C10,-1A3BF6,-1A3BF0
-18C25A,-18C185,-18C2F7
-1A39E7,-1A3C51,-1A3BC4
-18C0A7,-18C1D8,-18C241
-1A3B2C,-1A3BFF,-1A3ABD
-18C0B2,-18C070,-18C062
-1A39CD,-1A3B42,-1A3AAB
-18C30E,-18C12F,-18C0F4
-1A3B5A,-1A3AEC,-1A3B73
-18BF13,-18BFEE,-18C1FC
-1A3BA3,-1A3C43,-1A3B55
-18C16A,-18C22B,-18C038
-1A3B9A,-1A3ABA,-1A39B2
-18BE7A,-18BF52,-18BFE8
-1A3B48,-1A3B27,-1A3A66
-18C1CD,-18C115,-18BF3D
-1A3A5C,-1A3B8B,-1A3B2B
-18C022,-18C249,-18BF07
-1A3BEE,-1A3B62,-1A3A85
-18C08F,-18C181,-18C0E7
-1A39AA,-1A3BEE,-1A394F
-18C02B,-18C073,-18C211
-1A3A16,-1A3BF0,-1A3983
-18C180,-18C0CF,-18C1B1
-1A3ADB,-1A3A03,-1A3C20
-18C1FA,-18C179,-18C013
-1A39D8,-1A392F,-1A3B2D
-18C089,-18BF4E,-18C008
-1A3B44,-1A39D2,-1A3A62
-18BF15,-18BDA8,-18BE1A
-1A3BFB,-1A3C87,-1A3A4F
-18C233,-18C23A,-18C208
-1A3C34,-1A3C60,-1A3B56
-18C106,-18C074,-18C024
-1A3C64,-1A3B3E,-1A3B82
-18C16D,-18C059,-18C1F8
-1A3CF9,-1A3AB0,-1A3AB6
-18C252,-18C176,-18C211
-1A3A75,-1A3BD7,-1A3C8D
-18C113,-18C08D,-18BFED
-1A3C48,-1A3BBA,-1A3C45
-18BF94,-18C054,-18C0A7
-1A3B06,-1A3BF6,-1A3C2A
-18C321,-18C11F,-18C289
-1A3BCE,-1A3C7C,-1A3CD8
-18C039,-18C062,-18C09C
-1A3D07,-1A3CBF,-1A3D02
-18C3DD,-18C18F,-18C3EB
-1A3C1A,-1A3C94,-1A3BB0
-18C25E,-18C2D8,-18C2BC
-1A3C3D,-1A3B7A,-1A3E20
-18C2D1,-18C2B3,-18C0B9
-1A3C6C,-1A3C91,-1A3D62
-18C25A,-18C1B4,-18C10C
-1A3C31,-1A3C7E,-1A3B25
-18C22D,-18C2F8,-18C2BC
-1A3C72,-1A3C5D,-1A3C82
-18C100,-18C14C,-18C1F4
-1A3B3D,-1A3C02,-1A3C38
-18C2D9,-18C25F,-18C1F9
-1A3DE0,-1A3C23,-1A3C75
-18C0BE,-18C27E,-18C1FD
-1A3C7B,-1A3D3E,-1A3C2D
-18C2A9,-18C322,-18C331
-1A3BD5,-1A3D0E,-1A3A37
-18C27C,-18C313,-18C213
-1A3D0A,-1A3C84,-1A3D2A
-18C366,-18C172,-18C3D1
-1A3D67,-1A3CE7,-1A3CB7
-18C1AA,-18C1A6,-18C170
-1A3BFC,-1A3B7F,-1A3C86
-18C192,-18C0AC,-18C361
-1A3BC7,-1A3A43,-1A3BA1
-18C428,-18C0E4,-18C185
-1A3AF2,-1A3C40,-1A3C05
-18C211,-18C17F,-18C236
-1A3CEE,-1A3D2F,-1A3D6E
-18C1E1,-18C106,-18BFE0
-1A3D14,-1A3B6F,-1A3C1D
-18C29E,-18C2E7,-18C25E
-1A3F2D,-1A3C1B,-1A3B3A
-18C1C7,-18C330,-18C03A
-1A3E74,-1A3C53,-1A3BD8
-18C305,-18C212,-18C2A6
-1A3D93,-1A3CA7,-1A3BEA
-18C14B,-18C1BA,-18C309
-1A3D4D,-1A3D5F,-1A3D03
-18C199,-18C1FF,-18C200
-1A3C7A,-1A3BDE,-1A3B97
-18C26D,-18C06D,-18C281
-1A3CD5,-1A3DA8,-1A3BEA
-18C3E6,-18C156,-18C2D8
-1A3D27,-1A3CE3,-1A3D46
-18D56E,-18D3C5,-18D2C8
-1A35FC,-1A33C8,-1A3483
-18B90C,-18B8B6,-18BA6D
-1A3423,-1A343C,-1A33FD
-18B9CC,-18B943,-18B990
-1A335A,-1A3591,-1A34AA
-18BBC6,-18B8B6,-18B965
-1A338E,-1A335D,-1A347A
-18B922,-18B7A1,-18BA34
-1A355A,-1A3320,-1A346D
-18B9FD,-18B9F1,-18B81D
-1A347C,-1A32F5,-1A33EC
-18BB95,-18BB0F,-18B8D3
-1A33BC,-1A358D,-1A34CD
-18BB1B,-18BA45,-18B949
-1A3678,-1A347B,-1A36C7
-18BA0F,-18B93D,-18B89E
-1A3750,-1A35B9,-1A3482
-18BC51,-18BA4D,-18BB33
-1A3608,-1A34B2,-1A3595
-18B9CC,-18BBA9,-18BB07
-1A3530,-1A340C,-1A3448
-18BA7B,-18BAC0,-18BA9E
-1A32DF,-1A349A,-1A356E
-18B9C0,-18BB2E,-18BB7F
-1A35DA,-1A35B3,-1A3478
-18B9BF,-18B9C7,-18BA62
-1A346E,-1A33A2,-1A34B7
-18BAB1,-18BA34,-18BA56
-1A31CB,-1A353E,-1A34ED
-18BABF,-18BAA5,-18BB80
-1A36AC,-1A3378,-1A34A8
-18BB7D,-18BA17,-18BA19
-1A3412,-1A364C,-1A33F8
-18BA19,-18BB97,-18BAD4
-1A3671,-1A3568,-1A34F7
-18BA94,-18BC8F,-18BB2B
-1A33E9,-1A356E,-1A377F
-18BB98,-18BAC3,-18BBCC
-1A3578,-1A34C2,-1A36E6
-18BA6F,-18BA48,-18BA26
-1A3538,-1A34AA,-1A36C5
-18BA43,-18BA3B,-18BA5F
-1A3477,-1A3579,-1A34FA
-18B9ED,-18BA2D,-18B95C
-1A33A7,-1A3436,-1A3581
-18BA30,-18BA46,-18BB66
-1A3546,-1A3374,-1A33EA
-18B95A,-18BA22,-18B840
-1A367B,-1A35E1,-1A3556
-18BBF8,-18BA3D,-18BB7B
-1A3538,-1A34DC,-1A35FE
-18B9D5,-18BA76,-18BBDA
-1A36CF,-1A3618,-1A3710
-18BB72,-18BB02,-18BD7B
-1A350E,-1A3502,-1A36B0
-18BAC6,-18BA89,-18BB4E
-1A3475,-1A34E1,-1A3601
-18BA79,-18BB4B,-18BAF3
-1A372C,-1A3535,-1A3353
-18BAB8,-18BAB9,-18BA27
-1A3559,-1A3534,-1A3470
-18BC29,-18BA34,-18BAE3
-1A336C,-1A3574,-1A3617
-18BB8E,-18BA00,-18BBEA
-1A34FF,-1A34A7,-1A356D
-18BD23,-18BCB1,-18BC0E
-1A36C0,-1A3494,-1A35D2
-18BC0E,-18BABF,-18BC3E
-1A3695,-1A34F0,-1A372D
-18BC71,-18BD17,-18BCC5
-1A3367,-1A3917,-1A3834
-18BB8E,-18BE46,-18BC96
-1A3448,-1A355B,-1A3788
-18BBE7,-18BA2B,-18B98A
-1A369E,-1A368B,-1A3669
-18BC80,-18B924,-18BA7E
-1A356C,-1A36F0,-1A374C
-18BD0D,-18BBA9,-18BCDD
-1A3504,-1A34D4,-1A33E7
-18B9F1,-18BA3B,-18BC8F
-1A3770,-1A36CD,-1A3675
-18BB30,-18BE47,-18BD5A
-1A35FE,-1A35D6,-1A364E
-18BBD2,-18BAE5,-18BC6A
-1A362A,-1A3595,-1A3775
-18BB4F,-18BE0B,-18BBC1
-1A3734,-1A37A5,-1A36B3
-18BDC5,-18BCBC,-18BD05
-1A37F9,-1A36AC,-1A3568
-18BDAC,-18BD78,-18BC5A
