{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-2B0D1,-2AEEC,-2B05D
-13886,-13762,-1368B
-2B14D,-2B14E,-2B0B3
-1358A,-136EA,-13539
-2B065,-2B061,-2B046
-13632,-13533,-13601
-2ADDD,-2AF5B,-2AEA6
-135B3,-135A1,-1346D
-2B1C4,-2B11D,-2B0D4
-137B1,-1359B,-1378D
-2B008,-2AF1D,-2B05F
-134B4,-13460,-13399
-2AF3D,-2AF3B,-2AFDA
-135A8,-1328A,-1345D
-2ADB5,-2AF15,-2ADF5
-13412,-1329B,-13634
-2ADED,-2AFEE,-2ADD7
-133A8,-131BD,-13404
-2AF2D,-2ADCA,-2AE98
-13469,-1331C,-1344E
-2AEAC,-2ADBB,-2ADF4
-133DB,-1323B,-133D5
-2AD59,-2ADD8,-2AD82
-13278,-133B4,-1322A
-2AB21,-2AC5C,-2AC7C
-1322E,-13206,-1335B
-2ACFB,-2AD6D,-2ACCA
-133E3,-1313E,-132B7
-2AE33,-2AED5,-2AEFC
-134C7,-135D6,-133CA
-2AD04,-2AFE7,-2AF51
-13616,-1331A,-13398
-2ADD5,-2ADF2,-2AE40
-13398,-133B1,-134EB
-2AE9B,-2AEE1,-2AE13
-132E9,-133C3,-132A4
-2ACD9,-2AEF2,-2ABF3
-133A2,-132BB,-132E9
-2AF03,-2AF1C,-2AF4B
-13424,-13478,-13593
-2AE75,-2AE50,-2AFFF
-1320E,-13290,-134A0
-2AD61,-2AEC0,-2AE39
-13683,-132CE,-133A1
-2AEEE,-2AE31,-2AF57
-1343E,-1354D,-13558
-2AF9A,-2AF69,-2B0C7
-134FC,-134D7,-1358A
-2B0D0,-2B069,-2AF6F
-13506,-135AD,-13572
-2AF69,-2B02B,-2AFC0
-13539,-132D8,-133D0
-2AF12,-2B0AC,-2AF71
-1333B,-13540,-134A5
-2AEF8,-2ADC1,-2AF52
-13410,-133A1,-1327D
-2AF57,-2AE82,-2AE2A
-1345E,-13268,-1320F
-2AC81,-2AEBE,-2AE7D
-130F4,-132C8,-1323E
-2AE77,-2AE7B,-2ADFF
-13322,-1325F,-13417
-2ACD5,-2B0A9,-2AF17
-13544,-134C5,-13539
-2AE92,-2AF8A,-2AE3A
-133CC,-1334E,-13341
-2AEF1,-2AD07,-2AD94
-1343E,-13259,-134C8
-2ACF9,-2AE6D,-2ADA3
-130A2,-13322,-1354D
-2ADF8,-2AE20,-2ADA1
-132FF,-13402,-1339A
-2ACDF,-2AC29,-2ABB7
