{'CALIB_RAW_DAC_START_I': 131072, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
114F46,114FEB,115115
FD3E3,FD4AC,FD5EF
114E89,114FBD,114F1D
FD61C,FD50C,FD54A
115020,11521F,115073
FD5F1,FD550,FD5DF
114E88,114FB9,114FC4
FD682,FD58B,FD7B8
1150C5,1150E8,1150A7
FD695,FD525,FD715
114F7C,114F71,114DA9
FD6EC,FD592,FD479
115030,115063,114FB8
FD516,FD587,FD540
114D67,114F51,114F9A
FD5A0,FD491,FD5B4
114F25,115145,115145
FD651,FD60D,FD623
1150B9,11501A,114E9A
FD54E,FD555,FD576
11517B,11521F,115120
FD698,FD5F9,FD693
114F7C,115183,114FD0
FD5C2,FD52C,FD5EC
1150B5,1150A1,1150CB
FD3EF,FD4B4,FD625
114FF9,115121,1150E5
FD636,FD484,FD55B
114FAD,115059,1150DB
FD6F6,FD687,FD684
114F88,115155,114FB2
FD616,FD682,FD624
114FBF,115007,114F75
FD50D,FD82C,FD63E
1151D6,115229,115187
FD7C3,FD80B,FD4E9
115244,115146,115197
FD79B,FD722,FD827
114F67,11524D,1151F5
FD7D4,FD662,FD596
113AB3,113AF1,1139B9
FD460,FD36F,FD4EA
114D23,114C26,114F5B
FD2D4,FD22C,FD377
114CC4,114DF8,114DC6
FD3A8,FD2FC,FD36F
114D85,114D52,114F36
FD1EB,FD19E,FD38F
114E0F,114C02,114CCD
FD402,FD3EE,FD4DB
114F15,114D65,114E4F
FD2BA,FD3C4,FD3B9
114F6A,114E35,114F37
FD4E2,FD291,FD418
114EB1,114DBE,114FB1
FD3F7,FD3C5,FD20B
115060,115075,114F62
FD267,FD38D,FD471
114D15,114FE3,114D86
FD563,FD33B,FD3C4
114F59,114C54,114E82
FD56B,FD3B0,FD484
114FBC,114ED9,114E33
FD3A1,FD2F8,FD498
114CA6,114E28,114EC2
FD235,FD627,FD453
114D39,114F2C,114DB5
FD4A3,FD695,FD555
114FAB,115057,114F9D
FD3AB,FD53B,FD4D7
115174,114DA5,114E3A
FD3A0,FD4D4,FD363
114F6A,114FD5,11515B
FD446,FD64D,FD597
114ECF,114F52,114FFB
FD437,FD3D4,FD614
11501C,114DEF,114ED2
FD570,FD719,FD4E7
114FEE,114E20,114F0B
FD4DC,FD3B8,FD426
114FF6,114F45,114FFA
FD712,FD478,FD5F6
114DE5,114F85,114FBD
FD751,FD5D5,FD571
114F49,115064,114F63
FD578,FD3A4,FD4EB
114F55,114F3C,114D95
FD3EE,FD52C,FD70E
115006,11533C,11507B
FD702,FD4F3,FD565
114D7E,115145,115090
FD613,FD576,FD3AF
114E1E,114D9C,114DF8
FD485,FD502,FD5A6
114FF6,11509E,114E2A
FD4BA,FD570,FD635
11504A,115049,114F9C
FD60D,FD5DE,FD50C
1150A3,115085,114E92
FD63E,FD5B3,FD7E9
114ED7,1151AB,1150A8
FD532,FD5B6,FD3A7
114E8B,114E14,114FAC
FD651,FD662,FD4EA
114EFA,115097,11506C
FD7A5,FD4AF,FD5E1
114F46,114F2B,114F62
FD518,FD4D1,FD586
115041,1150B6,1150BE
FD3DF,FD298,FD68A
114FC3,114F56,114EE1
FD6A4,FD4F4,FD611
115107,115118,114F1C
FD671,FD5C3,FD73C
11511D,11500F,115056
FD5FE,FD660,FD840
114FF4,114F2C,1151E8
FD660,FD80C,FD709
1150ED,11502A,115220
FD6BD,FD564,FD641
115175,115201,11526E
FD766,FD780,FD73F
1150BA,11504F,115020
FD730,FD55D,FD6C5
115234,11527A,11505E
FD666,FD7F0,FD7BA
1151D6,114FEC,115046
FD583,FD593,FD507
115187,11504A,114F94
FD69E,FD711,FD4F8
1151A4,115120,114FB5
FD5C0,FD408,FD5C9
11521E,1151EE,114EC5
FD643,FD5A3,FD6A3
115037,1150C5,115075
FD8A2,FD652,FD625
11526C,1151ED,115084
FD753,FD5DF,FD6F4
1151F1,1151C6,1152F9
FD6EB,FD743,FD513
115237,1151E3,1151CC
FD6A0,FD662,FD717
115348,1152CD,1151EA
FD570,FD83C,FD7C0
11534D,11523B,1151A9
FD7B4,FD851,FD772
115114,11519E,115156
FD7BC,FD6AB,FD738
11526D,114FE8,1151AF
FD8BA,FD883,FD816
115223,115191,115004
FD892,FD78D,FD711
11515D,1153F7,1152DA
FD9C5,FD775,FD8D7
1153B2,115112,115303
FD7DA,FD6F2,FD8D7
115365,1152AF,115165
FD6A1,FD767,FD5B4
115193,11516D,1153D9
FD7B6,FD842,FD92F
1153BD,11549A,1152EA
FD6BC,FD618,FD7E2
11515B,1152BC,11526F
FD80E,FD7DA,FD82A
115239,115140,115110
FD7A0,FD95F,FD8A1
115316,1152E1,11556C
FD865,FD816,FD6D9
114546,114532,114755
FDDC6,FDF0C,FDDF3
115960,11567F,115723
FDDB1,FDC9C,FDD34
115749,115867,115837
FDCB8,FDE8C,FDF70
1158B3,115692,115767
FDC75,FDEE8,FDC86
115859,1158DD,1158FE
FDFF5,FDD1E,FDDD0
11588B,1156F7,115780
FDDC9,FDD6F,FDDEA
1157D0,115899,1158CB
FDD29,FDD24,FDF9B
11589A,11572C,11578A
FDE81,FDCE3,FDF51
11575B,115B47,1158D4
FDD94,FDC86,FDC5C
115654,1158D0,115903
FDE5B,FDDF9,FDFA9
11593F,115913,115B7A
FDEEB,FDE9E,FDDFD
11585D,115788,11588F
FDEC8,FDCA6,FDEC2
1158BB,11590F,1157F0
FDF38,FDD4F,FDDE5
1158A8,1159E8,11581E
FDDA7,FDF1F,FDF1D
115993,1158C9,115A10
FDF62,FDD5A,FDF12
115ABD,11593F,1159C0
FDED5,FDE4A,FDEF3
115ACD,115A3C,115956
FDFF0,FDEC6,FDF08
115B25,115A65,115B1F
FDE03,FE0B4,FDE5C
1159E1,115AB9,115A0F
FE28E,FE09B,FDFC3
115B01,115B07,115AB8
FDF97,FDD8C,FDE04
115888,11594F,11596B
FDE3D,FDFF1,FE00A
115AA9,1157DC,115979
FDFA8,FDE7A,FDFC6
115A5B,11595F,1159D0
FDDD3,FDDE2,FDF2B
11586B,115914,115ACD
FDF82,FE10B,FDFCE
115B1E,115BE7,115B17
FDF6F,FDF93,FDF82
11590C,115A74,11597F
FE108,FDECC,FE03A
115B2A,115A7B,11596F
FE0FD,FE045,FDF0C
11598C,1158FF,115A3E
FDF20,FE12E,FDF06
115BCA,115A5C,115AE8
FE143,FDF16,FDFF9
115BAD,115AFB,115BC0
FE1FF,FE092,FE101
115A08,115996,1159DB
FE1B7,FE06B,FE256
115BAF,115D01,115B2F
FE16B,FE2AE,FE269
115CE8,115D53,115C1C
FDF34,FE09F,FE0D3
115ABF,115AB1,115C02
FDFD1,FE1BD,FE221
115AE4,115A15,115A06
FDF2C,FE0E2,FE115
115A26,1158B4,115A5C
FE11D,FDFFF,FE140
115B67,115C96,115A59
FE12F,FE021,FE06F
115B59,1159FB,115B80
FE135,FE0C8,FE08C
115C39,115A15,115B8C
FE0A9,FDFBF,FE0D6
115B9C,115C05,115AF0
FE099,FE085,FE1BB
115D35,115D77,115E23
FE312,FE128,FE232
115B48,115AAB,115AEC
FE136,FE008,FE06A
115AEB,115C05,115EE1
FE259,FDF7D,FDE57
115AA2,11599F,115C84
FE161,FE059,FE063
115C87,115C23,115C66
FE0B3,FE205,FE062
115C58,1159C3,115BAD
FE217,FDFB8,FE252
115CC7,115BCA,115A17
FE129,FE377,FE2C7
115C43,115CF0,115B81
FE169,FE41B,FE173
115DE4,115E70,115D15
FE098,FE237,FE311
115BAE,115AE0,115CBA
FE1B1,FE0B6,FE1A4
115BD3,115CE2,115CB9
FE348,FE23A,FE198
115B9A,115C91,115D74
FE1C1,FE304,FE4AE
115BD7,115D23,115D55
FE2E4,FE479,FE28A
115E93,115DCE,115D59
FE0F3,FE3F6,FE1A0
115DBD,115D2A,115CDC
FE08D,FE058,FE020
115D14,115D71,115D45
FE285,FE235,FE255
115E64,115C49,115E28
FE2C9,FE1EE,FE264
115B3A,115D4A,115E72
FE235,FE131,FE1E5
115D31,115E0E,115C7A
FE336,FE376,FE2F7
115C0A,115D06,115D85
FE36E,FE368,FE36A
115EA8,115D79,115E0A
FE204,FE2DE,FE205
115C12,115DDE,115DFC
FE38E,FE40F,FE432
115E02,115C9A,115C1F
FE368,FE286,FE338
115E9B,115C46,115CCE
FE44A,FE4E7,FE253
115CCE,115C7B,115D06
FDF08,FDC57,FE049
115966,1156DB,115A4F
FDDEB,FDDFC,FDE37
115757,115951,115847
FDF1F,FDDF3,FDDBE
1158A0,1158F1,1158C8
FDDC0,FDE42,FDFC0
115835,1157CE,115814
FDC8F,FDDBD,FDE90
1158AA,115833,11590B
FE000,FDF25,FDE77
11598D,11578E,11582F
FDDD8,FDFB8,FDE28
1158A2,115873,1159FF
FDF01,FDDB2,FDC8E
115A42,115A59,115994
FDEB2,FDF42,FDD29
115950,11583E,1158EC
FDF73,FDF76,FDE06
11573A,1158AB,1158AB
FDE55,FDED0,FDF5A
115968,11565B,115943
FDE98,FDE8A,FDDF8
115905,1159B9,1158A6
FDDCF,FDDA7,FDFCB
115900,115B1B,1159A2
FDF6D,FDF83,FDF96
115A7B,1159E1,1159FF
FE060,FDE62,FDF3A
115710,1156A2,1157D1
FDF46,FDEBF,FDE05
1157B1,115832,115909
FDEFB,FDE56,FDE7D
11589C,11582F,115816
FDE5E,FDCFE,FDDB6
1158A9,1159BA,1159F0
FDF83,FDEAA,FDE9E
115883,115AAD,115AAA
FDF6F,FDE3D,FDF8D
115BA1,115B3A,115902
FE01F,FE097,FDF2E
1159B2,11597B,11599D
FDED3,FE01E,FE032
115A57,115979,1159F3
FDE81,FDFE0,FDFD1
115A82,1159F8,115B8A
FDFAC,FE01B,FDFD9
115A31,115ADF,115AC6
FDEAB,FDE9E,FDF3E
115BBE,115A1A,11597C
FDF8B,FDFC5,FE038
11590F,115960,11597A
FE0B2,FDF36,FDD70
115905,115895,1159D1
FE052,FDFB3,FE06C
11597E,115A50,1159EA
FDF96,FE0C7,FDFC3
1158AB,115B41,115AD7
FE0EC,FE0A3,FE094
1158A3,115B1F,1159D4
FE17E,FDFA3,FDF22
115B02,115982,115AAC
FDFED,FDE89,FDFA7
115BD2,115D6A,115B87
FE047,FE0FE,FDEEC
115940,115916,1157F3
FDF4A,FE0F4,FDF65
115A7A,115A4C,115A54
FE171,FE06F,FDE3A
11596B,115726,115B0D
FDE5C,FDF10,FDF50
115A55,115927,115921
FE0C6,FE064,FE02B
1159EC,115BDE,115A6B
FE001,FE119,FE0C7
115BB1,115A99,115A89
FDEB1,FDF5C,FE0B0
115AF7,1159EA,115942
FE049,FDF58,FDFC5
115B0F,115A03,115B92
FE188,FE0EB,FE0B5
115BBB,115B25,115A89
FDECC,FDF1C,FE046
115B3C,115A0F,1159D6
FDF3A,FDF05,FE140
115AF3,115A0F,1159B8
FE04E,FDFCC,FDF5A
115995,115906,115BE1
FDFCC,FDF9D,FDF43
115B96,115B3A,115B9F
FE001,FE1E1,FDF2F
115A95,115A07,115A0F
FE179,FDFCD,FDF6F
115A5E,115A32,115B52
FDF71,FE0C3,FE136
1159D4,115C2F,115CC6
FE24B,FE0B5,FDFF1
115A12,115AAC,115852
FDF96,FDF1C,FE204
115A24,115B32,115B2F
FE016,FE044,FE322
11594C,115B1A,115BFF
FE1BA,FE099,FE093
115B61,115AAD,115CAD
FE03A,FE03B,FE0B1
11593E,115AEA,115A36
FDF79,FE169,FE067
1159C2,1159AC,115B13
FDFFF,FE059,FE0B4
115BD5,115B4C,115B4E
FE0CC,FE1F1,FE09D
115A69,115CE6,115DBA
FE0C1,FE0A4,FE06D
115AD2,115ABD,115B3E
FE129,FE128,FDFFF
115C3B,115B04,115C08
FE1EA,FE02B,FDFE4
115B4F,115A72,1159A0
FE1C8,FE25B,FE0A0
115B2B,115B7A,115C3B
FE398,FE12E,FE1B2
115BAD,115BE8,115AE2
FE0B7,FE049,FE104
115B72,115A8E,115C07
FE10C,FE2C8,FE173
115C21,115C6B,115CBE
FE052,FE2D9,FE00D
114FDF,1150C8,114EB1
FE955,FE8CA,FE819
1160AB,11624D,116151
FE80B,FE7EA,FE84C
1161F2,116092,116116
FE718,FE81C,FE81E
115FB5,115FAA,1160D8
FE80E,FE705,FE68A
11616B,1161A2,11629B
FE7F7,FE7DD,FE714
116101,11619F,116182
FE76C,FE65D,FE693
11627A,1161E7,115FA8
FE6A6,FE7B6,FE6BA
1162D3,116250,11627B
FE919,FE836,FE5C5
116328,1163FC,116571
FE982,FE9DE,FE81A
1162EB,116316,116233
FE864,FE767,FE843
116318,1162FC,1162C2
FE860,FE89D,FE87F
1162A0,1163ED,11631E
FE6E5,FE8E0,FE90E
1162CF,1162EB,116312
FE93A,FE6FA,FE794
11604B,1160FA,116140
FE8E0,FE82B,FE834
11614D,116299,1162D4
FE70D,FE673,FE8BF
1162FC,11642C,116237
FE772,FEB16,FE9CB
1164AC,1163B9,1164CE
FE8C5,FE99F,FEA93
1163EC,1164BB,116448
FE9CC,FE647,FE8AD
1164AD,1163EE,116271
FE8E1,FE9C8,FE9DB
1162CC,1162EC,1162DB
FE9DF,FE98E,FE7F6
116362,11634E,116336
FE874,FE8E6,FE9D0
11642C,1165D5,11630E
FE932,FE7E6,FEAF4
116380,1163E9,1163D8
FEBBA,FE9C8,FE935
116203,11643F,1162F5
FE760,FE8D1,FEA10
116524,1166B3,116509
FE7E8,FE7C3,FE95B
11647F,116344,11627E
FE9B9,FEB2E,FE95D
11611C,11631B,116448
FE901,FE916,FE9E6
116305,1162F4,116475
FE99F,FEA82,FEAC1
116390,11645E,11636E
FEB4F,FEB85,FE89D
1163B5,1165F2,116337
FEA39,FEA36,FE870
11653A,116448,116265
FEA65,FE9B5,FE94D
116409,11631E,1165AC
FEA28,FEB3A,FEABA
11666F,116750,1165D9
FEB36,FEB8B,FEAF5
1165A9,11644C,1164D8
FE91C,FEB5E,FE9F7
1164E2,11641B,11645D
FE97E,FEA6A,FE84E
1162FD,1161DD,1163D9
FE79C,FE768,FE77E
1163FE,1163E3,1164A5
FEA8A,FEBB1,FE8B5
1163A4,11643E,116358
FE966,FE9E4,FE85F
116314,116410,1163B5
FEBCD,FEB39,FE899
116540,116259,1165BA
FE9C1,FEA11,FE947
11658D,1164AF,116580
FEA23,FE9EC,FE9F5
116375,11652B,116309
FEA10,FE9EC,FE9FE
1162D5,11641D,11642E
FEB98,FE975,FE9A1
116425,116448,116495
FEAD9,FE97E,FE9AD
116580,1163DF,11669E
FEB21,FE953,FE97B
116410,116287,116441
FEBB6,FEB40,FEA55
11642E,116357,1163A7
FEB9D,FEA07,FEC08
116525,116451,1165A4
FEBC4,FEA1A,FEB2A
116499,1167B7,11674E
FEB7E,FE964,FEBD9
116563,1163D6,116361
FECC6,FEAD1,FE87B
11653A,116669,116529
FED01,FEA4E,FEA40
1163E8,1165C5,1165DE
FEA58,FEB91,FE8DC
116417,116405,116455
FEA00,FEB61,FEA03
116525,116632,116655
FEBE2,FEBFC,FEB14
116584,1165F6,11654C
FEAC8,FE9E0,FEA9B
116687,11664B,116502
FEA22,FEA43,FEA65
116755,116825,116827
FEA12,FEADB,FEB37
116562,116695,1164B2
FEB9F,FEA02,FEBB0
11652A,116564,1165E5
FEBA0,FED1E,FEB2D
1166A5,1165C1,116518
FEB96,FEB28,FEAD3
116650,116740,116833
FEBFB,FEC55,FEDBA
11652F,11663C,11649D
FEB61,FEBF2,FEC9F
11661D,11658F,116681
FEC3F,FED03,FEBC6
116664,1167FD,116687
FEC1B,FEA82,FEAD2
11538F,1151EE,1152D8
FE9AB,FEAEE,FEAA5
116630,1163C7,116535
FEB7A,FEA1F,FEB78
116542,11644C,1163EA
FEBF6,FEAC1,FE93E
116435,11642F,1162B7
FE8DE,FE931,FEAE6
116365,11650A,1163FE
FEA17,FEBE7,FE892
11619C,1163B9,116312
FE8BA,FEA4F,FE9DE
1163C3,11653D,116460
FEADA,FEA30,FE97A
1163E5,1164B2,116665
FE97C,FEB49,FECB9
1165FE,116706,1166AD
FEB3E,FEA2C,FEC27
116609,1165C6,116441
FEC4E,FE86B,FEAC8
1163BF,116463,11648D
FEA00,FE7DE,FEA61
11635F,1163EF,11631C
FE98C,FE908,FE8DF
1164BB,116549,1163CC
FEB1A,FE9E8,FEABF
1165BA,11659A,1165F4
FEBB8,FEC67,FEB50
1164B2,11663D,11658A
FED78,FEAF7,FEB32
116462,1164C2,1163B2
FEB8C,FE9F5,FE9AB
11671E,116756,11663D
FEBEA,FEA26,FEC34
116880,1164D4,116638
FED01,FEB9C,FEC98
116590,1166F2,1164C5
FEBC2,FEBFB,FEBF4
1164CF,116550,1163DC
FEB7C,FEDBE,FEAB2
116636,11658B,116514
FEAC5,FEDAE,FEA65
116635,116500,1165E7
FED07,FEB3B,FEC2D
1166A7,1166D9,11659B
FECEC,FEC55,FEC2D
116645,116691,11669A
FEA2A,FECAB,FED0B
1166B3,11675B,116808
FEC44,FEE0D,FEC26
1164D4,1165FD,1165BB
FED75,FED9D,FEC13
116763,116921,1166ED
FECE2,FEC54,FEBD7
116697,1166A3,116631
FEC9F,FEC59,FEBB4
116711,1166A7,11661F
FEBA0,FEDEE,FEC91
1164A5,11662A,116864
FEE98,FEBE8,FEE95
116543,116410,116608
FEC16,FEC76,FEB05
116803,116848,116873
