{'CALIB_RAW_DAC_START_I': 622592, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
435EF,43766,4376F
5B1CB,5B248,5B190
439AB,4360D,43772
5B17F,5B028,5B1C4
4375D,43789,438B2
5B218,5B30C,5B213
43641,43925,436EB
5B257,5B34D,5B255
43613,43744,437BC
5B212,5B186,5B4AF
4371E,4392A,43797
5B3B9,5B279,5B3D7
43780,4391B,4381F
5B477,5B366,5B4C3
4389A,43793,43898
5AFBE,5B3BD,5B271
43942,43772,43883
5B189,5B370,5B360
4372E,438FB,436A6
5B141,5B2C6,5B19C
43615,43625,4364A
5B250,5B131,5B174
43723,4390C,43787
5B182,5B2C9,5B2B3
43A75,4374E,4361C
5B16E,5B26B,5B21B
4363B,437DD,4361D
5B04A,5B26E,5B137
43709,436D3,4363F
59FB0,59FBC,59E20
44059,44044,4442B
5B968,5BA8F,5BBD7
44046,44159,440F0
5BD58,5BA1D,5B9FA
43F5C,44102,43FCC
5B859,5B951,5BAD2
442BB,44185,43F90
5BAC6,5B9F0,5BA7E
43FDC,4407B,43F43
5BA0D,5BD07,5BA31
43EB6,4401E,44074
5BB81,5BC49,5BC87
440D2,4410E,43FB2
5B9EF,5BA3E,5BACF
43FA7,441E8,43F3B
5BBD3,5BB93,5BADD
440B9,43F3B,43F83
5BB7D,5B95F,5B9A6
440C3,43FC1,44047
5BA01,5B8F1,5B9C9
43FE9,44012,44195
5BAAA,5BA91,5B9E0
43DF0,43EDB,43F34
5BB78,5BBD3,5BA6D
43EBA,440C7,4418F
5BA67,5B922,5BA12
44052,43F83,43F26
5B9F4,5BA93,5B8BE
44143,43F9F,43F4B
5BA70,5B9EE,5BB07
4402C,43E1B,43EF0
5B8EF,5B812,5BB2C
43DF8,43ED9,43F4C
5B956,5B913,5B863
43DD0,43DF1,43C0C
5B8B9,5BA77,5B8F2
43D36,43DDB,43CC6
5B7E8,5B992,5B995
43E21,43E5E,43EE5
5B8F1,5BA83,5BBCE
43F06,43F1D,43FBF
5B98A,5BAEE,5BB5A
4405A,43F9E,43FC3
5B810,5B95C,5BA83
43FFD,4401C,440EC
5B994,5B9E3,5B818
43F78,43D58,43E94
5BA0E,5BA74,5B98E
43E21,43F92,43D52
5BA4D,5B8C7,5B874
43FC7,43E51,43DAD
5B8E6,5BB3F,5B9F0
43E01,43DBC,43F82
5B7A6,5B7ED,5B7D4
43E2A,43ED6,43EB4
5B808,5B7E3,5B8FD
43D6E,43DC1,43EA4
5B951,5B9AC,5BA12
43E21,43CB8,43F44
5B8D7,5B840,5B9CD
43E44,43F92,43E88
5B8CC,5B7CF,5B928
43E57,43E5F,43D2C
5BB7D,5BAC4,5B8C7
43D2A,43D79,43CFD
5B76E,5B8CD,5B90F
43DD4,43DD7,43D7A
5B87F,5B8B5,5B978
43D4C,43D61,43D11
5B6BA,5B762,5B714
43E16,43DF9,43DC7
5B89B,5B8B7,5B921
43E4D,43D7A,43D5E
5B77C,5B843,5B7AE
43E1B,43D64,43CA8
5B983,5B989,5B778
43F17,43F26,4405D
5B8EC,5B8EE,5B899
43EE4,43BE6,43EF5
5BA3C,5B7E7,5BA9B
43C31,43DE4,43ED3
5B7B5,5B74B,5B66A
43ED6,43E35,43D47
5B71B,5B78E,5B91A
43E62,4407D,43F5D
5B6E9,5B85F,5B864
43D6F,43E28,43E36
5B9D0,5B82B,5B97E
43EC0,43C24,43CF3
5B8B4,5B7E5,5B6D0
43C49,43C9B,43D6F
5B756,5B803,5B8CA
43D8E,43CDE,43CC9
5B7C3,5B837,5B6FC
43E07,43CA7,43C21
5B52A,5B692,5B63E
43D09,43C6A,43CE4
5B89B,5B714,5B813
43CA8,43D7F,43D5F
5B769,5B6F1,5B774
43E07,43DD3,43DA7
5B84D,5B7C1,5B7C3
43BED,43D56,43BA3
5BA11,5B84B,5B70A
43D08,43C7B,43CB0
5B89E,5B6A4,5B584
43BCF,43CD1,43D2E
5B831,5B644,5B831
43CC7,43B73,43D27
5B67B,5B751,5B823
43C97,43B81,43D54
5B74B,5B5F7,5B7E8
43B46,43A75,43BE6
5B5C3,5B60C,5B5E4
43CD2,43BE7,43D0F
5B7B8,5B844,5B784
43DBE,43BAF,43E36
5B78D,5B620,5B648
43BE7,43AB5,43D56
5B780,5B61D,5B892
43CD5,43DA4,43C43
5B5AA,5B739,5B520
43BED,43CFD,43B97
5B611,5B7CC,5B88D
43E66,43C62,43E37
5B5E1,5B7AF,5B802
43CD2,43CE3,43BE9
5AD60,5AD9B,5AE2F
4413F,43FF1,440C4
5BB86,5BB33,5BC56
44282,43FF7,43ED5
5B9DA,5B952,5B95D
43EB8,43FB3,43F0D
5BA99,5B980,5BBCE
440CF,440E7,43F6C
5BA25,5BAE9,5B9FC
440D6,43F24,43EBF
5BC85,5B92F,5BA78
44178,44065,44082
5BAA1,5BB09,5B9A7
44055,440BD,43FBC
5B9B3,5BA29,5B9A8
43F5A,44116,43FCF
5BB6F,5BBA7,5BBD8
43D33,43E5A,43FB7
5B950,5B884,5B8BA
440A0,4406D,43E76
5B9EE,5B9FC,5BA7E
43FA6,43E60,43F00
5B922,5B9A2,5BABF
43DFF,43D33,43DC9
5B7FC,5B9BF,5BB2A
43E1F,43F22,43E32
5B95A,5B9FF,5B9DE
43F26,43F5A,4404B
5BA19,5BB7F,5BB70
43E84,43DEF,43E7F
5BA8C,5BB3B,5BA10
43E31,43F8D,441AA
5B8DF,5B9DF,5B968
43F1D,43ED6,43FD3
5B94C,5B825,5BA08
43EDA,43E78,43C3A
5B806,5B8DB,5BACF
43D0B,43D9A,43D6F
5B6F8,5B83F,5B836
43F5A,43CDB,43E9C
5B7B4,5BA65,5B9BD
43E19,43D25,43E07
5B775,5B9D8,5B88D
43FB5,43F6B,43E28
5B8CA,5B9DE,5BA87
44044,43ED1,43FFB
5B935,5B959,5B9C6
43DB9,43F62,43FF7
5B9BB,5BBB0,5BC14
44005,43C57,43CD5
5B91E,5B98A,5BB78
43FFD,44073,440DE
5BB35,5B898,5BA8D
43F06,43DBC,43CBB
5B938,5B890,5B8D9
43EE3,43D0D,43E23
5B84A,5B9EF,5BAAA
43FED,43E4F,43E19
5B9DA,5B85B,5B815
43D9A,43DF2,43F4C
5BA59,5BB12,5BAAC
43F46,43F2F,43FF2
5B919,5B9C9,5BA79
43E3E,43E79,43CE2
5BBD8,5BAE9,5BA8E
43ECF,43D51,43F0D
5B874,5B861,5B883
43E75,43DDE,43DC4
5BA69,5B948,5B90D
43C9C,43C20,43C9F
5B6B9,5B70F,5B7D0
43D80,43D2E,43E97
5B868,5B8E2,5B753
43E45,43D91,43E86
5B853,5B800,5BA00
43FB2,43F6A,43B81
5B8B1,5B9FE,5B813
43CD7,43E59,43E47
5B746,5B900,5B895
43D2F,43D4C,43BCE
5B9B8,5B8C6,5B7F2
43CD4,43EA4,43B97
5B737,5B751,5B7DB
43DEE,43B58,43D2D
5B985,5B9D7,5B808
43FA7,43E31,43D25
5B72A,5B820,5B852
43DB0,43D8B,43E86
5B8CD,5B7FD,5B6D3
43F01,43E6A,43C6D
5B69E,5B6BA,5B753
43D31,43C58,43CBA
5B909,5B960,5B6A8
43E87,43DA2,43C28
5B749,5B9AB,5B81D
43C2A,43DAA,43F6B
5B638,5B7DB,5B688
43E29,43EF6,43D2D
5B6F0,5B7AF,5B6CE
43CCA,43C84,43CB7
5B6D9,5B8FF,5B891
43DB8,43D43,43C19
5B5F2,5B734,5B57E
439BE,439FD,43B63
5B52B,5B585,5B6F1
43BE2,43B6D,43D2D
5B682,5B6CF,5B620
43D4C,43C2B,43B4D
5B6F1,5B47D,5B7B2
43C03,43C11,43D1E
5B602,5B662,5B778
43C87,43C92,43CA8
5B78F,5B69B,5B5E0
43C9A,43B84,43B50
5B600,5B608,5B6B5
43B2B,43AC2,43B9B
5B63A,5B54A,5B6A0
43CBB,43C3E,43AEA
5B603,5B821,5B677
43F02,43B28,43D58
5B664,5B651,5B489
43E03,43F87,43CF4
5B7F7,5B8AD,5B952
43D34,43D97,43C7A
5B666,5B57F,5B7AE
43F17,43D31,43C45
5B697,5B717,5B713
43E96,43D57,43E3E
5B3B0,5B33A,5B2F7
43656,436B6,43870
