{'CALIB_RAW_DAC_START_I': 229376, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
E1C2D,E1E13,E1C33
CA28E,CA16C,CA067
E1C31,E1B59,E1C33
CA1A1,CA131,CA239
E1C90,E1BE4,E1C77
CA18B,CA14D,CA2A5
E1C07,E1BAC,E1CB0
CA0BB,CA069,CA22A
E1C05,E1D8B,E1B79
CA1EF,CA0E9,CA285
E1C7A,E1AFF,E1B7D
CA145,CA059,CA26C
E1A9A,E1CC5,E1C38
CA424,CA3F0,CA16B
E1DC8,E1F49,E1F93
CA524,CA2A4,CA3F1
E1DA9,E1DC3,E1C78
CA3AD,CA406,C9F94
E1E59,E1DFE,E1CA0
CA3BC,CA314,CA3CA
E1F4E,E1E68,E1EE2
CA446,CA44F,CA69D
E2064,E2017,E1E6E
CA529,CA4A0,CA62E
E1DDF,E1F5F,E1E7D
CA44A,CA4CA,CA62A
E1F8C,E1E58,E1EA6
CA24E,CA515,CA4A7
E1FFE,E1FDD,E2152
CA6F0,CA547,CA623
E1F69,E20BC,E1DB3
CA5FB,CA4FE,CA509
E20C3,E1F8A,E1EA9
CA5B4,CA4EF,CA3FC
E1D89,E1DFA,E1E36
CA63C,CA484,CA3CB
E1EFB,E20E8,E1F36
CA663,CA503,CA348
E2069,E1DD7,E1F77
CA5C6,CA548,CA61F
E1E4F,E201A,E1D23
CA5CF,CA536,CA623
E1F91,E1D51,E1FAB
CA6DC,CA690,CA432
E0068,E00B7,E00DD
CA58C,CA6F4,CA538
E1E13,E2073,E21CC
CA6A7,CA667,CA73B
E2019,E1FCB,E1FEF
CA6B9,CA6F8,CA565
E210C,E2121,E2178
CA6AE,CA75F,CA625
E2261,E22F2,E200B
CA82C,CA5B2,CA683
E2150,E21B1,E223E
CA761,CA86B,CA55E
E200A,E224F,E1FBB
CA5CD,CA4B3,CA5FA
E22E0,E1FE6,E1E1A
CA453,CA4EC,CA6F1
E2152,E20FF,E219D
CA3FB,CA400,CA772
E20A3,E1F35,E1FAE
CA61A,CA62A,CA6E4
E20BB,E2210,E1FA1
CA654,CA768,CA6CD
E218B,E2046,E220E
CA636,CA6A6,CA58E
E219B,E23A7,E2333
CA6AF,CA7AA,CA79F
E2241,E20DF,E2296
CA682,CA638,CA457
E1EC6,E200D,E1F8B
CA7B7,CA689,CA6B6
E22D8,E235F,E2253
CA857,CA770,CA685
E2075,E1F0C,E1FD8
CA80C,CA750,CA7C6
E22EE,E2216,E23DB
CA820,CA6DE,CA9B3
E24EB,E2513,E23E6
CA914,CA688,CA953
E24D9,E2391,E235B
CA784,CA888,CA8A2
E23A2,E23BE,E2429
CA8CC,CA933,CA8EE
E23B6,E238D,E257A
CAA16,CA918,CA8D4
E268A,E2463,E22F1
CA8D8,CA9D7,CAA78
E22C0,E2452,E24AA
CA8CE,CA9B6,CA7CA
E2454,E239E,E2531
CA9D2,CA9D0,CA84D
E2509,E246B,E24C9
CAB65,CA904,CA947
E236B,E2211,E2584
CAB0D,CA89C,CA8B2
E2214,E2538,E2368
CA9E8,CA950,CA9C3
E2514,E2697,E2312
CA9A9,CA95B,CA950
E228D,E234D,E2317
CAA05,CA9CC,CABB4
E264E,E257F,E2413
CAAF5,CA9AA,CA903
E2274,E2611,E257A
CA93D,CAA56,CA8E1
E232A,E238A,E2476
CA6B1,CA6F7,CA645
E222A,E1F9A,E1F0A
CA7D4,CA8EA,CA5ED
E2447,E2192,E2320
CA603,CA5AB,CA6B1
E2080,E2239,E20C5
CA7B0,CA46E,CA82F
E23B5,E2391,E23BA
CAA56,CA88A,CA6A5
E2309,E2314,E2329
CA80D,CA7F1,CA8BD
E2423,E253D,E2436
CAA3E,CA86D,CA9B4
E22F9,E2375,E212B
CAAA3,CA996,CA8C8
E2604,E2496,E2374
CA6A2,CA7DB,CA936
E2289,E2264,E23A2
CA9A9,CAA11,CA84C
E23A1,E230A,E23E4
CA9B5,CA85B,CA878
E21D5,E23C4,E2586
CA9FF,CA8A8,CA8DF
E2420,E2631,E2484
CAA07,CA97A,CA9CC
E247F,E234A,E22E8
CA82B,CA7B3,CA883
E22B9,E24D4,E2445
CA783,CA954,CAA04
E22E4,E2492,E2343
CA9DF,CA98F,CA8CE
E2247,E247D,E24F1
CAA0E,CA995,CA950
E23BD,E25D0,E2554
CABFD,CA9C4,CAB94
E2501,E2646,E2622
CAA5A,CAAC5,CA902
E24E7,E2820,E24F8
CA8D5,CAA36,CA96E
E2352,E2481,E2675
CAAF7,CA9B6,CABFA
E27B7,E26DA,E2509
CAA6A,CABAA,CAB04
E2568,E2705,E279F
CAD3C,CAB87,CAC49
E246D,E263A,E2349
CAA56,CAAA6,CA9C5
E2526,E253A,E26D6
CABC6,CAAC2,CACE9
E2562,E2865,E280D
CAAEF,CABCD,CABD1
E267D,E262D,E23D0
CA9A7,CAB76,CAADA
E25A3,E2614,E24E9
CAADA,CAC3D,CAB1F
E2722,E28D3,E26C6
CAB78,CAD29,CAD14
E26E3,E2821,E282A
CADE4,CAE1B,CAEDA
E2801,E25C3,E2720
CAC19,CAD3E,CABA8
E2594,E2843,E2891
CAD6A,CAC92,CAF3E
E1709,E1938,E1834
CADC0,CAEDE,CAD2B
E273A,E282A,E27B4
CAE1A,CAD9E,CAC90
E281C,E27C3,E2776
CAE99,CAE76,CACF1
E29ED,E28A4,E2759
CAE93,CADE2,CAD8D
E2A31,E2A79,E2A41
CAED7,CADA4,CAD24
E2811,E28D9,E28E5
CAE5E,CAE6C,CAE00
E28C3,E2840,E28DD
CAE21,CAD4E,CAE90
E282C,E2706,E27AD
CAE8C,CAD2D,CB004
E292A,E2933,E2997
CAE46,CAF66,CAF25
E293A,E2966,E2A62
CAFA9,CB13E,CAF2F
E299D,E2A61,E2A4B
CB0BB,CB01F,CAFDB
E29AF,E292D,E2B13
CAE0A,CAF3A,CB0C2
E2A7C,E29E2,E2A06
CAFB0,CAFEF,CAE89
E2974,E279F,E2964
CAE32,CAFCB,CAF6D
E299C,E2A5D,E2A9D
CB07A,CAF6E,CAF0B
E28F6,E28C6,E2A3D
CB064,CB01C,CB197
E2AB0,E2A0B,E27B2
CB27E,CAE4B,CB0F0
E29E8,E2B38,E2AF8
CB05C,CAF20,CAEC0
E2B15,E2ABC,E2A1B
CB17C,CAF91,CB14C
E290F,E28A8,E2979
CAEFA,CAD5A,CB02C
E2B85,E2AB9,E2A7E
CB101,CB010,CB06D
E2AF6,E2B1B,E2A73
CAFC3,CAF50,CAF4C
E2A54,E2BA9,E2B8A
CB105,CB003,CB095
E2AF0,E29F9,E2B05
CB081,CB119,CB166
E2BD9,E2BB3,E2AE6
CAFEA,CB0E7,CB242
E2942,E2B5C,E2C29
CB246,CB090,CB090
E2CAE,E2DC8,E2BA4
CB20F,CB3EA,CB3AC
E2BAE,E2C74,E2CB6
CB0DC,CB224,CB2A6
E2CEE,E2CCE,E2EB4
CB294,CB212,CB279
E2D34,E2B79,E2C16
CB34D,CB28F,CB164
E2E51,E2C27,E2D09
CB223,CB1DE,CB3CD
E2DE5,E2D50,E2E61
CB3BF,CB1A2,CB41C
E2AE9,E2EC6,E2EE9
CAFF2,CAFF9,CB05E
E27E1,E2AB8,E2A96
CAE71,CAFF4,CAD8F
E2B75,E2B17,E2B4B
CB12A,CAEAA,CAF71
E2A0D,E2962,E2792
CB077,CAF58,CAE74
E2982,E2A33,E2B55
CAF12,CAF8B,CAF1E
E2AD1,E28F0,E29F1
CB117,CB06B,CAF8D
E29EA,E2BC2,E2B46
CB0B3,CB0BA,CAE77
E29A9,E2943,E2BAB
CAEDE,CAFC9,CAEB5
E2BD9,E29CF,E29EE
CAFA8,CAFDD,CB198
E2A03,E2A2F,E2A46
CB274,CB213,CB04D
E2A1C,E2C8B,E2C2A
CB11C,CAFB3,CB12B
E2A98,E2BFD,E2AAF
CB0BD,CB1EA,CB1A9
E2BF7,E29F9,E2BF7
CB1A5,CB34D,CB3C2
E2C5B,E2A59,E2C76
CB1A2,CB15C,CB110
