{'CALIB_RAW_DAC_START_I': 163840, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
EFBFD,EFBCA,EFC9C
106DB3,106BB8,106CAC
EF25E,EF1E4,EF39D
1078C9,107A2E,107A58
EB0D7,EAF7F,EAF5A
102B9F,102C30,102CBA
EB095,EAF9A,EB0F9
102B4F,102BD0,102C9F
EB278,EB0FA,EB160
102CA8,102CF2,102BED
EB3E1,EB267,EB25D
102CFA,102CC9,102D47
EB3BC,EB308,EB2BB
102E71,102DF6,102EC6
EB125,EB309,EB231
102CBF,102C5F,102C60
EB271,EB380,EB167
102C67,102E6E,102DA9
EB327,EB3B3,EB438
102D87,102E30,102E54
EB42C,EB384,EB1EA
102DA1,102D2C,102B79
EB3DC,EB27C,EB24C
102C4D,102C6C,102EB6
EB2D8,EB314,EB14C
102D33,102CC0,102DA8
EB19D,EB34F,EB235
102D29,102E7C,102F6A
EB1FF,EB4A2,EB3D3
102EB2,102E47,102E6D
EB459,EB311,EB313
102E54,102E9D,102F9E
EB307,EB3D0,EB551
102EA0,102FA9,102D02
EB6B6,EB57D,EB3FE
102D2B,102D94,102E1E
EB36D,EB5A2,EB59E
1030F6,102FC4,10315F
EB72C,EB653,EB64C
1030F3,103188,10306E
EB5AE,EB73E,EB692
103065,102F64,102E49
EB574,EB4E6,EB3E1
102F91,103063,10302A
EB657,EB458,EB53B
102FD0,10307D,102EA4
EB4DE,EB496,EB646
103079,102FC4,1031C0
EB534,EB4FD,EB448
1030B8,102FDF,1031CA
EB688,EB696,EB585
103139,103291,10316F
EB5DD,EB636,EB7B8
10317A,1030FA,102FBC
EB50F,EB51F,EB6B9
1032BF,103202,103040
EB67B,EB6DA,EB63C
103166,102FF9,102FB1
EB6A6,EB428,EB67C
1031D5,103060,1031ED
EB904,EB662,EB616
103285,1030C0,103168
EB6DB,EB8C4,EB658
103360,103186,1030DB
EB8A9,EB63A,EB705
1030EF,103206,1032D2
EB9A1,EB680,EB651
10323D,1033DD,10346F
EB302,EB37B,EB4EE
102EDC,102FB0,102DAD
EB461,EB1D6,EB16F
102D25,102D24,102E8E
EB477,EB244,EB503
102F87,102F60,102E8D
EB272,EB453,EB5E1
102F14,102F2E,102E53
EB55A,EB3F7,EB57C
102F24,102FF8,102FAA
EB47A,EB350,EB3EF
102EF8,102E92,102FCE
EB4DE,EB4E0,EB435
102DF0,102F30,102F34
EB5D7,EB36F,EB374
1030DC,102E49,102FFD
EB40F,EB445,EB554
102E82,102E34,102EF7
EB446,EB541,EB465
102DF1,10310F,10318C
EB4A8,EB63D,EB596
10305B,10303D,102F59
EB648,EB489,EB59F
102F4A,103017,102EC3
EB56B,EB4E5,EB70F
1030CD,1030C4,103011
EB5AC,EB543,EB3FF
1030F6,1031CF,10315A
EB5C9,EB486,EB6FC
102F6B,103176,10304B
EB641,EB6B4,EB6EF
1030A8,1030B3,102F0B
EB5F8,EB6EE,EB6E9
1030BC,10307F,102FB8
EB826,EB607,EB6A4
10327B,103214,103234
EB70F,EB83F,EB6E1
1032EE,103099,1032AA
EB8A5,EB62E,EB892
103218,10339D,1033CC
EB8B1,EB805,EB7E7
103389,10338A,103264
EB79A,EB8B1,EB890
103432,103009,103356
EB7BA,EB7E2,EB73C
1032BC,10329A,1031F6
EB813,EB924,EB85C
1035C7,10334A,103280
EBAE3,EB9F3,EB7E0
103443,103332,10339E
EB8FC,EB954,EB78E
10345D,103347,1033CA
EB7CD,EBA43,EBA31
1034AD,1034A9,10349E
EBB1B,EBC51,EBBA9
1034C1,1034EC,103472
EB8EA,EBA3A,EBAE0
103568,103570,1035AE
EBB91,EB95C,EBA95
1034AF,10347E,103480
EB9C1,EB9D5,EB8E6
10346C,103691,1033F2
EBB25,EB8FB,EBB07
10262F,1027B8,1024D2
EB8BD,EBA48,EB8E5
103301,103396,103307
EB8A2,EB85D,EB8B4
1034CB,103467,1034EB
EB8E3,EB93B,EB7DD
1034B3,103385,1033B9
EB928,EB8F8,EB924
103309,103345,103304
EBB64,EBAB0,EBAFE
1033E7,1034FA,103475
EBAC2,EBAAB,EB8F4
103571,10366B,1034A3
EBB31,EBA85,EBA14
10349A,10355D,103575
EBA63,EBA87,EBAF1
1034E3,103578,1034CE
EB95B,EBB4D,EB9EF
10360D,103561,1036FA
EBBB8,EBA68,EB9DF
1033E8,10355C,1034D8
EBB09,EBB7B,EBB23
10351C,103601,10343E
EBAE4,EBCF1,EBB96
10361B,1035EE,103686
EBC0B,EBBD2,EB9E5
10359A,103702,103686
EBD47,EBB18,EBB7F
10375C,10362B,10379C
EBB71,EBBCA,EBCE4
10373C,1036CC,103683
EBD64,EBEB5,EBC25
103634,103752,1037A3
EBD9B,EBD68,EBD83
1037AF,103753,103798
EBE26,EBD0C,EBD60
1036F1,10376E,10381B
EBD29,EBDDF,EBF16
10381B,1036EF,103650
EBE9A,EBDC5,EBBF5
103714,1036AE,1037E8
EBD1A,EBDA7,EBDD6
10369A,103868,103675
EBD3A,EBC24,EBE26
103708,103722,103697
EBF46,EBDEF,EBE13
103848,1037C6,103800
EBE45,EBCB6,EBD6F
103923,1037C2,1038F7
EBF44,EBE7E,EBCFB
10389F,1037DF,1038A9
EBDCA,EBD33,EBD7D
103867,1038B7,103866
EBE3E,EBDA4,EBE17
10384E,103858,1037F8
EBE19,EBF2F,EBD23
103891,1039BD,103ACE
EC01C,EBEEC,EBE7C
1038ED,1038BC,1037C1
EBF10,EBF2A,EBFE8
1037CB,103987,1039E3
EC184,EBFA5,EBF5A
1039F3,103A69,10389D
EBF17,EBFFE,EBF75
103BAB,103A39,103982
EBB0F,EBD08,EBB6A
1038BE,103472,1036E1
EBCEF,EBA96,EBD2D
103481,10376D,103758
EBC0C,EBD27,EBDA1
103633,1036E5,1036ED
EBD27,EBD5F,EBD42
10378A,1039FF,10379F
EBD7E,EBD3E,EBE27
10377A,103787,10344D
EBD42,EBCC7,EBC33
10375C,1035BF,103795
EBD74,EBBD6,EBE06
1035F3,103823,1034DD
EBE1F,EBD29,EBCA1
1037AC,1036A6,1035D8
EBE31,EBBFD,EBBC7
10381F,1036F5,10377C
EBCFD,EBE0F,EBD08
1037F6,10375B,10354E
EBC09,EBC0B,EBC9B
1037E2,10377B,103783
EBCB3,EBE7C,EBEBA
1037C9,1039D6,1037BA
EBC27,EBF18,EBE60
10398A,1038A0,103A0A
EC140,EBEB3,EBE39
1037E6,10394E,10396B
EBF79,EBD3A,EBDB2
103655,103871,1037F8
EBDF0,EBD4F,EBE34
1038BF,1039F6,10380C
EC11B,EBF9D,EBE0A
103817,1039E9,10388F
EBF41,EBD6E,EBF6F
103A72,103984,103868
EBF33,EBFE2,EBF62
103995,103B9C,1038B5
EBF98,EC06A,EC03C
103A53,103871,103A4F
EBE58,EBFCD,EBFB8
1038CC,103BD6,103D68
EBF55,EBFD1,EBFE8
103AAD,10392E,1038DB
EBF2D,EBF9D,EBD70
103A3D,103956,103A3B
EBF18,EBFAF,EBF5F
103A3E,103A85,103977
EBF62,EC0E9,EC12E
103CF9,103B95,103A52
EC08E,EC196,EC17D
103AEE,103C3E,103B80
EC153,EC242,EC2E4
103A96,103C99,103BCE
EC0BF,EC0BA,EC270
103D47,103A83,103C8B
EC178,EC080,EC013
103C77,103C9C,103B45
EC171,EC05B,EC1E2
103C39,103C46,103B66
EC0E8,EC022,EC00C
103B0C,103E18,103B53
EC270,EC1FC,EC15B
101FEA,101FC2,102039
EC0B7,EC095,EC1AE
103B42,103CBA,103C6C
EC33D,EC1B1,EC0BB
103CD0,103BD2,103BB9
EC24C,EC1D1,EC10D
103B93,103C9A,103C3D
EC26B,EC387,EC27D
103D7C,103CF5,103E3C
EC145,EC0AD,EC0D1
103D1D,103B90,103B71
EC225,EC194,EC0BF
103CB7,103C39,103DF2
EC14A,EC2D8,EC2A6
103B52,103CD0,103BC7
EC1F0,EC0EE,EC23C
103E4F,103C65,103CF7
EC210,EC27B,EC201
103C88,103BF9,103D22
EC222,EC43D,EC121
103D5B,103BC9,103D93
EC404,EC381,EC267
103DD7,103DC9,103D1C
EC36D,EC1F8,EC46D
103C9E,103E0B,103D33
EC3B3,EC330,EC3EF
103E98,103E35,103C68
EC4E8,EC543,EC5B0
103ECF,103D5B,103FE5
EC394,EC324,EC245
103CEA,103F50,103ED1
EC386,EC54D,EC423
103DBF,103F85,103D3A
EC583,EC767,EC544
104095,103FFC,103F38
EC688,EC3E9,EC578
103F52,103E40,103E5E
EC514,EC44C,EC4E0
103FF6,10412D,103E48
EC49F,EC57C,EC529
103F0A,103F69,104049
EC643,EC4E2,EC613
104095,1040B8,10407F
EC4EA,EC5BA,EC344
1040DA,103FFC,104155
EC497,EC511,EC7AA
104083,1041CD,1041BA
EC682,EC7A8,EC58C
1042A5,104147,103F09
EC58B,EC5B0,EC722
1040A6,103F4A,104061
EC5D5,EC688,EC664
103F79,1040A4,103EF9
EC5ED,EC58B,EC6F1
10422E,1041FA,104117
EC692,EC640,EC8EA
1042C6,104386,104344
EC60E,EC694,EC797
1040F3,103F71,1041A5
EC6D3,EC6D5,EC69D
104151,104284,104171
EC730,EC83A,EC704
1041B3,104305,10444B
EC7BC,EC6F1,EC912
104270,10406B,104255
EC50B,EC49E,EC3B0
103D90,103C0A,103F65
EC46A,EC358,EC518
103E13,103F5B,103E90
EC52F,EC557,EC326
103F6A,103E4F,103F67
EC3F4,EC27A,EC451
1040EE,103E92,103EC4
EC3DE,EC291,EC427
103EFA,103F11,103F29
EC512,EC473,EC358
103FB1,103ED9,103F35
EC506,EC4ED,EC5D0
103F5D,103F34,103F19
EC4EA,EC510,EC4A4
104005,104146,1041E4
EC610,EC6D5,EC692
10411F,1041DD,1040F5
EC53D,EC482,EC5DD
10408C,1040CD,1041D7
EC6CB,EC5B4,EC69B
1040F2,104258,103FFC
EC54F,EC504,EC7E8
1041F1,1041E8,104124
EC6B2,EC77A,EC75C
104147,10411F,104037
EC74E,EC796,EC671
1040EA,10413C,1041C5
EC813,EC6AD,EC6E4
103E87,10429E,104155
EC60E,EC4F4,EC69F
1041AE,104058,10410F
EC817,EC88D,EC70A
104290,104497,104216
EC771,EC8ED,EC980
1043B6,104375,1041A5
ECA02,ECA0C,EC9C0
10422A,10425F,1043AD
EC707,EC89E,EC7AF
1042BD,104317,104299
EC8EB,EC934,EC8A7
1041A3,1041AE,104282
EC816,EC6F4,EC8B6
104304,104528,10435F
EC796,EC9AD,EC876
104605,1043B2,10432F
ECAA2,EC9ED,EC833
1043DD,10447E,104432
ECB0D,EC98F,ECB4E
1044C4,1045A4,1043B7
ECA4A,ECA53,EC949
104466,10441E,104386
EC79F,ECA83,EC775
104406,1042D4,104434
ECABC,ECAB8,ECA09
1043FD,1043FC,1046F0
EC99B,ECA8E,EC9C7
104290,1044C3,104523
ECA3D,ECB4C,EC99A
10466D,1045AB,104551
ECA63,EC9AD,EC95A
104323,1043A4,1042EA
ECA7B,EC945,ECB9E
1034F9,103526,103549
ECA54,EC9CA,ECA9A
10455D,1043BE,104618
ECA55,ECA32,ECABE
104517,104299,1044B1
ECBB8,ECA40,EC96B
10451A,1043B6,104403
ECB51,ECB36,ECA80
104472,104465,104515
ECBB8,ECB3A,ECACD
10440A,1044BE,1043CC
EC9BD,ECA88,ECB91
1044C7,1043DF,104597
ECB57,ECAED,ECBF8
104614,1046A2,104540
ECAFC,EC990,ECA86
10455E,10457F,1046BF
ECA9F,EC9C1,EC8F7
104631,104533,104551
EC9FC,ECCA0,ECB83
104622,1046AB,10492C
ECBE4,ECC11,ECB1D
104674,1045F9,104637
ECBF0,ECBFD,ECA68
1044D1,104725,1046C3
ECAAE,ECAF4,ECB3C
1045A5,10458B,104577
ECA67,ECAEF,ECA96
1045A7,1045CD,1047C1
ECC6A,ECBBD,ECCDD
104674,104594,1045DF
ECB55,ECD27,ECBC5
1046B3,1046C2,104336
ECEF6,ECDDC,ECD85
1048F0,1047BD,1048EA
ECC62,ECE21,ECFDC
104903,1048B0,104820
ECD12,ECD76,ECEBE
10479E,1048C6,1049B5
ECEF7,ECE0F,ECEC9
104928,1048D5,104BF2
ECE4E,ECE18,ECEB4
1048F0,1048BE,1049D8
ECFA9,ECE17,ECDE3
104A4D,1048E6,104996
ECFF6,ECE8B,ECDED
1049DA,104A92,1049B4
ECE5C,ECEC4,ECF2F
104A23,1048FF,104AF9
ECFD7,ED0BB,ECEF1
104B5E,1048E6,1048ED
ECCF8,ECED4,ECE75
104969,104A64,104956
ED205,ED01B,ECFED
10491B,1047C1,104B10
ECFB5,ECF40,ED0AE
104A98,104A15,104898
ECFEB,ECD47,ECF82
104A20,104944,104A01
ECF7F,ECDEA,ECF49
104C76,104978,104A4E
ED338,ED109,ED198
104BE5,104A47,1049CB
ED132,ED1CB,ECFE3
104955,104A84,104A3C
ECD85,ECDAB,ECD19
104754,10468C,10466A
ECC03,ECC88,ECC3C
1047AE,1046D5,1046BA
ECCB8,ECD66,ECBA0
1047B5,104839,104679
ECBE6,ECE5B,ECCEF
1047A3,10474E,104661
ECE12,ECE3E,ECCF3
1047A5,1046EE,1047F7
ECD29,ECE44,ECD0A
104696,10463B,104746
ECEDC,ECDF7,ECCF3
1048A3,10464A,1047A1
ECDE6,ECE04,ECDBE
104A31,104A11,104A46
ECD5C,ECF9C,ECD45
1047F7,1049AD,104746
ECD83,ECDFB,ECD8A
1049F7,1047EB,104857
ECE14,ECD76,ECEC5
1048C3,104764,1047BD
ECDA3,ECDF2,ECE4A
1048ED,10493F,104794
ECD8B,ECF9E,ECF0F
1048C7,104AA2,104753
ED00E,ECE61,ECEEA
1048EE,104766,1049F9
ECF53,ECF89,ED008
104947,104974,104AAC
ECEC2,ECFC2,ECEB2
104961,1049CA,104946
ECF45,ECFC5,ED083
104AD1,104BDE,104AA9
ED009,ECFF4,ED1B9
104C14,104C36,104B61
ED16F,ED14B,ED039
104AAC,104B72,104CDD
ED0B1,ED092,ED113
104B05,104C11,104C19
ED0C4,ECF82,ED0DB
104B63,104BAD,104AD3
ED0EF,ED009,ED008
1049EE,104AF0,104C60
ED023,ED06E,ED0DE
104A1B,104A50,104A60
ED183,ED0F7,ECED6
104B3C,104D65,104C80
ED049,ED239,ED03D
104B68,104B33,104C59
ED1F4,ED168,ED05B
104ADF,104B0A,104BE1
ED1FB,ECF9B,ECFF2
104C7C,104B42,104D40
ED142,ED00E,ED046
104BEE,104D10,104C20
ED3C9,ED09E,ECFD2
104C4F,104B9F,104AF0
ED126,ED0BE,ED138
104CA3,104AC8,104BE4
ED1C9,ED11C,ED0D3
104D47,104CF6,104CCC
ED1EF,ED2DC,ED314
1038D5,1038E3,1039F1
EC7A7,EC680,EC708
1041F9,1040C5,1040AF
EC551,EC4B8,EC65A
10407E,103FEC,103FBE
EC56E,EC66D,EC555
103F45,10429C,1040B3
EC5C4,EC559,EC66E
1042CF,10415F,10411C
EC4B7,EC500,EC666
104136,10413D,1042DF
EC6F1,EC654,EC6E4
104115,1040D9,1040AC
EC798,EC5D7,EC5B9
1041FD,1040BE,1040F9
EC7FC,EC57C,EC502
104129,10430B,1041F7
EC803,EC70F,EC766
104050,10415E,10400C
EC7B9,EC7D4,EC6E7
104293,1041F7,10416C
EC77D,EC653,EC727
10410C,104128,1040D4
EC708,EC7B7,EC7CB
104271,10417F,104499
EC853,EC8C5,EC919
1042B1,104327,104105
EC849,EC8D2,ECA76
1044D5,1042E0,104374
EC734,EC986,EC905
104319,10446F,1041F4
EC92F,EC905,EC829
104388,104399,104237
ECB42,EC922,EC929
10427A,1042E0,10428F
EC879,EC820,ECA36
10462D,104530,104634
EC9D2,EC8D6,EC921
104357,10443F,10430D
EC837,EC9E2,EC80B
10437B,10453A,1043F0
ECBB1,ECA45,ECC76
104511,1046F1,104501
ECAE9,ECA9D,ECAD2
10467C,1045EF,104575
ECB31,ECC35,ECA61
1045A8,1046B3,1044E9
ECA8B,ECB29,ECAEE
104587,1045E6,1045DB
ECC14,ECC94,ECA87
104718,10458A,10459C
ECBB6,ECCA6,ECC0F
104532,104512,10459F
EC9A1,ECB83,ECB08
10459E,1044F2,104556
ECAA7,ECA5A,ECB41
104411,10458A,104407
ECB0F,ECBA8,ECBB5
1044EA,104649,10466F
ECBD0,ECBAF,EC960
104518,104619,104651
ECA70,EC9D5,ECC11
104629,104626,104339
ECBE2,ECA25,ECC86
10478E,10455C,104816
EC604,EC7D6,EC6DF
104182,1040E2,1041F2
EC63A,EC867,EC874
10436C,104386,1042FC
EC998,ECAE9,EC7F4
1041CB,104315,10445D
EC857,EC8D1,EC6EE
104371,1043F9,1042B2
EC963,EC74E,EC6F0
104304,1042FD,104499
ECA27,EC9CB,EC62E
104507,10428A,104272
EC9ED,EC8FF,EC91C
104330,10444F,10430D
EC81E,EC846,EC998
104494,104510,1045A0
EC8DC,ECA0C,EC9B7
10442D,1044BC,1043FE
ECA76,ECBA4,ECC46
1045E1,1044B2,104562
ECAD7,ECA7D,EC9E5
1043A7,104387,104436
EC960,EC9DC,EC891
104431,104492,10457F
ECAD5,ECB61,EC7DE
104358,104414,10446D
ECA92,ECA0E,ECB57
10446D,104463,104544
ECB1D,EC9A3,ECBBA
10441B,1043EC,104524
ECAB0,ECB19,EC8F9
10451F,10452D,10447F
ECAE3,EC9F5,ECC91
1046F4,104610,10460A
ECB45,ECBB1,EC974
1046A2,1044F7,10483B
ECC3B,ECBC1,ECD69
1046BD,104776,104619
ECA0F,ECBA5,ECAB6
1046B3,104679,104765
ECDFF,ECAED,ECD15
104827,1045C3,10456B
ECC64,ECC4D,ECB8B
1046BC,1044F3,1044A2
ECB41,ECCBF,ECB5F
1046BD,104639,10455E
ECD10,ECB9B,ECBB3
1046BA,1047E3,1048C3
ECDC3,ECD60,ECD26
104802,1047CC,1047BA
ECDC0,ECBDF,ECA1F
1048F4,104773,104A45
ECDC0,ECCE0,ECD71
1047AA,104826,104700
ECE1A,ECD3C,ECCB1
10485C,1045FC,104750
ECB70,ECBE3,ECEF4
1045E4,1046B9,10479B
ECE60,ECDA5,ECD1A
1049A5,104A6E,104782
ECF6A,ECE9D,ECE33
10471F,104608,1048E0
ECF4D,ECD24,ECCFB
1037C6,103775,103A09
ECD0E,ECC8B,ECC6C
104769,1046A0,1045F6
ECBB2,ECBEE,ECCEF
104831,1048B9,10461A
ECD16,ECD4A,ECE2B
1046A0,10489B,104582
ECC94,ECE51,ECB94
1046B1,104632,10476B
ECC9F,ECDB5,ECE12
1048E0,104827,1048F5
ECDA7,ECCDF,ECF2B
10472C,10481E,104973
ECE57,ECD11,ECE10
104665,104898,10480C
ECE06,ECFB1,ECE3B
1048E7,1048FA,104813
ECF1B,ECE6E,ECEA5
104836,1047E2,1046E2
ECF31,ECF97,ECE34
104A57,104885,104899
ECEF3,ECE9B,ECFE7
1049AD,104BEA,1048DB
ED06E,ECF30,ED099
104BC3,104954,104A5D
ECFC4,ECFE2,ECDAB
1048A6,1049E3,104B48
ED0E7,ECEC7,ED001
10495B,104B0A,104B3E
ED17B,ED02B,ED04C
104AF6,104A2C,104BBC
ED0A0,ECFB3,ED1AB
104860,1049D5,1049B5
ED045,ED244,ED0CA
104B92,104AA5,104C79
ED255,ECFAA,ED198
104AE6,104A8E,104A7D
ED109,ED183,ED1BC
104D1D,104A5A,104A9E
ED165,ED10A,ED09C
104B65,104BE2,104BAD
ED1B0,ED013,ED1D5
104C90,104A5B,104A26
ED0E8,ED296,ED20B
104B46,104CC7,104C6C
ED28A,ED222,ED1F6
104C60,104CC6,104CB3
ED13F,ED1BE,ED250
104DAA,104C9F,104D92
ED271,ED401,ED1AE
104BAE,104C01,104B9B
ED2FA,ECF77,ED142
104C80,104CC0,104C60
ED2F5,ED26E,ED0CA
104BCB,104C3D,104B88
ED2A1,ED381,ED14D
104E57,104D08,104EC3
ED2B4,ED41B,ED279
104C74,104C96,104C98
ED39C,ED167,ED34E
104D87,104D19,104E41
ED321,ED358,ED226
104D68,104D8E,104F17
ED3D1,ED10B,ED33B
104DBF,104D0F,104FB5
ED040,ECF63,ECFED
104951,104C44,104A94
ED08C,ED0BD,ED013
104BD4,104BC0,104BE8
ECFB3,ED09E,ECF4A
104C6A,1049A4,104A9E
ED2C4,ED14B,ED0C3
104BBC,104B4C,104CF2
ED170,ED1EC,ED0CD
104CA8,104BA2,104B73
ED1A8,ED0A1,ED31E
104C8F,104CA8,104DC8
ED346,ED2D3,ED03B
104C38,104CA5,104DF6
ED2EE,ED054,ED2D9
104DBB,104BEA,104C98
ED179,ED1BC,ED0D8
104B0B,104C78,104D92
ED1A0,ED208,ED0E6
104BE9,104B68,104A45
ED07F,ED143,ED12A
104AB6,104D84,104A90
ED147,ED210,ECFDE
104CF1,104CDD,104D7A
ED23C,ED0F9,ECFAE
104AB8,104CCC,104C6A
ED2CA,ED3F1,ED2F9
104B49,104C21,104CA4
ED217,ED287,ED28A
104B4A,104DEB,104B90
ED2D2,ED20F,ED426
104E79,104DFF,104E33
ED415,ED534,ED509
104E4E,104E4A,104F03
ED3F3,ED4A2,ED3BA
104FA7,104ECE,104EC8
ED2BB,ED5A4,ED583
104D72,104D0C,104E41
ED476,ED524,ED426
104E77,105056,104ECD
ED5DD,ED3E5,ED459
104DAF,104EB4,104E86
ED55D,ED47B,ED661
104DD2,10503D,104EFE
ED5ED,ED4E4,ED457
104FBC,105141,104FAA
ED42E,ED4CF,ED325
104E20,105037,104F82
ED313,ED2EA,ED55B
104E71,104FD1,104DDF
ED5E0,ED5AE,ED5A0
10503D,104EF2,105010
ED513,ED55D,ED524
1051E3,104F29,104F2D
ED74E,ED4B7,ED488
10504C,104E57,105107
ED41C,ED487,ED5C9
104F53,104E31,104EC1
ED66F,ED4FA,ED379
104F80,10506C,104FB6
ED460,ED5DE,ED4FD
104DC2,104FBF,104EED
ED492,ED4DD,ED5CE
1031F9,10323F,103015
ED4DB,ED422,ED360
104E8D,104FEA,104FD8
ED3D5,ED4DE,ED341
104F1D,104F0E,104F34
ED63A,ED684,ED3DB
104F80,104DE2,1050CC
ED5E4,ED4C6,ED478
104FB2,104F76,104FBD
ED586,ED5DA,ED54F
105089,104FAA,104EE8
ED658,ED51F,ED4B3
105028,10505F,105045
ED499,ED4DF,ED614
10519D,10504D,10508D
ED709,ED593,ED74F
105160,10511F,105154
ED5DF,ED4D7,ED453
104F95,105077,105079
ED5D6,ED7AD,ED5F5
1050F4,1050BF,105237
ED6A4,ED4DA,ED62A
104F62,105077,105055
ED683,ED6CF,ED581
105061,105133,105017
ED574,ED810,ED62F
10507B,105153,105109
ED6FF,ED6F3,ED620
1051BA,10509E,1052E0
ED60E,ED6FA,ED761
1051BB,105128,1052BD
ED620,ED6EF,ED870
105169,105198,1051B6
EDA6D,EDA16,EDC31
105406,1054E4,1053FF
ED7BA,ED813,ED8C4
10552F,1053AF,1054A3
ED747,ED8EF,ED8E1
105220,105594,10534D
ED92A,ED821,ED845
10547E,10520E,105454
ED763,ED96A,ED8B6
105493,10536C,1055C1
ED9B1,ED9B5,ED968
1053A2,105438,1054A2
EDA50,ED7B4,ED999
1054A2,105438,105461
EDADC,ED8A7,ED9C6
10532D,1052DF,1054DC
EDB00,ED9A5,EDABF
105729,105345,1055AF
EDB3A,ED993,ED8FB
105461,105412,10534D
ED932,ED907,ED84B
10526D,105206,105503
ED94B,EDAE7,EDBC4
105477,1055CA,105731
EDB10,EDA03,EDB42
10559F,105543,105395
ED9E0,EDAA6,EDB7C
105611,10527A,105511
EDBC3,EDAE7,EDA8F
105645,1055D3,105442
EDA82,EDBAC,EDBD2
105692,1053F4,1054BC
ED71B,ED6B6,ED687
105112,1050B1,1051C6
ED6B6,ED6E9,ED5E6
105050,1050EE,1050EC
ED7FF,ED74C,ED647
105195,1051C4,105144
ED78D,ED717,ED742
105214,105116,1051B5
ED978,ED858,ED850
1051F2,10526F,1053CD
EDAC2,EDB69,ED863
105580,105446,105233
EDA01,EDA2B,ED98C
1053F0,1053E4,105406
EDA07,EDACE,ED851
105403,10562D,105348
ED9FC,ED9C6,ED8B3
105383,10542B,1056C9
EDB00,EDABF,EDA6E
10565E,1056A3,1054B3
EDD01,EDAF8,ED9F9
10558B,105392,105573
EDA90,EDBDF,EDB48
105446,105381,1054EB
ED9AC,ED86D,EDC1E
1054B1,1052C9,1054DA
EDCE4,EDAD5,ED99F
105307,10544A,10547F
EDA51,EDA48,ED883
105474,1056C2,1056AC
EDAEB,EDA28,EDA82
105418,1056BB,1055CC
EDAE7,EDBC8,EDB35
1057B2,1058F0,105749
EDC4B,EDCB2,EDB02
1058F3,1057FC,1057D9
EDCF8,EDAC0,EDBF6
105611,10552F,1056FF
EDC0C,EDCF9,EDB21
1056B4,1056AF,1055EF
EDE32,EDDB6,EDC16
105878,10580D,1055EC
EDC7C,EDCB3,EDD3A
1057B2,105570,1058E8
EDD0F,EDCDE,EDBDC
1056CD,1055F2,1058A0
EDB67,EDA2A,EDB2A
105703,1056D6,10576E
EDB69,EDCFE,EDC58
10587B,105935,1059E8
EDCA4,EDD3C,EDCBE
10584C,105704,105768
EDCF1,EDD5D,EDBA3
105794,105811,105689
EDD03,EDB7D,EDCC1
10567F,105712,10559D
EDBC5,EDC97,EDD0F
105679,1056E2,1058BB
EDD09,EDDBE,EDE3D
10576E,10586F,10575C
EDE1F,EDCEA,EDD5A
105611,10559A,1057D3
EDE27,EDE36,EDBD2
1048E6,10488C,10478F
EDE0E,EDC69,EDD2E
1057B2,10583B,105706
EDC18,EDC65,EDEA9
105687,105870,1057C4
EDC61,EDD28,EDC96
1057F7,10583C,10589D
EDCC2,EDBC2,EDE55
1059A0,10582B,105878
EDFF5,EDD3B,EDCBC
10571B,10566B,10586B
EDEBE,EDF1B,EDC73
1058AD,105AF9,105752
EDF0A,EE078,EDF8B
10574D,105973,1058C7
EDFE0,EDE6F,EDACC
105A27,1059CC,1059FF
EDD0B,EDE70,EDCBC
1058C6,1058F5,1059BE
EDE70,EDF83,EDB06
105996,105930,105A87
EDE1A,EDF5C,EDE7F
1057EC,105911,1058CD
EDF2C,EDDA3,EDEFB
105779,1057F5,105862
EDF8B,EDFBC,EDF0F
105754,1059A4,105832
EE010,EDE2C,EDDD9
105990,105859,1059EE
EDFB1,EDF27,EDEF0
1059A8,10594E,105ADD
EDDBE,EDFBB,EDF87
105945,10579A,105A26
EDF64,EDEEC,EE05D
1056FA,1059A2,105A4B
EDEB1,EE15F,EE17C
105AFC,1059A0,1058DB
EE08E,EE023,EE01D
105956,105A9F,105B44
EE189,EDFFC,EDF55
105959,105B6D,105B7F
EDFFC,EDF15,EDF7E
105B03,105B67,105A38
EE0E2,EE39F,EE1EF
105AFA,105A62,105CDB
EE1E7,EE06C,EE00A
105A0A,105C10,1058FC
EE013,EDF65,EE181
105C40,105A69,105AE9
EDF73,EE0DA,EDECB
105C05,10590A,105963
EE0A6,EDFAF,EDE92
105B7E,105AEA,105A61
EE244,EE1C9,EDFDE
105CE9,105CBB,105CCB
EE206,EE199,EE120
105E67,105BD3,105DC3
EE1C8,EE29A,EE0DB
105B00,105C85,105B7F
EE0CC,EE148,EE312
105BBB,105D60,105C45
EE2E5,EE215,EE1CA
105E39,105CB4,105C49
EE161,EE3C3,EE2F6
105CC0,105CE3,105D4B
EE03F,EDFAC,EE082
10592D,105B15,1059FD
EE1FE,EE077,EE085
105AE7,105B25,105BC2
EE019,EE01F,EE17A
105C22,105BD8,105B6B
EE118,EDCB5,EDDEA
105A35,105AF4,105A6C
EE095,EE047,EE093
105B8C,105A78,105C35
EDFD8,EE05F,EE093
105B34,105CA9,105AB9
EDF4C,EE11A,EDFE2
10588C,105C46,105B81
