{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-510BD,-5112E,-51006
-68C6D,-68B20,-68C46
-51117,-510A9,-50E51
-68A49,-68B83,-68A80
-50FD7,-50FC5,-50E49
-68914,-68AF9,-68AB7
-51041,-50DDA,-50EA8
-68908,-68871,-68B62
-51221,-50F9F,-51052
-68940,-68A32,-686C7
-50EF6,-50D7D,-50F00
-68957,-68990,-689C4
-50F0B,-50FC2,-50F7A
-68A6A,-686FA,-68979
-51054,-51013,-51111
-68A02,-68A77,-689CF
-510AB,-5103A,-51252
-68C3A,-68B15,-68C4D
-510F2,-510E9,-5108C
-68A7A,-68B05,-68C5C
-51170,-511EF,-51106
-68AD3,-68A63,-68A38
-50FFC,-50FA5,-5104A
-689EB,-689DA,-689E4
-51187,-50FE1,-50D5D
-68A8B,-68B45,-68BC9
-50FC6,-51016,-510A8
-68A99,-68933,-688A7
-50EA9,-5108E,-510A7
-68A78,-68933,-68AC6
-50E57,-50E1E,-50E24
-68C54,-68A19,-68B36
-51121,-50ED0,-50DA3
-6893B,-68973,-68AC6
-5110F,-50F6C,-50F70
-68A4C,-689A4,-68881
-50F97,-50F57,-50EB6
-68A50,-68B4E,-68A5E
-50F73,-50EB5,-50DAE
-687BB,-687A8,-6897B
-50EEB,-50FFE,-50F80
-68907,-689D3,-689FF
-50F92,-50F4E,-50D06
-68983,-68964,-68AE5
-50ECE,-50D0A,-50F0E
-68946,-68965,-6888E
-5263D,-52264,-52411
-68AE8,-68B54,-68AC6
-51041,-51138,-51250
-68B12,-68CD0,-68C4B
-51196,-513AC,-510AD
-68CAF,-68C60,-68D9A
-51152,-5113D,-51128
-68B12,-68C4E,-68DDB
-51215,-51070,-511D1
-68B23,-68BC6,-688BE
-5107B,-51242,-5106F
-68B09,-68BE3,-68876
-50F2D,-5101B,-50ECA
-68986,-68B59,-68A03
-5120C,-50EEA,-51196
-689DC,-68A42,-689A5
-50EA0,-5101F,-50EE9
-68BD8,-68B5A,-68AC9
-50F98,-50DB7,-50F80
-68AB8,-68917,-6899A
-5102C,-50F63,-50DFE
-68980,-688C6,-688FB
-50DFB,-50D99,-50D25
-68819,-68937,-6891B
-50D95,-50E1B,-50E02
-68905,-686F7,-689E6
-51048,-50FD8,-50DF7
-68A0E,-6886D,-688BF
-50E47,-50F0E,-50F36
-688B6,-689AC,-68951
-50DCD,-50F70,-50E31
-689AB,-68718,-68990
-50EBE,-50FEE,-50FA0
-68A65,-68F0E,-68C53
-5117F,-51258,-51044
-68A56,-68B99,-68B4F
-510C9,-51065,-50F06
-68A49,-68A0F,-689DB
-50FF9,-50F53,-51092
-689AC,-68AE2,-68B4C
-51090,-51034,-50FB9
-68A3D,-68BBD,-688E3
-51195,-50F55,-50FD8
-68853,-68A98,-68AB5
-510B3,-50FFA,-51148
-68A72,-68B08,-68AAC
-50FD9,-5117E,-51029
-68A3A,-68BC7,-68BF4
-50E55,-50D78,-50F95
-68927,-68D35,-68B0C
-51201,-510AD,-50E69
-68A31,-689CE,-68A57
-5123A,-510B9,-510C9
-68A33,-68B69,-68B14
-51048,-50E51,-51071
-68998,-68931,-689FD
-50FF6,-50EF3,-50DF0
-689BC,-6899B,-68A02
-51068,-50F7C,-50F53
-68976,-68A8C,-689E4
-50E89,-50F46,-50C09
-68842,-68862,-687B1
-50CBB,-50C37,-50DF4
-68912,-686A2,-688EF
-50CB7,-50BD3,-50C87
-6875C,-6859E,-68447
-50C89,-50CCD,-50DFB
-687A5,-6872B,-6883D
-50C10,-50BB7,-50D9F
-68603,-68767,-6860B
-50BA4,-50BBD,-50B47
-68548,-68649,-68785
-50B23,-50B6B,-50D49
-686A0,-68723,-688EA
-50AA6,-50B75,-50B21
-68601,-686B1,-6873C
-50B29,-50ACD,-50B5C
-6862E,-6871E,-685DF
-50D4B,-50C65,-50CE0
-686FE,-685B0,-6869B
-50A26,-50AC2,-50B4A
-686FD,-685EC,-6860F
-50D38,-50C4C,-50C3A
-6867D,-68634,-68715
-50DC2,-50AC3,-50DB3
-6859C,-6882B,-686CC
-50C44,-50E49,-50BE4
-68758,-6861F,-68759
-50DAB,-50B19,-50C62
-68651,-68651,-6875F
-50C30,-50D80,-50F1D
-68755,-687A3,-6880C
-50BFC,-50C11,-509D6
-68535,-68702,-68770
-50B55,-50DBF,-50B7C
-685FC,-68866,-686E9
-50EF1,-50E98,-50D03
-6885E,-68776,-68804
-50E67,-50E73,-50F13
-68740,-68894,-687B6
-50CF5,-50BFE,-50D84
-6866E,-6889D,-689D7
-50D75,-50DB5,-50D3D
-68726,-6860B,-68781
-5098B,-50B9B,-50CB0
-686FE,-68534,-68639
-50CB7,-50B88,-50BE3
-68639,-68511,-687F2
-50D47,-50CC2,-50CDE
-68743,-68855,-686FA
-50C5C,-50B0B,-50C80
-68694,-6869E,-684A6
-50B73,-50BFB,-50AE7
-68794,-6863F,-68500
-50C38,-50E2B,-50BC2
-6872C,-6874B,-687AF
-50ABA,-50BF6,-50CCE
-6881B,-68691,-685E9
-50BC6,-50D1D,-50DAC
-686EA,-6859B,-685EB
-50A70,-50AE5,-50D3D
-6873B,-68682,-6846F
-50B92,-50C71,-509DE
-6876F,-68592,-68772
-50B4E,-50C95,-50CE2
-6861F,-685B7,-683B3
-50B07,-50DAD,-50C77
-68685,-68533,-68676
-5149D,-514A0,-51597
-682A8,-68454,-68370
-5093A,-508ED,-5083D
-6830C,-6836F,-6839F
-508AA,-50858,-507AA
-68320,-682C8,-68339
-505C3,-50658,-50780
-68245,-6818C,-681BE
-5081F,-5062E,-505FB
-6813F,-682C9,-68163
-50614,-508C2,-5062E
-68224,-68412,-67F57
-5076E,-50793,-505DB
-6811C,-68188,-681B2
-507E3,-507DA,-50725
-681B3,-67FD4,-680D2
-50609,-50484,-50835
-68350,-6823C,-68267
-5089B,-5071B,-50813
-681A2,-6817B,-6803A
-5073F,-50583,-5071D
-68211,-681B1,-6813E
-5073B,-508B0,-50770
-6820D,-67F45,-68267
-50812,-507C5,-50761
-680D7,-6821A,-67F9A
-50426,-50555,-507B1
-68226,-68156,-6809B
-505DC,-5065F,-50794
-68312,-6810B,-682B1
-506E1,-507C2,-5072D
-682C5,-68358,-6829C
-50A8A,-50928,-50980
-68209,-68479,-68329
-509D7,-50A0C,-508B6
-68393,-6835D,-683E1
-50712,-508C2,-50915
-681A1,-68122,-681AB
-50834,-5078B,-50753
-682AE,-68232,-68248
-506E9,-50642,-5074F
-6802E,-68237,-68252
-50692,-50748,-507FB
-6824D,-67F30,-6809E
-509FB,-5067C,-506F2
-6819E,-682B9,-68376
-50693,-50715,-5075D
-68104,-680E2,-6811C
-506BC,-506A0,-5066D
-6815E,-680D8,-68278
-506DE,-5068F,-5061F
-6826E,-682D6,-68109
-50728,-508BC,-50804
-6812F,-68102,-681AF
-50660,-50835,-507FC
-682D8,-681D0,-68305
-5075F,-50735,-50680
-681AB,-6828D,-681B8
-5082A,-50709,-5073E
-68096,-681BC,-68251
-50654,-50588,-5073D
-68011,-67FE4,-68013
-50497,-50671,-50736
-682CA,-68281,-6813C
-50340,-503D4,-50372
-67FBA,-67F50,-681D2
-50524,-504CB,-503D0
-67EAC,-67FC5,-68056
-5036B,-504D9,-505D3
-6805F,-67D5D,-67F79
-504EB,-503CA,-503A1
-67DAA,-67FCD,-67DDF
-502D2,-503F3,-50303
-67DC6,-67EBB,-67F3E
-504E6,-502DE,-50423
-67E65,-67E9B,-67EF2
-5046E,-502B6,-503C6
-67DEF,-67EAF,-67F57
-5037A,-50437,-5045C
-67D55,-67F8E,-67C4E
-5027A,-5033F,-50502
-67DED,-67E4D,-68053
-503A0,-50340,-503C9
-68097,-67E42,-67D87
-5042D,-501AA,-50447
-68064,-67D9C,-67DC1
-5048A,-50408,-50542
-681D2,-67EAF,-67F21
-50391,-50456,-50504
-67F4B,-67F14,-67DE7
-50488,-504BB,-50235
-67E04,-67E60,-67E53
-50286,-50368,-50183
-67FC2,-67E49,-67F4A
-5055F,-5048E,-5053D
-67E2E,-67E39,-67EBE
-50663,-50636,-50540
-68014,-68162,-68152
-506BD,-504F3,-505E5
-67F8A,-67DA3,-67E37
-50571,-50321,-503E0
-67E79,-67EB9,-67DB6
-50490,-502D0,-503E4
-67E2E,-67E00,-67F58
-504CC,-5046C,-5042B
-68156,-67E8A,-680AC
-504B3,-505FF,-50521
-67F8A,-6812E,-67F15
-505C6,-50528,-50445
-67EFA,-67FB9,-67FE7
-5045E,-5038E,-50527
-67EE2,-67F7D,-6813D
-5039C,-50332,-505C1
-68085,-681BA,-67EFD
-505FE,-504E3,-50498
-67F5C,-68080,-67F26
-50233,-5044F,-5052C
-67FBF,-67E49,-67EF7
-505F9,-505CA,-504F0
-68146,-67E5B,-67ED9
-505B9,-50346,-504AB
-67C9C,-67F5C,-67D16
-50463,-50489,-50258
-67E50,-67C41,-67E74
-505AB,-502CA,-50303
-67E21,-67E2C,-67EC5
-5012C,-50282,-502A5
-67C80,-67DC4,-67CA5
-5060E,-505F7,-506A6
-67B56,-67A90,-67A09
-50082,-50211,-50242
-67A56,-67D71,-67B8C
-500DF,-4FF3C,-4FF1E
-67ADC,-67A59,-679EC
-500F9,-4FFD6,-4FF94
-67B0D,-67A12,-67CEA
-5012B,-4FEF1,-4FF75
-6798F,-67AD1,-67B0B
-5005E,-4FFA3,-4FF9E
-679DB,-67A08,-6799B
-4FD8C,-4FDB1,-4FE43
-67796,-678D0,-67A0C
-4FE58,-4FF12,-4FE2B
-67954,-6789A,-67ABF
-4FCD1,-4FDBF,-4FD9F
-67909,-67893,-67925
-4FDCB,-4FE1C,-4FFDE
-67A21,-67AEB,-67954
-500B4,-500BE,-4FF3B
-67983,-67AB4,-6790F
-4FFFD,-4FF2F,-4FF43
-67A2A,-67B0B,-67A5E
-50034,-4FCAE,-4FD60
-677DB,-67989,-679C7
-50042,-4FF26,-4FF06
-67A7F,-67A77,-67B46
-50093,-4FF3E,-4FF0A
-679D4,-678E6,-67ABB
-4FF82,-500C3,-50041
-67983,-67A9D,-679C1
-5021C,-4FFCD,-50152
-67C08,-67B03,-6792D
-5024D,-5033D,-4FFBB
-67BD7,-679DB,-679CB
-5021D,-50104,-5019A
-67B7A,-67BFE,-67B4D
-5012E,-4FF36,-50106
-67A2E,-67B52,-67B73
-500A6,-4FFAD,-4FFC1
-67885,-679BA,-67B06
-4FF2F,-5002E,-500C0
-67ADE,-67C0F,-67929
-5009F,-50143,-4FFF0
-67A32,-67D06,-67AFD
-502E7,-5019E,-5004D
-67A78,-67A80,-67BB0
-4FF02,-4FEBD,-4FEFD
-67AB1,-6797E,-67B75
-5002F,-50001,-501E7
-67A72,-679BF,-67971
-50125,-4FFEE,-500D0
-67B1F,-67AA7,-67C24
-4FFAF,-4FEB2,-4FE54
-67906,-67A8E,-67994
-4FECE,-4FEBE,-50039
-67834,-6782E,-67A3D
-4FE7A,-4FE53,-4FE5A
-679F8,-676FF,-678EA
-4FEC7,-4FEAC,-4FF6A
-67911,-67B3C,-6791C
-4FE6A,-4FC53,-4FE03
-6789A,-67A33,-67A37
-4FED5,-4FE5A,-4FE13
-6758B,-67867,-676B1
-4FEB4,-4FEA2,-4FE32
-676D7,-67804,-6788E
-4FD8E,-4FD0A,-4FD0A
-6777B,-6782E,-67601
-4FD88,-4FE2E,-4FD2F
-67720,-67757,-67730
-4FB03,-4FCC4,-4FBAD
-67736,-678DC,-67640
-4FD92,-4FC22,-4FCEA
-6765D,-677DE,-676EF
-4FC37,-4FADD,-4FB9F
-6743F,-6745B,-67554
-4FAB0,-4FAA0,-4FAE7
-674EF,-67696,-67607
-4F8E3,-4FA2B,-4FAD7
-67599,-676B7,-676B3
-4FC93,-4FC7D,-4FC4E
-677F1,-6779A,-677C2
-4FB72,-4FC93,-4FCA7
-6752E,-675B5,-675D0
-4FC59,-4FCA6,-4FCB9
-676E2,-675FF,-6785E
-4FC05,-4FB7A,-4FBD7
-67602,-6783A,-67601
-4FBDF,-4FBA0,-4FD7A
-6755F,-6747D,-67563
-4FB86,-4FBBF,-4FB12
-67570,-674ED,-67439
-4FA38,-4FB14,-4FB2F
-675DE,-673C9,-6767C
-4FD91,-4FEFC,-4FCD3
-67793,-6767F,-6776E
-4FCC1,-4FBBE,-4FE16
-67894,-6773B,-6758B
-4FBFE,-4FC15,-4FBDA
-675E3,-6775A,-67803
-4FD56,-4FB72,-4FC04
-675CB,-67683,-67762
-4FB92,-4FC7F,-4FC6E
-674E3,-6782B,-677C7
-4FBA8,-4FCA6,-4FCEE
-67805,-6786E,-67816
-4FD39,-4FCEE,-4FCF1
-6764D,-676DB,-6786E
-4FB52,-4FDC1,-4FA82
-6746E,-67758,-6754D
-4FA6F,-4FB80,-4FADA
-676E2,-6761F,-678E9
-4FBA9,-4FBEC,-4FC1B
-6749B,-67719,-677C7
-4FC8D,-4FC60,-4FE3B
-6772F,-675E0,-676B5
-4FB18,-4FC22,-4FCED
-6774D,-676C9,-674D5
-4FB98,-4FB7B,-4F9FE
-67590,-674D3,-673EC
-4FD6D,-4FB6C,-4FD73
-675A0,-67717,-675BC
-4FB2F,-4FB99,-4FBF6
-67396,-677DA,-677AA
-4FB72,-4FB41,-4F9FB
-67555,-67686,-6751B
-5052B,-5066A,-5058A
-6724A,-673A1,-67288
-4F875,-4F6EE,-4F8DE
-6717D,-673F3,-67394
-4F7C4,-4F86A,-4F7F2
-67254,-672FA,-671B1
-4F71D,-4F7BD,-4F6B1
-67124,-67294,-671C1
-4F894,-4F8A4,-4F81F
-6724B,-6729F,-67181
-4F5CD,-4F801,-4F897
-672A0,-671D9,-671AA
-4F889,-4F664,-4F7B1
-67239,-671E3,-670FE
-4F72D,-4F864,-4F8A4
-6718C,-670B9,-6718A
-4F57A,-4F77F,-4F6CA
-671B2,-67204,-671F4
-4F899,-4F7E5,-4F820
-67265,-671FD,-67430
-4F764,-4F78E,-4F84F
