{'CALIB_RAW_DAC_START_I': 819200, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-41339,-413B1,-413C7
-58BDF,-58E29,-58F7E
-41164,-41371,-41238
-58C2A,-58CCC,-58DE8
-413DD,-41332,-412A5
-58BF4,-58D7B,-58DED
-413DE,-41480,-41494
-58E9F,-59045,-58F86
-41355,-41187,-41179
-59129,-58FB6,-58EAE
-41507,-41520,-41400
-58D26,-58E70,-58DDC
-4153E,-412E9,-4142F
-58E09,-58E93,-58F0F
-4146A,-41503,-4137D
-58D75,-58DEA,-58ECD
-41491,-4139D,-41282
-58DAE,-58E9C,-58CF1
-41461,-4143A,-413E7
-58DC7,-58D42,-58B60
-4142C,-411C1,-413FD
-58D29,-58CE6,-58CE7
-4128D,-410D6,-4141C
-58C49,-58F6D,-58D7B
-41162,-412F0,-413BA
-58CAD,-58EEA,-58C7E
-414A3,-413AE,-4124F
-58CEC,-58F9D,-58DB0
-4136A,-410E7,-41238
-58D3B,-58E1E,-58D66
-4128D,-41426,-411BC
-58CBC,-58D6C,-58D96
-4122C,-411F9,-41113
-58EB0,-58CFA,-58D1D
-41158,-41394,-41325
-58DB4,-58B81,-58E0D
-4111D,-41287,-4119B
-58B04,-58D7A,-58B1C
-41477,-41276,-411CF
-58CD5,-58C01,-58CEC
-41241,-41216,-412C3
-58E4E,-59052,-58D41
-4149E,-413ED,-41360
-58E0D,-58E8D,-58E4B
-41250,-4124F,-41393
-58C49,-58E26,-58D08
-41295,-41356,-4129C
-58E2F,-58C8B,-58D3F
-412C3,-41229,-41230
-58DC7,-58C1A,-58AB5
-4118D,-41268,-4135B
-58BA6,-58C2E,-58D76
-41369,-41398,-41338
-58D61,-58E60,-58A43
-4133B,-412A5,-4128B
-58BB0,-58CA9,-58C5A
-4274C,-4279B,-4270B
-58E45,-58EE0,-58DFF
-41486,-41441,-41490
-58D96,-58ED1,-58F5D
-414D9,-4137C,-41403
-58E8F,-58D7F,-58FDD
-41593,-415D0,-41625
-5900C,-58F61,-58E84
-41530,-412BA,-412A5
-58EC9,-58F81,-58EE5
-413FE,-41477,-41442
-58DB5,-58F61,-58E97
-41572,-414A8,-413A3
-58FD6,-58E9C,-58E5D
-4143E,-4136A,-41377
-58F19,-58DF6,-58DCC
-41446,-41308,-414CC
-58E40,-58DF6,-58E6B
-4147D,-4160C,-413F7
-58EAE,-58FD1,-58F80
-4141E,-4158C,-415DD
-58F00,-58CDE,-58F50
-4149D,-4159F,-41514
-58FA6,-58E08,-58DCC
-4143B,-41425,-413F9
-58CE6,-58D63,-58C5F
-412E5,-4121B,-41346
-58C33,-58EF2,-58C9C
-41383,-4119E,-413B1
-58BA4,-58DFC,-58C8E
-410F4,-410F8,-413C5
-58D42,-58D62,-58CAB
-413B9,-413BE,-412D6
-58BF0,-58BD7,-58B4E
-412CC,-412ED,-4125A
