{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-697E8,-696EA,-696C1
-51DEE,-51E21,-51EB8
-6985B,-69996,-69991
-5202A,-51F17,-51DF8
-69964,-6985F,-699F0
-51D84,-51ED6,-51E0F
-697E1,-6985A,-69898
-51E44,-51C85,-51B9B
-696C7,-69768,-69794
-51DA6,-51D16,-51E43
-6983A,-69618,-697B6
-51CF7,-51C13,-51D57
-69685,-697C8,-697C6
-51E8D,-51DDE,-51E39
-69695,-697D6,-699EB
-51B59,-51BCE,-51C5D
-699D2,-6992F,-6971D
-51CD5,-51DD0,-51D7B
-6983D,-6986D,-69886
-51E86,-51D2F,-51FDC
-698E9,-69682,-6988C
-51D07,-51EAC,-51E4A
-696C0,-69851,-697D7
-51D3B,-51BB3,-51D79
-6949A,-697AB,-697DA
-51D08,-51C83,-51DA6
-6956B,-6972A,-69838
-51DC8,-51CF1,-51C26
-696FE,-69654,-6966D
-51D1D,-51C0C,-51DA6
-69704,-697D5,-695DB
-51D46,-51B95,-51B20
-69742,-69914,-6980C
-51CAF,-51C75,-51D51
-6978C,-697A7,-697A2
-51C3F,-51CE5,-51D3B
-6984A,-696F5,-69795
-51D2D,-51D30,-51CB5
-6971E,-697D3,-6976C
-51CB9,-51E3A,-51D60
-6975E,-69840,-6961A
-51C75,-51BF2,-51CB8
-696B9,-698D0,-697EF
-51C7D,-51CD0,-51C8B
-697BF,-69596,-6965F
-51DEE,-51B5C,-51D07
-69874,-694E6,-696B1
-51C68,-51B3C,-51A7B
-695B1,-6953E,-697EF
-51C74,-51C45,-51C42
-695D9,-695FA,-697A5
-51B02,-51BD7,-51D51
-69707,-695A6,-69627
-51AC6,-51B2A,-51BF0
-69658,-6970B,-697A2
-51B87,-51D45,-51D40
-696C5,-69629,-69544
-51D0F,-51C50,-51C8D
-69680,-69664,-6964F
-51AFB,-51B25,-51A69
-6955E,-6971C,-69820
-51CB7,-51BD4,-51BA3
-69634,-696AD,-697D8
-5324C,-532BA,-53210
-6979B,-6983F,-696CE
-51B62,-52038,-52016
-699C2,-69A34,-69816
-51D5C,-51FBB,-51D2D
-6977D,-6986B,-696F8
-51EFD,-51C22,-51E2F
-696FE,-6979E,-698DC
-51C0C,-51D25,-51E45
-697D8,-69737,-6974D
-51E18,-51D1F,-51FA2
-697EC,-69911,-69815
-51E30,-51C75,-51D25
-69769,-6960F,-69789
-51B5A,-51B44,-51BDA
-697DC,-69807,-69896
-51E33,-51DFD,-51D37
-69713,-6993A,-699C5
-51E81,-51E05,-51CF2
-697A3,-6989B,-698D8
-51D00,-51CA9,-51E53
-698B2,-69AE4,-69927
-51C4B,-51C61,-51E4B
-69758,-6990D,-6999A
-51E92,-51C92,-51C27
-6965F,-697D4,-697D1
-51ACD,-51D82,-51D38
-697C0,-695FD,-6958A
-51B4D,-51DD0,-51D24
-6967E,-69722,-696F1
-51BA2,-51CCE,-51D10
-69843,-69851,-69801
-51D34,-51C8E,-51CD0
-69693,-6970C,-694F5
-51DBE,-51BDF,-51C66
-6975E,-69705,-6974C
-51E53,-51C93,-51C85
-696F7,-696BF,-69921
-51D7C,-51C12,-51CAE
-694E6,-696B6,-6967C
-51BE7,-51C53,-51C05
-6954C,-69517,-69593
-51C41,-51BE6,-51D3F
-6968E,-6977E,-695C8
-51C52,-51C71,-51CC0
-6967D,-69517,-694CB
-51C31,-51B95,-51CBC
-695A4,-696EF,-69553
-51B75,-51B82,-51C94
-69734,-696C5,-6959E
-51ACB,-51BD3,-51C23
-696CB,-697A2,-697BC
-51CFC,-51C08,-51C4E
-697E1,-6984C,-698D4
-51D02,-51DCF,-51C33
-696B2,-697D7,-695C8
-51B02,-51C10,-51CD7
-6973F,-696C7,-697A9
-51E06,-51C4C,-51C89
-69543,-6966A,-696A7
-51DD7,-51CFE,-51B91
-6956D,-6967B,-69550
-51B3E,-51B26,-51CEE
-694D1,-694BC,-6963F
-5198E,-51C08,-519F9
-69667,-694CF,-694FA
-51C92,-51C76,-51CC9
-69526,-6959B,-6952A
-51AD1,-51B3E,-519D9
-69612,-696D2,-6962C
-51C88,-51C02,-51B2E
-6954E,-69751,-692FB
