{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1F3CB9,-1F3BB2,-1F3D17
-20B6E5,-20B8A5,-20B61A
-1F3C3F,-1F3D0A,-1F3BD0
-20B54A,-20B65D,-20B6D8
-1F3B6F,-1F3CCF,-1F3CBD
-20B664,-20B688,-20B865
-1F3BBE,-1F3ADC,-1F3AA2
-20B319,-20B317,-20B415
-1F38E3,-1F396D,-1F39DF
-20B2DB,-20B411,-20B43E
-1F3ACC,-1F3AAC,-1F3950
-20B52D,-20B496,-20B627
-1F3B86,-1F3B22,-1F3A54
-20B32B,-20B48B,-20B600
-1F39AD,-1F38D8,-1F3A39
-20B461,-20B4C4,-20B607
-1F3A4F,-1F391C,-1F3A5D
-20B370,-20B669,-20B5B9
-1F3A6C,-1F3B7A,-1F3A68
-20B578,-20B53B,-20B484
-1F3C53,-1F3BA0,-1F3C0A
-20B5D0,-20B675,-20B5B0
-1F3B0C,-1F3BFF,-1F3AA7
-20B466,-20B4E2,-20B481
-1F3CBD,-1F3BEA,-1F3BD7
-20B6BC,-20B577,-20B578
-1F3D5D,-1F3C45,-1F3B3E
-20B522,-20B6F4,-20B7CB
-1F3CEE,-1F3BCD,-1F3CC9
-20B6E8,-20B7CF,-20B7E6
-1F3BC3,-1F3B5D,-1F3AF2
-20B4D7,-20B6BF,-20B5F1
-1F3EBE,-1F3B39,-1F3C6A
-20B4E7,-20B7AA,-20B7D3
-1F3DF7,-1F3C52,-1F3D8B
-20B6C0,-20B7B2,-20B918
-1F3DD7,-1F3CD9,-1F3CA1
-20B658,-20B733,-20B683
-1F3BBD,-1F3BE2,-1F3CE2
-20B8A4,-20B9C4,-20B9BE
-1F402C,-1F40F8,-1F4035
-20B8EA,-20BA85,-20BA43
-1F3F65,-1F3CFA,-1F3FFA
-20B92E,-20B905,-20B99E
-1F4075,-1F416C,-1F3FDA
-20B9D3,-20BA3B,-20BB62
-1F3F28,-1F3FDB,-1F3FB3
-20B9E0,-20B990,-20BB79
-1F4296,-1F407A,-1F415F
-20BB7F,-20BBFD,-20BAAC
-1F40C1,-1F421D,-1F3EE9
-20BB21,-20BC24,-20BAC9
-1F4062,-1F4008,-1F40A6
-20B9E5,-20B9BC,-20BB04
-1F401C,-1F412E,-1F4114
-20B8CC,-20BAAB,-20BB99
-1F4083,-1F401D,-1F4165
-20BBDD,-20BC0F,-20BD09
-1F42A5,-1F41BC,-1F4056
-20BAB9,-20BCF2,-20BBF2
-1F40D2,-1F4079,-1F423C
-20BA50,-20BB76,-20BB8B
-1F3FC2,-1F406C,-1F415D
-20BAD2,-20BB97,-20BBCC
-1F4285,-1F4065,-1F40D4
-20BBFF,-20B9E2,-20BCD0
-1F420E,-1F3FB1,-1F40F4
-20BBB5,-20BBE6,-20BD28
-1F41C5,-1F42FA,-1F409D
-20BADD,-20BC9D,-20BA55
-1F4108,-1F4124,-1F426B
-20B7FA,-20B847,-20BABE
-1F3EC3,-1F40C1,-1F3EF2
-20B851,-20B98E,-20BB9A
-1F401D,-1F3F24,-1F3ED8
-20BC6F,-20B9A7,-20B9F0
-1F40FA,-1F3FD4,-1F40C7
-20BACB,-20B9A9,-20B9E4
-1F3F69,-1F3EB4,-1F3F28
-20BACB,-20BB7C,-20BAFB
-1F413E,-1F4060,-1F3EB7
-20BB50,-20BAEE,-20BAFB
-1F41A7,-1F40DD,-1F3FC4
-20BA37,-20BB2F,-20BB0C
-1F3FEB,-1F3F31,-1F3FD5
-20BAC5,-20BBDA,-20BB8C
-1F40BA,-1F4084,-1F3FDB
-20BB6A,-20BB89,-20BC06
-1F3FCF,-1F410A,-1F417A
-20BAC5,-20BAAE,-20BA66
-1F40E8,-1F417B,-1F3FC4
-20BA9F,-20BA03,-20BC06
-1F4147,-1F40B1,-1F4195
-20BB08,-20BCFE,-20BCB6
-1F41F5,-1F4268,-1F4229
-20BC4F,-20BB8C,-20BC7B
-1F4259,-1F41E7,-1F41BA
-20BAED,-20BBE7,-20BC65
-1F4185,-1F4147,-1F4010
-20BAF2,-20BA91,-20BAED
-1F413F,-1F3FB1,-1F3FDB
-20BC3C,-20BB22,-20BB66
-1F4F2F,-1F5001,-1F50CD
-20B814,-20B7A5,-20B7C7
-1F3E15,-1F3E6E,-1F3D93
-20B6E4,-20B6D8,-20B8F7
-1F3CAD,-1F3E9D,-1F3CF3
-20B82A,-20B983,-20B774
-1F3F92,-1F3DDB,-1F3EAC
-20B852,-20B818,-20B7D9
-1F3BEC,-1F3E40,-1F3DB2
-20B94C,-20B798,-20B955
-1F40BB,-1F3E35,-1F3DF4
-20BA8A,-20B8B2,-20B996
-1F3E01,-1F3E06,-1F3F3B
-20B967,-20BA37,-20B939
-1F3FE0,-1F40D6,-1F3CCF
-20BA10,-20BAD0,-20BB70
-1F3DB8,-1F3F87,-1F402C
-20B936,-20B7D6,-20B8A3
-1F40ED,-1F3E21,-1F3DB2
-20B895,-20B9A7,-20B892
-1F4027,-1F3F1A,-1F3E2E
-20BA83,-20B923,-20B993
-1F412C,-1F3E7E,-1F3FD0
-20B934,-20BB37,-20BB41
-1F3FEB,-1F40AD,-1F3FCC
-20BA71,-20B9ED,-20BB66
-1F3FAE,-1F3EC9,-1F403B
-20B881,-20B973,-20BA36
-1F3F9A,-1F3E90,-1F4002
-20B8E3,-20B9F9,-20B8F9
-1F40BA,-1F3FBE,-1F3FB6
