{'CALIB_RAW_DAC_START_I': 491520, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
D4FF,D510,D437
-A640,-A54C,-A664
D5BC,D699,D56B
-A560,-A3BC,-A47A
D5CA,D63B,D5B1
-A4C3,-A3FF,-A562
D588,D69B,D548
-A547,-A57B,-A693
D647,D4B2,D702
-A52D,-A623,-A382
D644,D4E9,D51D
-A45F,-A36A,-A34B
D682,D7D5,D719
-A3F5,-A2E2,-A1BC
D6F7,D712,D613
-A410,-A3AC,-A269
D3F7,D742,D64E
-A2D7,-A349,-A41F
D7E4,D650,D8CC
-A375,-A1FE,-A489
D811,D6B0,D816
-A4A6,-A3C2,-A4AA
D60B,D6CC,D5A8
-A4E4,-A496,-A47F
D6CF,D64F,D5FE
-A375,-A3B9,-A529
D7F3,D833,D799
-A462,-A368,-A364
D724,D607,D5D2
-A5FE,-A3C8,-A35E
D3DD,D4F0,D641
-A603,-A3E5,-A3A0
D64A,D65A,D50C
-A53A,-A59C,-A4D3
D5F6,D652,D707
-A45B,-A5DB,-A553
D527,D3EB,D693
-A667,-A5C8,-A3A8
D4E8,D341,D688
-A365,-A3F6,-A2EF
D64C,D5CD,D67B
-A4AF,-A498,-A568
C820,C6E2,C6B7
-A19D,-A0D0,-9F98
D9AC,D9AE,D8DB
-A02C,-A068,-9FFB
D6F2,D949,D952
-A185,-A262,-A376
D8B4,D728,D7ED
-A240,-A26B,-A1F2
D846,D7F3,D65B
-A09C,-A2B5,-A0EA
D855,D5DF,D4E0
-A456,-A0DD,-A373
D63E,D566,D6A5
-A20E,-A373,-A2CA
D6A4,D78B,D916
-A2B8,-A229,-A236
D74D,D7F1,D657
-A4EF,-A27D,-A28A
D545,D82B,D872
-A2A6,-A47A,-A3C6
D40D,D6AE,D50D
-A357,-A33A,-A537
D5B5,D4A3,D595
-A42C,-A4F9,-A2BF
D677,D579,D585
-A470,-A37A,-A66F
D43B,D3E6,D4BB
-A4DF,-A32F,-A646
D64D,D6A0,D560
-A532,-A564,-A50C
D5B4,D5FE,D6BE
-A561,-A5B0,-A45D
D539,D5DD,D6EA
-A0BB,-A052,-A027
DB69,D971,D9EA
-A118,-A180,-A1E6
D9E0,D8A3,D819
-A33D,-A34E,-A1A1
D786,D899,D61E
-A32A,-A406,-A3E0
D769,D706,D55F
-A348,-A432,-A1EB
D6D3,D8C6,D844
-A0E9,-A31C,-A0F2
D48F,D6DF,D70A
-A463,-A625,-A4C1
D61C,D716,D684
-A200,-A24B,-A252
D861,D6EF,D898
-A1EE,-A3F5,-A214
D5C4,D54E,D6F3
-A2B8,-A63C,-A4EF
D607,D6CD,D510
-A3F6,-A3C9,-A390
D3F8,D616,D65B
-A41D,-A527,-A455
D68A,D6E9,D4A2
-A463,-A31E,-A1F2
D42B,D5BB,D67E
-A1E8,-A319,-A5AC
D64C,D547,D5C9
-A53A,-A466,-A5C1
D583,D67F,D406
-A5BD,-A40B,-A4EC
D3FF,D1F7,D4A6
-A706,-A735,-A712
D21C,D21D,D165
-A905,-A8BE,-A990
D33F,D2DD,D00C
-A7A6,-A802,-A76E
D134,D341,D209
-A894,-A789,-A79E
D206,D2CC,D264
-A89C,-A53B,-A6BC
D38B,D2D1,D1BF
-A733,-A6E8,-A645
D1A0,D225,D2B9
-A7BB,-A661,-A885
D209,D497,D41B
-A4FF,-A513,-A6A2
D65B,D4FC,D2FD
-A378,-A58C,-A826
D37C,D3BC,D1AB
-A67C,-A619,-A523
D1D2,D2CE,D013
-A8C3,-A694,-A604
D3EA,D365,D3F0
-A7B1,-A7C2,-A83F
D12E,D36F,D2D7
-A84E,-A709,-A564
D38F,D393,D2CA
-A929,-A732,-A833
D1CD,D135,D16B
-A887,-A84A,-A9F9
D1CA,D11F,D156
-A8D2,-A862,-A894
D2D2,D295,D0EF
-A574,-A62D,-A623
D2EB,D52B,D43B
-A682,-A665,-A60F
D223,D2DC,D286
-A864,-A6F8,-A805
D1D9,D427,D27D
-A61C,-A6A8,-A798
D242,D29C,D2D7
-A866,-A8C8,-A523
D43C,D391,D3BE
-A753,-A6F1,-A7C9
D3BC,D458,D361
-A5E5,-A7E2,-A75E
D2FF,D3CA,D21A
-A85D,-A88E,-A90D
D08E,D3B2,D2E8
-A746,-A6E5,-A87E
D128,D35E,D2AA
-A90D,-A81B,-A75C
D327,D194,D266
-A785,-A6DD,-A706
D00E,D115,D1EA
-A695,-A846,-A870
D194,D216,D3F2
-A843,-A989,-A7DC
D296,CFF1,D1F6
-A897,-A919,-A9E6
CFD5,D000,D239
-A98A,-A91B,-A822
D126,D076,D00B
-AABD,-A6BF,-A897
CE65,CF0D,CD47
-A44F,-A360,-A362
D5D1,D68E,D6BA
-A143,-A286,-A2B7
D6B9,D67F,D83A
-A1E0,-A158,-A183
D595,D81B,D65A
-A1A7,-A3ED,-A1B5
D6D5,D676,D753
-A3E7,-A410,-A2D5
D653,D6BC,D762
-A474,-A3F3,-A557
D592,D5CD,D5BF
-A503,-A47A,-A529
D671,D664,D5D7
-A44B,-A50C,-A4ED
D583,D555,D551
-A3C4,-A4B9,-A4DC
D3DD,D813,D449
-A590,-A3C2,-A54C
D5D4,D623,D512
-A5ED,-A3A3,-A633
D48B,D49E,D434
-A5DE,-A644,-A62A
D5D2,D3E8,D564
-A3F0,-A5FF,-A482
D2BC,D363,D66F
-A3F3,-A365,-A5CF
D5DE,D3F8,D4AD
-A551,-A6E1,-A47F
D5C6,D34F,D32C
-A64E,-A6F2,-A7A0
D526,D4FB,D502
-A460,-A3AE,-A490
D5AD,D4B2,D672
-A4ED,-A590,-A5BD
D70E,D596,D41A
-A311,-A517,-A307
D6A6,D6F8,D5E9
-A4A6,-A3EE,-A342
D681,D516,D5E4
-A2AE,-A539,-A365
D751,D65C,D5F7
-A47D,-A2D7,-A591
D5A9,D5BE,D5F5
-A3B1,-A519,-A353
D53D,D388,D4D6
-A5A0,-A55B,-A621
D688,D4D1,D5B0
-A653,-A5F3,-A4F6
D5B5,D620,D775
-A1D6,-A471,-A4A5
D71B,D6FE,D7C0
-A2B4,-A4DA,-A728
D574,D61A,D5B5
-A52F,-A52D,-A576
D53E,D5BA,D55D
-A577,-A666,-A5A6
D3B6,D4BE,D504
-A507,-A61C,-A5D7
D625,D558,D3DD
-A4A3,-A5F4,-A541
D484,D496,D46A
-A73A,-A5CB,-A7BE
D3FF,D50F,D5CF
-A706,-A755,-A942
