{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
F32BD,F3225,F31FA
DB843,DB82C,DB884
F2F85,F30ED,F30D6
DB5F3,DB839,DB60C
F3289,F3474,F30C7
DB674,DB66A,DB6A0
F30B3,F333C,F3501
DB8A1,DB6AB,DB6A4
F3107,F3144,F3219
DB649,DB5CA,DB83C
F312D,F3187,F309E
DB7E7,DB687,DB714
F322F,F3107,F30F2
DB7AA,DB4C7,DB762
F3167,F3088,F3053
DB6E5,DB753,DB686
F2FA9,F305E,F3079
DB7F5,DB713,DB5DB
F2FF0,F2EB8,F31BC
DB5D6,DB6B5,DB6F1
F314E,F2FB6,F3014
DB751,DB4BE,DB648
F3043,F31D2,F3013
DB7F8,DB65B,DB6DD
F3048,F307C,F2F26
DB5A2,DB737,DB4E4
F321B,F3126,F3286
DB686,DB555,DB58E
F3101,F30D7,F3023
DB5E7,DB529,DB5D8
F304F,F30EC,F3059
DB807,DB7B9,DB6E8
F304C,F326E,F3121
DB732,DB646,DB6C3
F317E,F2FE5,F2F4A
DB7E8,DB687,DB620
F333B,F3114,F31F3
DB632,DB55A,DB882
F31A6,F3033,F31B3
DB7A7,DB773,DB796
F3121,F3248,F3034
DB64D,DB5EC,DB768
F1EE8,F1FBD,F2001
DC0B8,DC1AE,DC0FD
F38A6,F38F7,F3ACE
DBFA5,DBEDE,DBE39
F39A9,F3851,F3918
DBDE5,DBD40,DBF9A
F3A8A,F3B5F,F3B85
DBECE,DC008,DC0E1
F3A92,F3A26,F3AB4
DC16E,DBF49,DBFA5
F39BE,F3AA9,F3911
DC278,DC0C0,DC082
F3A20,F3AAF,F3B36
DBFBE,DBE7A,DBEEC
F3AC1,F37ED,F39BB
DBF01,DC0EA,DBFE2
F3A8F,F390B,F3A2B
DBFED,DBDCC,DBE86
F39AC,F3B06,F399C
DBDC3,DBF87,DBEAA
F3960,F38CD,F3A88
DC08A,DBDB9,DBE26
F3881,F39DA,F3957
DBF0F,DBD94,DBFA1
F3AB2,F3979,F38E7
DBFC4,DBFAF,DC006
F39A9,F38F9,F385A
DBFB2,DBFFE,DC076
F38FC,F3B86,F3A11
DBDA9,DBF91,DBF42
F38F1,F38E6,F3837
DBEF7,DBCCC,DBCF5
F37B4,F391F,F3730
DBCEC,DBDBE,DBE44
F371C,F3826,F36EB
DBDA3,DBE36,DBD36
F376D,F3767,F3851
DBDDB,DBDC1,DBD5B
F37AD,F3958,F37F4
DBDE2,DBE0B,DBD29
F38C1,F394A,F3890
DBE31,DBD9A,DBD18
F385E,F3A1E,F39B6
DBF8F,DBF1E,DBF1B
F396D,F3994,F39A9
DBE02,DBFCA,DBE57
F3B40,F3A33,F37E8
DC0AD,DBF2E,DBEAA
F39A8,F3C09,F3B0B
DBD84,DBE32,DBBD1
F37BE,F3814,F38D9
DBE6A,DBD33,DBBD1
F392F,F37F0,F38E5
DBD81,DBE95,DBE5D
F388B,F37FD,F382D
DBE04,DBC21,DBD52
F385A,F36D2,F3872
DBE17,DBF6D,DBBAE
F36F3,F3863,F37F1
DBF08,DBDFE,DBC3F
F3935,F3A59,F3A51
DBE04,DBEF1,DBECA
F37D8,F39F6,F3870
DBDD5,DBEA2,DBD92
F38DD,F3815,F385D
DBD34,DBBDE,DBD7A
F3675,F373F,F37AD
DBC0E,DBC2A,DBD4A
F3818,F37B9,F3715
DBCFC,DBC44,DBF13
F3853,F37CD,F3919
DBDB7,DBD19,DBEC9
F36EC,F381E,F37CC
DBBE0,DBC18,DBE0A
F397B,F38DD,F397D
DBF0A,DBF8C,DBC28
F3918,F38E2,F38CB
DBE47,DBDF4,DBDFB
F3835,F37EC,F38EE
DBDB9,DBE1D,DBDF3
F3824,F3977,F386B
DBC50,DBD73,DBD56
F3737,F388D,F3810
DBE59,DBED1,DBD96
F3899,F37AB,F391B
DBE1A,DBE23,DBCB0
F39E3,F38AA,F374D
DBD17,DBC3E,DBDA1
F3865,F3817,F3983
DBD85,DC026,DBD96
F36D5,F36E0,F36DD
DBDE4,DBDDE,DBD46
F3955,F37A6,F37D9
DBC10,DBD99,DBDF4
F3883,F39D0,F3971
DBCA2,DBD31,DBD2C
F395B,F383F,F353C
DBF00,DBDC2,DBC03
F3618,F3584,F36F5
DBC27,DBC90,DBBD6
F3777,F374C,F3764
DBC03,DBC6B,DBB61
F3665,F3593,F36CA
DBB18,DBCAC,DBCA7
F3559,F3777,F35D4
DBCD0,DBCE3,DBD12
F376A,F366E,F359A
DBC98,DBBDD,DBCD3
F366B,F376C,F3750
DBB71,DBD72,DBBD9
F384A,F368A,F370A
DBC8F,DBB52,DBC47
F3845,F3742,F3687
DBBE5,DBB7F,DBC61
F3408,F359A,F35CC
DBAD2,DBAE8,DBB00
F35E9,F37AB,F3754
DBC27,DB9B8,DBC48
F3539,F3525,F34F4
DBCC7,DBBB0,DB9CF
F3594,F36CF,F3693
DBD89,DBB89,DBC14
F35C1,F357C,F357A
DBD24,DBBDA,DBBB9
F3565,F34ED,F3622
DBC23,DBDC9,DBC4E
F3557,F35BD,F34FE
DBB9C,DBBA8,DBC9C
F2BA7,F2CA7,F2DF5
DBDA9,DBE96,DBDE7
F392A,F37E0,F3884
DC045,DBFA3,DC08D
F3A3C,F38FD,F3BA8
DC034,DBE9C,DBEC1
F3A57,F390A,F39A6
DBF39,DBEA9,DBEF3
F3904,F3A6E,F39F0
DBFD1,DBFCA,DC131
F3877,F393E,F36D6
DBE7A,DBCF1,DBF59
F38E8,F3AA9,F3B23
DBEC8,DBE40,DBDF3
F382E,F3A24,F3857
DBCE0,DBE2E,DBD78
F3B6F,F3803,F3A4B
DBC1B,DBE7F,DC0CE
F385A,F3A44,F39FF
DBFEF,DBE7F,DBEC4
F3ABD,F3A10,F3927
DC32D,DBF7C,DBFE8
F3889,F3A35,F3C1D
DBFDE,DBEDD,DBED1
F3A03,F3A9B,F3B57
DBFFF,DBEFA,DBFA5
F3A56,F3931,F3A8A
DBFF0,DC0D2,DC002
F3A42,F39A9,F3C45
DC270,DC1A5,DBFEE
F3B96,F3BA4,F3A6E
DC0B5,DBF73,DC186
F39E9,F3A29,F38C7
DC033,DC07A,DBEC7
F3A3E,F3B3D,F38FC
DC053,DBC96,DBD53
F3A90,F3A02,F3B8E
DC046,DBFA9,DBEEE
F3855,F3A10,F38E4
DBEFC,DBF36,DBDBE
F389A,F396E,F38DA
DBFFA,DBE8B,DBEBA
F39AC,F3A79,F3967
DBFBC,DBF1A,DC02F
F393E,F3B18,F3BC3
DBEA0,DC049,DBE40
F3753,F3955,F3978
DBFF0,DBE3D,DBCB0
F3B82,F38DF,F3A74
DBD30,DBF0B,DBD2E
F397E,F385C,F38C0
DBEC2,DBC79,DBF48
F3ABD,F38C5,F3857
DBF53,DC081,DBFD5
F3914,F38C3,F38A0
DBFBC,DBECE,DBEE3
F38CC,F3887,F380E
DBD4D,DBEE9,DBE21
F38D1,F3962,F36C6
DBDC0,DBF9D,DBF89
F3880,F3C5B,F37D5
DBDEF,DBE48,DBEFA
F399B,F3BC1,F3A0D
DC1F9,DBED1,DBF7C
F3ABB,F3B91,F38FE
DBE30,DBE05,DBB90
F366D,F38BA,F36FA
DBE19,DBF21,DBEE9
F378C,F38A1,F37CE
DBE16,DBEF5,DBDD6
F36B3,F384E,F3615
DBDA7,DBC49,DBC6C
F38BE,F38CB,F3691
DBDA8,DBDD8,DBC4B
F389C,F3931,F376C
DBEB2,DBF33,DBD96
F38EA,F3975,F36F8
DBCE1,DBD19,DBD2E
F3721,F375A,F3784
DBD5C,DBCF7,DBA2A
F3939,F391B,F3845
DBE6B,DBE94,DBC42
F36C0,F3869,F3741
DBC07,DBC3B,DBD20
F37B6,F380B,F38B2
DBD8E,DBBC4,DBF56
F36AE,F3798,F3746
DBBB5,DBD93,DBD3D
F377C,F377F,F38C3
DBEC0,DBD90,DBCA1
F3820,F3A6C,F39CE
DBBC5,DBE06,DBC12
F3852,F366F,F37E7
DBDD9,DBBCB,DBDA8
F37FC,F37E5,F3790
DBE1E,DBC02,DBD53
F3781,F3742,F3695
DBC32,DBC17,DBA54
F365A,F3655,F34C1
DBA90,DBC45,DBCA4
F37EC,F35CB,F36CA
DBC9F,DBB5E,DBCEE
F3606,F34F2,F3608
DBB64,DBBB9,DBAEA
F36BD,F36FE,F36C7
DBBC8,DBA8E,DBA7B
F37AE,F36AA,F367E
DBC8D,DB954,DBD33
F3747,F3780,F3641
DBB92,DBCC7,DBC62
F3625,F366E,F353A
DBB0A,DBAB4,DBB3D
F3834,F3829,F37F7
DBB72,DBC4E,DB986
F33E6,F35B2,F35DF
DBB6C,DBADA,DBB7D
F3567,F35AF,F35B3
DBB9C,DBBB1,DBA8E
F3848,F35FA,F3685
DB9A8,DBAE1,DBA54
F34DD,F34E0,F3620
DBA69,DBCBB,DBAE7
F3519,F3665,F372C
DBD61,DBD58,DBCB3
F3599,F364D,F37A5
DBAE1,DBBFB,DBBEE
F372D,F3763,F3731
DBC32,DBBC5,DBB3E
F30F1,F322D,F3357
DB55E,DB602,DB662
F2F11,F30B2,F3039
DB6B9,DB824,DB63E
F31FB,F308D,F2FF6
DB4DE,DB697,DB5B4
F314E,F2FBC,F3250
DB558,DB408,DB403
F30F9,F3152,F3071
DB554,DB6DD,DB620
F2F44,F31B3,F310F
DB7DD,DB629,DB710
F2F94,F30F3,F2FF5
DB71E,DB653,DB67F
F2F76,F2F89,F2F36
DB535,DB6D9,DB5E3
F3148,F3132,F30C7
DB5AC,DB483,DB2E7
F2E99,F2E24,F2DF1
DB496,DB56F,DB48E
F2E32,F2FD4,F2E57
DB4C4,DB4A8,DB4D6
F2EE0,F2EE9,F3113
DB60D,DB63D,DB54C
F2F2A,F3122,F2F23
DB49E,DB521,DB66D
F2DE6,F2E0C,F2EF2
DB721,DB5EF,DB537
F2E5C,F2EC8,F3065
DB59B,DB487,DB626
F2FBE,F3045,F30E8
DB583,DB4C9,DB45C
F2DAA,F2D46,F2FB4
DB592,DB169,DB29C
F2F6D,F2EBB,F2FD3
DB34A,DB50B,DB39A
F2E4B,F2F04,F2F50
DB5FE,DB39C,DB488
F3175,F2F39,F2F6A
DB490,DB5F9,DB2EB
F2D88,F2FF5,F2E82
DB4A6,DB4FE,DB6B2
F2F1D,F2F7C,F2F98
DB629,DB39A,DB47B
F30F2,F2E65,F2F1D
DB2DE,DB46B,DB38F
F2EE4,F2BAA,F2F94
DB661,DB606,DB357
F2D9A,F2EE0,F2E85
DB366,DB3EE,DB364
F2D62,F2BD2,F2BC0
DB2A7,DB411,DB2A4
F2DC5,F2E01,F2E2C
DB407,DB4C4,DB287
F2EFE,F2D42,F2DEC
DB345,DB1E1,DB398
F2E49,F2D4B,F2C0C
DB368,DB465,DB372
F2CEC,F2E0A,F2D1F
DB360,DB420,DB3CF
F2D86,F2D36,F2E93
DB274,DB213,DB1BA
F2D7E,F2CD0,F2CF0
DB426,DB2E8,DB28E
F2C67,F2BC1,F2D37
DB29B,DB0C2,DB3A0
F2C5A,F2BC6,F2E34
DB3DA,DB1B3,DB34E
F2D15,F2D6D,F2E02
DB4CD,DB15D,DB31E
F2D33,F2D10,F2DB5
DB1CB,DB251,DB1C1
F2C4B,F2CCB,F2AA9
DB156,DB137,DB24A
F2CC6,F2C26,F2D77
DB3BE,DB29E,DB512
F2E46,F2E31,F2DB4
DB490,DB249,DB427
F2D76,F2E2D,F2B85
DB3F2,DB190,DB23B
F2B62,F2E3B,F2FF3
DB363,DB1DC,DB175
F2B8E,F2E19,F2C96
DB228,DB256,DB20D
F2B43,F2DE0,F2E14
DB15B,DB188,DB12A
F2CEE,F2ACC,F2B45
DB1CA,DAF0A,DB0D9
F2BC4,F2D10,F2B0D
DB28C,DB187,DB077
F2DBB,F2E59,F2C37
DB0B6,DAF94,DB278
F2C5C,F2BE2,F2C67
DB1C7,DB116,DB165
F2CCB,F2BCD,F2CE1
DB19A,DB339,DB1DE
F2C60,F2ABB,F2C80
DB1CB,DB1EB,DB057
F2A56,F2C4E,F2A95
DB1CE,DB1A9,DB1F1
F2B83,F2C03,F2D71
DB13A,DAFE9,DB058
F2BB6,F2BCF,F2A1C
DB1E8,DB129,DB2BE
F2BE7,F2E2B,F2B2B
DB187,DB1BD,DB207
F2C51,F2B20,F2DEB
DB205,DB120,DAFC8
F29E1,F2DD2,F2B3B
DB06B,DB105,DB138
F2C4C,F2C09,F2D8B
DB2E9,DB359,DB2EA
F2BAA,F2C49,F2C43
DB2CC,DB2E6,DB257
F2C4E,F2B5B,F2C9F
DB1F1,DB1C3,DB20A
F2C1F,F2B56,F2BCC
DB0DD,DB21A,DB16E
F2A7B,F2C6C,F2C94
DB31B,DB141,DB16B
F2AC4,F2BDB,F2CCE
DAFCA,DB272,DB1BA
F2DD4,F2B29,F2B8F
DB459,DB221,DB02D
F2B9F,F2D7B,F2C6F
DB1CB,DB22F,DB085
F2B30,F2B7D,F2AD0
DB04B,DB1C9,DB309
F22B6,F21D1,F22CB
DB53E,DB486,DB327
F2E8E,F2E66,F2E84
DB435,DB540,DB626
F2FBD,F3024,F2F92
DB578,DB3C2,DB37E
F2E9F,F2FBA,F2E35
DB517,DB441,DB52B
F31A3,F2F4A,F2FC3
DB421,DB445,DB413
F2E7F,F2F9B,F2E75
DB64B,DB70B,DB47E
F2FA8,F2F93,F31BA
DB468,DB316,DB5D1
F2ECE,F3037,F2FA8
DB47D,DB53C,DB6B5
F3093,F2EA3,F3134
DB3E7,DB4E5,DB450
F2EAF,F2F1E,F2F71
DB60F,DB504,DB58E
F2F9E,F2FCD,F3098
DB4F3,DB507,DB399
F2E69,F2F0F,F2E90
DB546,DB5D9,DB49E
F2E63,F2F0E,F2E9F
DB62F,DB357,DB6E6
F2FFF,F3170,F31A0
DB5D4,DB53C,DB2F6
F2F77,F30DC,F2F00
DB44C,DB59A,DB5DA
F2D3A,F2EAE,F2FC4
DB642,DB416,DB524
F2D29,F3077,F2E13
DB5D9,DB5CA,DB663
F2E17,F2E7B,F2FA5
DB57C,DB3FD,DB4FF
F300F,F2F6D,F2D66
DB490,DB454,DB36A
F2FA6,F3071,F305D
DB4D3,DB52B,DB30A
F3044,F2DD0,F2D92
DB5C8,DB583,DB2C2
F2FD5,F2D2D,F2F9A
DB5F8,DB535,DB522
F2F48,F2EE5,F2FEC
DB453,DB347,DB4C7
F30C3,F2FBB,F2EB3
DB3FF,DB34E,DB3F0
F3021,F300D,F2EC4
DB32D,DB418,DB413
F2FC9,F2F3A,F3048
DB580,DB48F,DB5BA
F2F55,F2FB0,F2D58
DB313,DB4C0,DB517
F2DC7,F2FDA,F3008
DB5E4,DB46D,DB333
F2ED6,F2E25,F2DE3
DB51E,DB3EE,DB636
F2DB9,F2ED7,F2E49
DB4A5,DB51F,DB341
F2F34,F3016,F30FE
DB481,DB49B,DB3D7
F2C4C,F2EE9,F2E31
DB283,DB243,DB559
F2E85,F2E94,F2F71
DB205,DB33E,DB1B4
F2E9F,F2EB2,F2D40
DB2F1,DB431,DB33D
F2F89,F2DA6,F2ED1
DB2B5,DB273,DB2C2
F2CE6,F2EAA,F2E29
DB3A4,DB2D3,DB28E
F2DD1,F2D76,F2DEF
DB438,DB392,DB276
F2DBB,F2E49,F2F3A
DB3B2,DB3D9,DB368
F2F12,F2FE9,F2E50
DB346,DB2DF,DB2D0
F2EBA,F2EC4,F2E63
DB563,DB1DA,DB315
F304F,F2E36,F2ECD
DB302,DB205,DB07D
F2C9C,F2DAB,F2B52
DB173,DB33F,DB50A
F2CE9,F2E80,F2D33
DB2A0,DB3E2,DB2C3
F2BC5,F2C99,F2D68
DB185,DB36A,DB132
F2C43,F2E17,F2E06
DB3C5,DB2F2,DB178
F2B5E,F2D41,F2D4F
DB3C2,DB4D0,DB4B8
F2D28,F2DF2,F2DE1
DB477,DB20E,DB3AC
F2D17,F2B16,F2D94
DB2FC,DB2BF,DB331
F2CCC,F2A54,F2A0D
DB434,DB0B4,DB220
F2C65,F2D1E,F2BCD
DAF24,DB020,DB204
F29D0,F2CB0,F2CA7
DB1D2,DB40E,DB38D
F2CF8,F2BA0,F2D2B
DB28C,DB07D,DB35A
F2BD9,F2D60,F2C1A
DB277,DB0F5,DB236
F2DB8,F2C3F,F2C16
DB08D,DB15C,DB34E
F2CC3,F2D3F,F2E2B
DB20D,DB26E,DB28E
F2D4A,F2CDA,F2E8B
DB230,DB21B,DB1C5
F2BEB,F2E6E,F2D83
DB0B7,DB1D0,DB047
F2C92,F29F7,F2B09
DB215,DB026,DB0ED
F2D53,F2C7E,F2BFC
DB1B7,DB085,DB01C
