{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1C965C,-1C9731,-1C9854
-1E113F,-1E1170,-1E125F
-1C97E3,-1C9837,-1C9842
-1E1190,-1E132F,-1E12A0
-1C97DD,-1C978F,-1C97CD
-1E117D,-1E1331,-1E1191
-1C9891,-1C9662,-1C96B2
-1E1061,-1E1298,-1E120B
-1C96FD,-1C96B5,-1C961F
-1E1069,-1E125C,-1E0FC2
-1C9845,-1C964D,-1C992F
-1E12BC,-1E112E,-1E11B5
-1C9730,-1C9699,-1C96C2
-1E1184,-1E1070,-1E122D
-1C96F1,-1C95F0,-1C95D1
-1E118B,-1E106C,-1E12E0
-1C96B5,-1C9699,-1C95AC
-1E1064,-1E1132,-1E116B
-1C9809,-1C9652,-1C96CB
-1E10E3,-1E114A,-1E12CC
-1C97D5,-1C9798,-1C9738
-1E1037,-1E139A,-1E1095
-1C98FB,-1C9788,-1C97FC
-1E1308,-1E1427,-1E133C
-1C97D0,-1C98B9,-1C98C7
-1E1336,-1E1333,-1E117F
-1C96C1,-1C974F,-1C97F9
-1E112C,-1E1230,-1E1288
-1C964A,-1C9773,-1C9841
-1E1192,-1E11A0,-1E126D
-1C9594,-1C95F9,-1C9784
-1E1119,-1E1211,-1E128D
-1C9736,-1C977B,-1C9775
-1E10D3,-1E10E9,-1E10EC
-1C9676,-1C9840,-1C98B4
-1E11B0,-1E10FD,-1E1155
-1C9794,-1C9636,-1C9838
-1E1356,-1E12C0,-1E1293
-1C9A2B,-1C9A70,-1C9868
-1E130D,-1E14BF,-1E1346
-1C998A,-1C9978,-1C98A1
-1E12F8,-1E12AC,-1E10E1
-1C97E3,-1C99F8,-1C99FD
-1E131C,-1E13DD,-1E12CE
-1C98DD,-1C984C,-1C97E6
-1E135C,-1E12FE,-1E12CC
-1C9AD4,-1C9973,-1C9962
-1E14CF,-1E1599,-1E132A
-1C98AB,-1C998D,-1C990E
-1E13AC,-1E144C,-1E120D
-1C9BE6,-1C98D3,-1C9817
-1E147A,-1E1445,-1E13F9
-1C9833,-1C97B9,-1C98F3
-1E143B,-1E12B1,-1E120C
-1C98EB,-1C97E8,-1C98F1
-1E143C,-1E132C,-1E13D7
-1C983D,-1C98DF,-1C98E4
-1E1561,-1E151E,-1E12E9
-1C9946,-1C98F9,-1C994F
-1E12ED,-1E131F,-1E13C2
-1C98F9,-1C9738,-1C98E0
-1E14FD,-1E1202,-1E11DA
-1C99C6,-1C98F4,-1C9AB9
-1E13A0,-1E1298,-1E13EC
-1C9966,-1C98BB,-1C9964
-1E133E,-1E12BC,-1E134B
-1C9902,-1C99AC,-1C99E2
-1E1427,-1E1366,-1E13EE
-1C9A3E,-1C98D1,-1C998E
-1E13CB,-1E1385,-1E12C6
-1C98D6,-1C9872,-1C9924
-1E1366,-1E142C,-1E11A5
-1C9891,-1C9A16,-1C97C4
-1E1254,-1E1288,-1E134F
-1C9992,-1C9AF3,-1C991A
-1E1561,-1E1511,-1E149C
-1C987E,-1C99F7,-1C9B64
-1E131F,-1E14FB,-1E13CA
-1C98F8,-1C9A92,-1C99F7
-1E1382,-1E1353,-1E1369
-1C9960,-1C98D2,-1C9944
-1E1446,-1E13ED,-1E1381
-1C9997,-1C97A5,-1C987E
-1E141B,-1E1580,-1E148B
-1C98AA,-1C996F,-1C9A79
-1E120C,-1E12F7,-1E1545
-1C9ACC,-1C9B1C,-1C9C40
-1E164B,-1E14A0,-1E147A
-1C9939,-1C9A47,-1C9BBD
-1E14FF,-1E1372,-1E14F9
-1C9ADE,-1C994D,-1C996D
-1E132F,-1E15B3,-1E13B0
-1C98C4,-1C9A1F,-1C993C
-1E1473,-1E15E1,-1E15C7
-1C9C30,-1C995D,-1C9B36
-1E148A,-1E14D5,-1E11CC
-1C9AED,-1C9A28,-1C997F
-1E14D2,-1E1458,-1E14F4
-1C994F,-1C9A3C,-1C9B13
-1E1453,-1E1462,-1E1484
-1CACC7,-1CAABE,-1CAD26
-1E0C8A,-1E0B2E,-1E0B1D
-1C90F2,-1C9136,-1C9181
-1E0AC5,-1E0B81,-1E0DAC
-1C9351,-1C91BC,-1C922F
-1E0BCD,-1E0C35,-1E0B25
-1C91F3,-1C92BD,-1C9241
-1E0B43,-1E0D61,-1E0B75
-1C9121,-1C9220,-1C9052
-1E0C2E,-1E0BF6,-1E0BE4
-1C921D,-1C8F22,-1C91B7
-1E0C62,-1E0B62,-1E0D01
-1C92C2,-1C902A,-1C90DE
-1E0B8C,-1E0B3D,-1E0BEB
-1C9088,-1C9150,-1C91FD
-1E0D31,-1E0B6E,-1E0C5A
-1C905A,-1C90B2,-1C9175
-1E0B73,-1E0C02,-1E0BC2
-1C9252,-1C9371,-1C92CE
