{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
18E94,18E2F,190C5
30919,309EE,308BC
18FF6,18FC4,190F5
30A18,30BE8,30B20
18F0F,18EF1,18E23
30B6A,30A6B,30983
19063,18F9C,18E7C
2F43D,2F441,2F68A
18FA1,18EFB,18CA6
30962,30833,30786
18EE7,18CBD,18D7C
30879,30685,3074D
18E8A,18C6B,18D5A
30A07,30708,307F3
18DD8,18EEC,18E22
3082B,30991,3088D
18E10,18E19,18E6E
3092E,30ABF,3079E
18E67,18DCD,190FF
307C9,30729,3086E
18E0B,18CF8,18CC4
30749,306D1,307F6
18CA5,18E4C,18E09
3094C,30844,30AE8
18EC4,18E69,18FC0
308B7,307D5,30908
18E8C,18DAE,18D8E
30945,307E9,30808
18EA2,18EC5,18CC2
3078A,30711,308F0
18D5A,18F49,18DDA
307EC,309AE,30857
19042,18EC9,18DDC
307E7,307D2,30865
18F3B,18C2A,18E9A
30AAD,30A08,309AE
18D33,18F76,18F7F
309B3,3092D,30943
18E3C,18FDF,190C5
30888,309CA,307A3
18F8A,18D7B,18E5C
3090C,3091B,3091D
18DE4,18F7A,18DD8
30924,30884,30991
18F41,1905D,19045
30874,30872,308B6
19012,1901B,18EB6
308B6,30966,308D8
18F23,18CF6,18FA6
309AF,307DD,309F5
18F29,1900B,18FB8
309E3,308C3,308B4
18E4E,18F2D,18E4A
308BE,30894,30930
18F00,18EC1,18FB1
308D8,30959,30ACC
18E81,19012,18F31
309D6,309EB,30A5E
18E9A,18F81,18EAC
30A0C,309F5,30817
18DEA,18F1D,18D35
309A0,3091E,3091F
18F8C,18E3B,18FDC
309B6,30AA8,3086E
18F68,18EE9,18F25
30A11,30985,3099E
18CAC,18CEB,18E8D
30973,30955,30B8C
1901F,190B0,18FF5
308F0,30B13,3087B
18F17,18F4E,18DB6
30B17,30C1F,30C01
19071,1904C,18ECE
30919,30958,30A39
18F3E,19082,18F79
30B4A,30969,30A97
1907A,191A2,19098
309D9,30B01,30B4F
19176,191EF,19234
30BE6,30E5E,30C3F
191D4,19275,1924E
30CD2,30C22,30C6F
1923F,1931E,191F0
30AE4,30B0A,30BCF
192A0,1938D,19182
30DCB,30BB1,30D42
19115,191D4,19177
30F89,30D03,30ECA
19136,1911D,192B3
30CF2,30BEC,30B7F
19267,191B9,1915C
30ACB,30CBE,30C85
190CD,19173,190FB
30C06,30D3A,30C3A
18FB3,1910C,191C6
30B35,30BEF,30C08
19269,1926F,1928F
30AF6,30C8A,30B83
193AC,1921D,192EB
30BF9,309E0,30D90
191FD,19169,19178
30DBF,30BD9,30B4A
19077,19167,19227
30C2A,30B87,30A2C
191EF,19016,1912D
30AF6,30B72,30AEA
191FF,19340,19202
30AC5,30BC3,30CE6
19168,190F3,190BF
30D70,30D12,30BEC
1903A,19322,192C3
30C35,30B8C,30C45
19231,19208,19151
30C6F,30E29,30CE8
190A8,19026,18E0C
30C74,30C30,30CDC
1924C,19322,191B2
30C87,30B40,30D42
19425,19087,1926E
30D86,30B5B,30D40
191D3,193BC,19062
30DF2,30CB5,30C0C
191EB,19163,19238
30B93,30A66,30A47
19135,192D7,190AC
30BBA,30AA2,30CDB
1914D,19139,190EB
30BDA,30B6E,30C3F
190E7,1906B,191BA
30C14,30B58,30A53
191D5,1929C,18FD3
30C6E,30CDF,30BA2
191C1,18F1B,19174
30B8D,30B80,30BCE
191BE,193D6,1920A
30223,302DD,3045D
19360,19527,1963A
30EF0,30FF4,30FE8
19488,19531,194EF
30F71,3108B,31169
19643,1967F,19476
31043,3120D,31216
1952A,19514,196EB
31068,30F26,30FDB
1954F,194C6,1942B
3109F,31057,30FF6
193C8,1930F,194A0
30F49,31133,30FEB
196C8,1957F,19623
30F9D,30DC3,3108A
19578,19416,1956D
310B3,311B6,310E7
193F8,1941C,194DF
31013,311E1,31031
195A6,195B1,1956C
3122C,30FC4,3104C
195A0,19650,195E2
30FED,3103A,310EF
195C2,195F7,19664
311E0,310D8,3107B
195C5,196AD,19711
31085,30FDD,311DC
196A9,195E7,195D8
30FA3,3138C,30F90
196D1,1953D,19680
31098,31097,3114C
196AA,196BC,197CA
30ED9,30F55,30F36
19571,193EC,19417
30FAC,30FBC,310E3
1945C,195A3,1965B
30F67,310B2,30F92
19534,194BC,19643
30E25,310A6,30F4C
19674,19564,196B2
3104C,30F6B,31041
1960F,195DB,1941E
30F22,30FCE,30F83
195B9,1954A,196E4
30FEB,310EE,31133
19766,196C6,195AB
3109C,31122,31095
19699,195B9,195D6
31241,31246,311F8
1962C,19594,1951A
30FC4,310CE,31189
19536,194E7,193EE
3101B,30FE1,31158
19645,195CB,1957E
30EF8,310DC,31069
195BA,196FD,1972C
3109D,310B3,310DC
19674,195E9,19605
30F5B,311A4,30F9B
1963B,1958F,19490
311CA,312A4,3107B
197D2,196F0,19776
31321,31087,31009
