{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1453DE,1454DC,145332
12D891,12DA66,12D96D
145285,1452F7,1453C5
12DA04,12D8E1,12D991
14524A,1453EF,1453B0
12DAD2,12D9A0,12D8BE
145331,145382,1453B1
12DA09,12D7DA,12D8B0
145435,1452FE,145432
12D8E1,12D987,12D9CC
145326,145397,1452DB
12D88A,12D93C,12DAF7
1452D5,145274,145260
12D94B,12D8C3,12D8C3
145457,1455AE,145330
12D860,12DACC,12D93E
1453ED,1454BA,14541C
12DA2F,12D9A3,12D94B
1453DF,145544,145595
12D9E9,12DA1F,12D8A6
1454E7,145593,1453DF
12D98D,12D9BB,12D8B2
1454CD,14546A,14550F
12D8EC,12D9A2,12DA9D
145426,14549D,1455D9
12D9ED,12DBD3,12D95E
14517D,145513,1453DB
12D9A9,12DB27,12DC29
14551E,14535E,14544D
12DB09,12DA8E,12DA95
14560D,145562,145639
12DB39,12DAAB,12DCD3
1453AA,1454E4,1452F9
12DA17,12D916,12D92B
145554,14550F,1454BD
12DB0B,12D914,12DA9C
14543C,145549,1454BC
12D91C,12DA5B,12D986
143E29,143F4D,143CCB
12D64D,12D5F9,12DA0D
14524E,1453CD,145242
12D71A,12D7B2,12D9AA
1453AD,145221,1452A0
12D7B3,12D84B,12D7F9
14512E,1450EE,145270
12D7C9,12D796,12D8A7
14528B,14531C,145370
12D94A,12D86E,12D81F
14518C,14513F,145072
12D913,12D888,12D67F
1454B4,145277,14530E
12D7FC,12D839,12D830
1451F2,145082,145176
12D804,12D87E,12D7ED
1452C1,145298,14540F
12D702,12D776,12D65B
14523E,14510F,145260
12D8E3,12D855,12D923
145137,145222,145451
12D9DB,12D883,12D861
145458,145477,145353
12D787,12D784,12D84C
1453E2,14540D,144FF2
12D921,12D7E7,12D7E5
145115,14515A,1452C5
12D863,12D88D,12D77F
1451BF,1452C5,145333
12D843,12D943,12D848
145380,1452C1,1450F9
12D873,12D731,12D6A6
1452C7,145295,145395
12D7F9,12D8CA,12DA26
1452DB,1452E6,1452D9
12D6CA,12D7C2,12D631
145205,1453F7,1452B7
12D97D,12D826,12D8A5
145310,14529B,145408
12D8C9,12D8C6,12D837
145293,145398,1452BE
12D98C,12D7D4,12DAF3
145335,1452A3,1453B7
12D9E3,12D8DD,12D895
14533A,145342,145249
12DA1E,12D85C,12D867
14532E,1453AC,145352
12D8DD,12D666,12D65D
145549,145264,145424
12D800,12D719,12D901
1451BE,1451A8,145233
12D9EF,12D956,12D953
145167,145489,14532F
12D84E,12D7C9,12D98C
14533A,1451FC,14525B
12D855,12D980,12D92D
145315,14536D,145473
12D93E,12DA5E,12DAE4
1453CF,1453A2,14549B
12DA27,12D856,12D7E5
14556C,145618,1453C7
12DB73,12D9EF,12DAE0
1453D8,145501,1454E1
12D8CC,12DA49,12DA40
1453F6,1455B2,14545F
12D9F9,12D952,12D8E5
1453A4,145275,145379
12D92A,12D9B7,12D8CC
14517C,145544,145315
12D9CC,12DBA4,12DA7A
145413,145421,1453C6
12DB23,12D98D,12D919
1453B8,1455BA,1454D0
12DA51,12D8E2,12DAA3
145477,145347,145374
12DBC3,12DC9D,12DB0B
1453EE,145528,1453DF
12DB39,12D964,12DBBD
14547D,1454F9,1454B9
12D94B,12DB9E,12DC11
145686,1455DC,1456E6
12DBDD,12DAD5,12DB0B
145354,14557D,14548F
12D9BA,12DAF3,12DAAB
1454DB,14548C,145563
12DB81,12DADC,12DA80
1453AA,145492,145575
12D9E7,12D958,12DA6E
1455D2,145432,14550E
12DAFD,12D923,12DBED
14550E,1453BA,1452CE
12DB4F,12DAED,12DB4C
1453B6,14563E,145501
12D92A,12DB5F,12DBD2
1453BF,14542D,145424
12DA87,12DB9C,12D9AA
145449,14544F,1456D0
12D9C1,12DC19,12DBA2
14543B,145603,14554D
12D9B2,12DA5B,12D974
14561A,145472,1455F4
12DB6C,12DA23,12DA5C
14559D,1454B3,1456CB
12DC16,12DC67,12DC7C
145770,14569B,14573B
12DC82,12D967,12DA17
1454F6,1455F2,145700
12DAC5,12D9B5,12D9DF
145789,14567A,145715
12DD83,12DC9E,12DCC1
1457D9,145804,145724
12DC2C,12DAD8,12DD31
1457F6,145731,145796
12DA5A,12DB24,12DB38
1454C2,145827,1454F2
12DBFE,12DA3B,12D962
14551E,1455E4,145385
12DB19,12DCCC,12DBEA
1454E1,1455AE,1456F5
12DB69,12DBFC,12DBED
1454BE,145571,145623
12DDA6,12DD3C,12DA84
