{'CALIB_RAW_DAC_START_I': 524288, 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_VERSION': '1.0'}
-7339,-73CA,-718E
-1ED4D,-1EC95,-1EE05
-713F,-738C,-7124
-1EFD3,-1F16A,-1EFC8
-7567,-75D8,-768C
-1EF65,-1EE49,-1EDE1
-74A0,-74B3,-7650
-1F182,-1EF07,-1EFDF
-785B,-7705,-7694
-1F222,-1F282,-1F2B8
-75D6,-759F,-7505
-1F1D7,-1EEB8,-1F0EE
-7639,-7491,-7695
-1EF7C,-1EEAA,-1F08E
-7439,-735E,-7512
-1EF83,-1EF03,-1EFEE
-7574,-7540,-7750
-1F0C9,-1EFE9,-1EEEA
-7419,-7663,-7458
-1F032,-1F0D2,-1EE53
-72C5,-73A4,-72FC
-1ECC6,-1EE26,-1ED79
-741E,-74A0,-7360
-1EB08,-1EE00,-1ECDD
-725C,-7269,-734C
-1EC68,-1EE4E,-1EE4E
-721E,-713E,-729F
-1EC5C,-1EDC0,-1EE06
-713D,-6FFA,-7165
-1EA72,-1EC20,-1EBA6
-7255,-70DF,-7156
-1EC4D,-1E9AD,-1EA83
-7175,-6F6C,-70B3
-1EA34,-1EA8C,-1ED59
-705A,-702C,-7214
-1EC44,-1ED96,-1ED2C
-7282,-71FF,-70CD
-1E9FE,-1EACD,-1EB8F
-713E,-7127,-7005
-1E96F,-1E90D,-1EB9C
-70CF,-7015,-7267
-1E9CF,-1EB1A,-1E8B6
-6F1B,-7003,-7161
-1EB1A,-1ED00,-1E9B0
-6F43,-6F51,-6E97
-1EBAF,-1E9F3,-1EA2B
-6DCF,-6FD5,-7067
-1E992,-1EAD7,-1E9EB
-6F7B,-7001,-6FD0
-1E9C3,-1E9AB,-1EBB5
-7089,-6FFA,-6F57
-1E9CD,-1EB30,-1E900
-6FA6,-6DB1,-6E68
-1E89E,-1E800,-1E8F7
-6D7A,-6CC5,-6E02
-1E8C7,-1E8EC,-1EAA5
-6EF7,-6EDD,-6E11
-1E731,-1E89B,-1E8FC
-6D61,-6C11,-6BFB
-1E6F0,-1E750,-1E750
-6DDB,-6EBD,-6CAA
-1E74C,-1E6A4,-1E784
-6C3D,-6B50,-6ABA
-1E52C,-1E68F,-1E838
-6C2F,-6BFA,-6C66
-1E851,-1E61C,-1E72F
-6C3E,-6CE2,-6C1E
-1CC00,-1CC4C,-1CE8A
-6F42,-6D1B,-6DEB
-1E7A6,-1E88A,-1E827
-6EAE,-6E1C,-6C16
-1E6EC,-1E691,-1E8DC
-6D21,-6C81,-6DE1
-1E754,-1E83C,-1E72A
-6D78,-6B30,-6C15
-1E596,-1E60E,-1E53C
-6BA4,-6D9C,-6D2E
-1E6A3,-1E6A6,-1E604
-6D62,-6DDD,-6BB8
-1E4F0,-1E656,-1E646
-6B7E,-6CC1,-6C83
-1E6BC,-1E656,-1E5B6
-6BFF,-6B33,-6B5C
-1E65C,-1E567,-1E70D
-6ABA,-6A29,-69B2
-1E481,-1E50B,-1E3C6
-694E,-6986,-6B96
-1E629,-1E586,-1E577
-6A10,-6B79,-6A65
-1E26C,-1E39C,-1E4ED
-6CA9,-6B21,-69EA
-1E360,-1E516,-1E340
-6818,-68D5,-6AC3
-1E397,-1E37D,-1E452
-6BA2,-6AA1,-6A74
-1E677,-1E4FA,-1E5BC
-6A87,-6A6B,-6B57
-1E39C,-1E30F,-1E31E
-685D,-674A,-69C8
-1E4F2,-1E31B,-1E29D
-696C,-6999,-6A15
-1E537,-1E453,-1E406
-6893,-686E,-69A7
-1E3AE,-1E12F,-1E273
-6884,-6A3F,-69DE
-1E274,-1E3E8,-1E2DE
-69E3,-6933,-67FB
-1E2B9,-1E50A,-1E438
-6A4E,-69BE,-6919
-1E421,-1E321,-1E337
-6B06,-6932,-6767
-1E201,-1E356,-1E347
-689F,-6786,-6952
-1E180,-1E332,-1E362
-67E2,-6754,-689A
-1E633,-1E4DB,-1E2A4
-6847,-6891,-6666
-1E070,-1E148,-1E07F
-6A18,-672D,-6740
-1DEF7,-1E063,-1DF6F
-6635,-6662,-6670
-1DF61,-1DF23,-1E227
-656C,-633A,-648C
-1DF13,-1DF98,-1E00D
-64CC,-64D9,-645C
-1E083,-1DFAE,-1DF93
-64E1,-63C3,-650D
-1DD9D,-1DF4B,-1DECE
-6408,-6465,-6532
-1DFD7,-1DFCA,-1DD2B
-63EB,-645A,-6530
-1E129,-1E0CE,-1E1F1
-662B,-67B7,-67C2
-1E1FD,-1E2F4,-1E1A8
-6910,-66D6,-661E
-1E2C7,-1E2EA,-1E12B
-6945,-677C,-663B
-1E0BE,-1DFCF,-1E090
-66F6,-6624,-65E2
-1E052,-1E009,-1DFEA
-6703,-6717,-69DB
-1E185,-1E029,-1E28D
-6686,-6614,-64A5
-1E1EF,-1E31C,-1E166
-67C4,-6511,-64F4
-1E07B,-1DFF7,-1E0F1
-6474,-67A0,-6612
-1E073,-1DEB6,-1E2A8
-6480,-6249,-62CB
-1DE5F,-1DF95,-1E024
-648E,-636F,-6317
-1E0E5,-1DF7A,-1DEE7
-643F,-65AA,-65D2
-1DEAB,-1DE59,-1DE13
-6391,-65AB,-63FB
-1DF16,-1DF79,-1DEFE
-61B7,-60C4,-6349
-1DDC6,-1DB90,-1DE1A
-61E2,-6204,-62A7
-1DCD4,-1DD79,-1DD65
-6404,-6222,-6291
-1DCAA,-1DCB1,-1DD3C
-63D9,-6347,-62C6
-1DF2C,-1DEF6,-1DDE3
-63CE,-6428,-65DD
-1DEBE,-1E007,-1DE78
-60D9,-61F0,-65DB
-1DE37,-1DE21,-1DF13
-63B7,-61B9,-62EF
-1DC39,-1DCFC,-1DD78
-62C9,-6239,-5F74
-1DD85,-1E06E,-1DE14
-6220,-6102,-6147
-1DB24,-1D9E0,-1D9F0
-6079,-5E5E,-60DB
-1DCFF,-1DD5A,-1DCA5
-6418,-623E,-62D7
-1DAAB,-1D988,-1D9DD
-6105,-5F55,-5FD6
-1DAE0,-1DAB5,-1DA3B
-6091,-5FBB,-5F2B
-1D735,-1D7FB,-1D9A3
-5DED,-5EC2,-62F2
-1D9AA,-1D67A,-1D808
-5E60,-5DB6,-5EEA
-1D971,-1DA8D,-1D8EC
-5FA5,-5ECA,-5FA4
-1D761,-1D9D6,-1D9A5
-5D30,-6060,-5F4F
-1D65B,-1D912,-1D45E
-5C47,-5C3D,-5AF8
-1D89B,-1D9FA,-1DA98
-5D0A,-5E61,-5B49
-1D7D0,-1D883,-1D942
-5B5E,-5C84,-59AA
-1CF97,-1CF91,-1D075
-6209,-619C,-60C3
-1DA38,-1DD9D,-1DAC8
-61E7,-6118,-5FDA
-1D9FC,-1D923,-1DAD1
-6059,-6244,-6060
-1D9BD,-1DA78,-1D8F4
-604C,-5DB7,-5E4A
-1D88D,-1D9B6,-1DB33
-604E,-6190,-60C9
-1DAB9,-1DBEE,-1DBE8
-60DC,-61B2,-617B
-1DC33,-1DE10,-1DC8D
-62B5,-643B,-637A
-1DC16,-1DCE4,-1DD02
-61A1,-61A5,-618D
-1DB0F,-1DB43,-1DBC7
-60BD,-6106,-5F7F
-1DA5C,-1DAB3,-1D90D
-5E9F,-5F0D,-5D6E
-1D988,-1DAA0,-1DB6E
-60F4,-601E,-5F4C
-1D9EC,-1D9C5,-1D766
-5F00,-5EB0,-5F10
-1D88A,-1DAAD,-1DB1B
-5E90,-603B,-601A
-1D967,-1D95F,-1D8D1
-5F49,-5DF8,-5EF4
-1D98C,-1D9F1,-1D7D1
-5E89,-6020,-5F44
-1D913,-1D8A2,-1D7F8
-5E42,-5F2E,-6047
-1D79F,-1D91F,-1D9BB
-5ED1,-5DCE,-5FB0
-1D7D4,-1D81A,-1D7D1
-5EAD,-5E2A,-5E91
-1D9CA,-1D8D7,-1D9C4
-5E81,-5F1B,-616A
-1D89F,-1D9E2,-1D815
-5E3C,-5EC3,-5D8F
-1D6D5,-1D811,-1D8E2
-5EF5,-5E2A,-5E9B
-1D84B,-1D734,-1D90A
-5ED7,-5D63,-5D7A
-1DAFF,-1DA69,-1D86B
-5C5B,-5DEC,-5D19
-1D7A6,-1D62D,-1D696
-5CE1,-5F08,-5CF0
-1D7E2,-1D76F,-1D745
-5B15,-5CD1,-5C59
-1D4FC,-1D363,-1D64E
-5BBC,-5B7E,-5CA6
-1D88A,-1D917,-1D845
-5C8E,-5C1B,-5B97
-1D553,-1D600,-1D576
-5BE5,-5C2C,-59ED
-1D65F,-1D52C,-1D604
-5B62,-5C44,-5961
-1D50B,-1D501,-1D5C2
-5A6B,-5A26,-5A96
-1D3FC,-1D3F7,-1D511
-5985,-5938,-5974
-1D4BB,-1D380,-1D4D8
-5862,-5A6B,-5967
-1D5E2,-1D663,-1D5EC
-5D67,-5E88,-5D98
-1D678,-1D7A0,-1D52C
-5D55,-604A,-5DA8
-1D9BB,-1D8FF,-1D831
-5BED,-5B6D,-5D7D
-1D395,-1D755,-1D61F
-5D7B,-5CAD,-5DBD
-1D52A,-1D728,-1D5CB
-5DA4,-5D1D,-5D1C
-1D53C,-1D75D,-1D5D5
-5C49,-5C2D,-5D02
-1D7B3,-1D889,-1D674
-5C3F,-5BBD,-5A9C
-1D4AE,-1D64D,-1D69D
-59DC,-5AB2,-5ABA
-1D57A,-1D517,-1D5CC
-5B45,-59A6,-594F
-1D386,-1D496,-1D48E
-5B9F,-5961,-5885
-1D2BD,-1D5A4,-1D254
-5AE4,-59A3,-5ABA
-1D3E4,-1D506,-1D525
-5971,-5B4A,-5988
-1D3BA,-1D472,-1D3F9
-5827,-576D,-5A86
-1D253,-1D284,-1D401
-5956,-5A13,-5715
-1D1E8,-1D2AC,-1D230
-5A27,-5A2F,-59D0
-1D228,-1D1BC,-1D2C8
-5828,-5822,-5877
-1D428,-1D436,-1D3A8
-593B,-5934,-57CD
-1D3EC,-1D210,-1D27F
-581E,-5896,-5A52
-1D373,-1D49E,-1D2D0
-57FE,-5A98,-5A0C
-1D25D,-1D445,-1D342
-59A9,-58B1,-591E
-1D38C,-1D385,-1D3F5
-5931,-588D,-5913
-1D297,-1D1FB,-1D20E
-571E,-58EC,-5AA9
-1D284,-1D0ED,-1D310
-57C8,-56D6,-57ED
-1D1A7,-1D29E,-1D1F9
-5421,-583E,-558D
-1D094,-1D26C,-1D0F5
-5819,-5650,-54FB
-1D097,-1CFFD,-1D10A
-57E9,-5639,-56C6
-1D215,-1D217,-1D122
-565F,-5550,-5501
-1CE4D,-1CF4F,-1CF77
-5713,-557E,-54B1
-1D036,-1D0DB,-1CDC2
-566E,-54FA,-5323
-1CF53,-1D08B,-1CFBC
-5555,-555A,-54BE
-1CEA5,-1D07D,-1D0D9
-5613,-5413,-55CE
-1D0F2,-1CEF5,-1CF78
-5494,-53D7,-5631
-1B832,-1B78D,-1B8AD
-4EEF,-4F36,-4E4B
-1CA61,-1C7BF,-1C808
-4D44,-4A9A,-4D0E
-1C791,-1C895,-1C796
-4D9B,-4E3B,-4C52
-1C9B6,-1C776,-1C61F
-4DE3,-4D7A,-4E2F
-1C889,-1C884,-1C762
-5115,-4B84,-4DC2
-1C8C5,-1C644,-1C55F
-4DF5,-4DC4,-4E8D
-1C915,-1C5F3,-1C720
-4CC2,-4BC7,-4D16
-1C6BF,-1C89F,-1C66D
-4D23,-4C07,-48EF
-1C680,-1C54E,-1C5CE
-4B35,-4C49,-4A14
-1C3C8,-1C430,-1C5EB
-4AE4,-4B50,-4BA0
-1C456,-1C556,-1C65B
-4909,-4A06,-4A83
-1C510,-1C678,-1C454
-4A8C,-4AF3,-49B2
-1C390,-1C4BF,-1C57E
-4B87,-4958,-49F4
-1C283,-1C32B,-1C41E
-47EC,-47F8,-4714
-1C3AF,-1C323,-1C2C2
-4AC6,-4B1B,-49A9
-1C4D5,-1C3BF,-1C2AC
-49A8,-484B,-48D5
-1C3BD,-1C43C,-1C58B
-49D8,-4859,-4B8A
-1C44A,-1C4B0,-1C2DF
-48CD,-4AA0,-4899
-1C434,-1C34D,-1C3C2
-49C7,-4AFE,-4978
-1C594,-1C3A0,-1C3B8
-49CC,-498F,-49A8
-1C31D,-1C413,-1C1F3
-49A6,-49F0,-49D9
-1C10A,-1C3C7,-1C299
-4959,-4689,-46C0
-1C2E8,-1C1AC,-1C100
-458F,-487D,-487E
-1C126,-1C263,-1C2F4
-4929,-4831,-47EA
-1C217,-1C39B,-1C1EF
-4775,-46AB,-45E8
-1C02C,-1C1C5,-1C090
